학부,제목,링크,내용,작성일
농생명화학과,"2025학년도 1학기 부·복수(연계)·융합전공, 마이크로디그리 취소 신청 및 이수자 선발 안내",https://agrochem.jnu.ac.kr/bbs/agrochem/555/903481/artclView.do,"2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 신청 및 이수자 선발을 아래와 같이 시행함을 안내합니다.업무 구분추진 일자비고비고공고2024. 12. 19.(목)공문시행 및 홈페이지 공고 취소 신청2025. 1. 2.(목) ~ 1. 6.(월)학생(직접 인터넷 신청)마이크로디그리는취소 신청, 승인절차 없음취소자 명단 제출2025. 1. 7.(화)까지학과(부)   행정실취소 승인2025. 1. 9.(목)본부 학사과   대학, 융합전공신청2025. 1. 15.(수) ~ 1. 17.(금)학생(직접 인터넷 신청) 신청자",2024-12-18 14:44:23.0
농생명화학과,「2024년 하반기 1차 도전장학(미래) 선발 계획」 공고 안내,https://agrochem.jnu.ac.kr/bbs/agrochem/555/903457/artclView.do,"「2024년 하반기 1차 도전장학(미래) 선발 계획」을 다음과 같이 공고하오니 신청 하여 주시기 바랍니다.가. 자격: 2025년 2월 학사과정 졸업예정자로서 2025학년도 전기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)      ※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원     ※ 단, 지원액은 가용예산 범위에 따라 다소 변동 가능함다. 제출서류대상제출 서류제출 기한제출처지원신청자◦ 도전장학",2024-12-18 13:59:55.0
농생명화학과,2025학년도 1학기 학·석사학위연계과정 및 학·석박사학위통합연계과정자 모집,https://agrochem.jnu.ac.kr/bbs/agrochem/555/902315/artclView.do,2025학년도 1학기 학부생 학 석사학위연계과정 및 학 석박사학위통합연계과정자 모집을 붙임과 같이 안내하오니 관심있는 학생의 많은 신청 바랍니다.구  분일  정장소 및 방법비  고지원서 접수2025. 1. 2.(목) ~2025. 1. 10.(금)지원자 ⇨ 단과대학 행정실(농1 농생대 행정실)#9312;연계과정 지원서#9313;지원학과 지도예정교수 추천서#9314;성적확인서(*당해학기 포함)#9315;연구활동계획서합격자 알림2025. 1. 27.(월)예정  수강신청2025. 2. 14.(금)~ 2. 21.(금)전남대포털 ⇨ 교육지원(,2024-12-10 11:34:05.0
농생명화학과,2025년 2월 졸업예정자 졸업논문졸업시험졸업인정 자격증 안내,https://agrochem.jnu.ac.kr/bbs/agrochem/555/901876/artclView.do,"졸업자격인정기준(전공영역)1. 졸업 논문 제출2. 농식품 관련 국가기술자격증 취득3. 졸업 시험(3과목) 통과   1. 논문 제출 (졸업발표 포함) 가. 교과과정 ~2009 까지: 논문실험 이수자는 논문 제출 or 졸업시험 응시 중 선택 가능나. 교과과정 2010 학년도부터: - 생명화학연구 (3-2학기) 전선: 이 과목을 수강하는 학생은 본인이 선택한 실험실에서 일정기간 연구생활이 필수 (수강신청 전에 지도교수 면담 권장)   실험논문 작성   실험실에서 발표 (지도교수가 인정, 리뷰논문은 불가능) (이후 졸업논문은 지도교수의 날",2024-12-04 15:15:52.0
농생명화학과,2025학년도 전기   일반대학원 신입생 모집 홍보,https://agrochem.jnu.ac.kr/bbs/agrochem/555/897900/artclView.do,"구  분일시(기간)장소비고인터넷 원서접수(방문/우편 접수불가)2024. 10. 2.(수) 09:00~ 10. 16.(수) 18:00○ 전남대학교 홈페이지- www.jnu.ac.kr‣인터넷 접수만 가능‣반드시 수험표 출력 보관구비서류 제출(방문 또는 등기우편 제출)2024. 10. 2.(수) 09:00~ 10. 17.(목) 18:00○ 방문 또는 등기우편 제출광주 북구 용봉로 77,전남대학교 대학본부 2층209호 대학원 사무실우)61186‣마감일 18:00까지 반드시도착하여야 함‣대리제출 가능‣토요일, 공휴일 휴무제출서류 도착 확인2",2024-10-16 15:25:09.0
농생명화학과,2024년 하반기 학·석사학위 및 학·석박통합연계과정 학부연구생 장학사업 안내,https://agrochem.jnu.ac.kr/bbs/agrochem/555/897851/artclView.do,"「2024년 하반기 학 석사학위 및 학 석박통합연계과정 학부연구생 장학사업」 선발 계획을 다음과 같이 공고하오니 대상자는 신청하여 주시기 바랍니다.가. 지원자격  o 학 석사학위 및 학 석박통합연계과정생 (4학기 이상 수업연한 이내 재학생)  o 지원연구실 지도예정교수의 추천을 받은 자나. 지급액: 학기당 1,000천원 이내 (3학기 이내)다. 진행절차내용추진일정비고신청서 접수신청자   학과'24. 10. 16.(수)~ 10. 22.(화)o 지원신청서(신청자)o 추천서 및 지도계획서(지도예정교수)o 추천자 명단(Excel 파일)선발",2024-10-16 11:00:50.0
농생명화학과,2024학년도 2학기 글로벌커뮤니케이션잉글리쉬 학점 미취득자 교과목 이수 조사 안내,https://agrochem.jnu.ac.kr/bbs/agrochem/555/897467/artclView.do,"2024학년도 2학기 글커잉 학점 미취득자 교과목 이수 조사 개요  1. 학점 미취득자 :  2014~2018학년도 신입학자, 2016~2020학년도 편입학자 중 글커잉 교과목 학점 미취득자2. 글커잉 교과목 대체 방안(택1)#9312; 대체교과목 이수: 해당교과목 중 1과목 이수교과목명학점비고기초영어3#9312;대체교과목 중 기 이수교과목이 있는 경우 소급하여 인정하지 않고, 다른 대체교과목을 택1하여 이수해야 함#9313; 글커잉 대체교과목 신청: 학생이 포털 내 직접 신청[종강 전까지 포털 내 글커잉 대체교과목 신청을 하지",2024-10-11 16:40:48.0
농생명화학과,2024학년도 미래성장 장학생 선발 안내,https://agrochem.jnu.ac.kr/bbs/agrochem/555/896555/artclView.do,"2024학년도 미래성장 장학생을 다음과 같이 선발하오니, 많은 학생들이 지원하여 주시기 바랍니다.  가. 선발인원: 200명  나. 지원대상: 본교 학부 2~3학년 재학생 ※ 제외 대상: 24.2학기 휴학생(등록휴학 포함), 의 치 수의 약학계열  다. 지원자격: 24.2학기 기준 직전 학기 평균평점 1.75 이상, 12학점 이상 이수한 자  라. 장학금액: 1,300천원 ~ 1,800천원 ※ 평가에 따른 차등지급  마. 평가방법: 서류평가(1단계)   심층면접(2단계)  바. 공고기간: 2024. 9. 19.(목) ～ 10. 4",2024-09-26 15:10:54.0
농생명화학과,2024학년도 2학기 수강취소 안내,https://agrochem.jnu.ac.kr/bbs/agrochem/555/896553/artclView.do,2024학년도 2학기 수강취소 안내 ❍ 신청기간: 2024. 9. 26.(목) 09:00 ~ 9. 27.(금) 17:00 ❍ 취소절차: 학생이 인터넷으로 포털에서 직접 수강취소 신청 교과목 개설학과에서 취소 승인 ❍ 취소방법: 전남대학교 포털사이트(http://portal.jnu.ac.kr)에 접속한 후   교육지원 내학사행정 수업 수강신청 수강취소 신청  선택 ❍ 수강취소 과목범위- 수강취소 신청과목은 2과목 이내로 하되 취소 후 수강학점은 1학점 이상을 유지해야 함 (수업관리지침 제19조) ❍ 수강취소 내역확인- 수강취소 후 최,2024-09-26 15:08:14.0
농생명화학과,2024학년도 2학기 교과구분 정정 실시 안내,https://agrochem.jnu.ac.kr/bbs/agrochem/555/895518/artclView.do,"휴 복학에 따른 교육과정 적용년도 변경, 부 복수전공 선발, 모집단위간이동(전과) 및  국내 외 타대학 교류로 인한 교과구분 상이 학생에 대하여 다음과 같이 교과구분 정정을 실시하오니,신청서를 작성하여 2024. 9. 25.(수)까지 학과실로 제출하여 주시기 바랍니다.   * 주요 확인 및 유의사항1) 휴 복학 및 전과에 따른 교육과정 적용년도 변경자의 경우, 적용받는 교육과정에 따라     필수 과목이 달라질 수 있으므로 교육과정 적용년도 반드시 확인2) 편입생 전적 대학 학점인정 내역은 교과구분 정정 신청 대상 아님3) 국내 외",2024-09-13 15:39:16.0
