학부,제목,링크,내용,작성일
분자생명공학과,재학생 대상 영어학습센터 동영상 수기 공모전 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/907142/artclView.do,언어교육원에서는 우리 대학 재학생의 자기주도학습 역량 강화를 통한 외국어 능력 함양을 위해 영어학습센터(English Learning Center)를 개설하여 영어학습지원 서비스를 제공하고 있습니다.영어학습센터(ELC) 동영상 수기 공모전 개최하여 다음과 같이 안내 드립니다.가. 공모 주제: 1:1 코칭 서비스 및 영어학습 콘텐츠를 활용하는 방법나. 접수기간: '25. 2. 5.(수) ~ 2. 17.(월) 18:00다. 제출 방법1) 전남대학교 언어교육원 홈페이지(https://lec.jnu.ac.kr/) 상단 메뉴 [영어학습센터],2025-01-31 14:15:51.0
분자생명공학과,[무료] 국립종자원 제1기 종자기사·산업기사 자격 대비 과정 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/907141/artclView.do,"국립종자원 국제종자생명교육센터에서는 종자기사 산업기사 자격증 취득을 대비하기 위한 온라인 과정을 붙임과 같이 운영합니다.종자기사 산업기사 자격 시험을 준비하는 수험생들의 많은 참여 바랍니다.가. 교육명: 제1기 종자기사?산업기사 자격 대비나. 교육대상: 학생, 종사자, 공무원 등 200명다. 교육일자: 2025. 2. 17.(월)~2. 19.(수), 실시간 온라인(zoom)라. 신청기간: 2025. 2. 3.(월)~2. 13.(목), 교육센터 누리집(hrd.seed.go.kr)마. 세부내용: 붙임 참조",2025-01-31 14:14:14.0
분자생명공학과,제6회 융합식품바이오공학 세미나 개최 안내(2/3),https://mimb.jnu.ac.kr/bbs/mimb/560/907140/artclView.do,대학원 융합식품바이오공학과에서 제6회 융합식품바이오공학세미나를 아래와 같이 개최하오니 많은 참여 바랍니다.1. 일시: 2025. 2. 3.(월) 오후 1시 30분 - 원활한 행사 진행을 위해 세미나 시작 10분 전까지 입실하여 주시기 바랍니다.2. 장소: 농1-102호,2025-01-31 14:12:00.0
분자생명공학과,2025학년도 1학기 국가장학금 2차 신청 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/907138/artclView.do,"2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00- 서류제출 및 가구원 정보제공 동의 기간: '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감※ 여수캠퍼스 학생:  전남대학교(본교)  선택 후 본인 소속학과로 신청(전",2025-01-31 14:10:00.0
분자생명공학과,2024학년도 전공 관련 자격증 응시료 지원 사업 3차 시행 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/907137/artclView.do,1. 사 업 명: 전공 관련 자격증 응시료 지원 사업2. 사업대상: 3~4학년 학부 및 대학원 재학생3. 추진일정구분신청 기간비고3차 25. 02. 03.(월) 14:00 ~  25. 02. 07.(금) 선착순※ 예산 소진 시 조기 사업 종료농2-125(취업지원실)  붙임 전공 관련 자격증 응시료 지원 사업 계획서 1부. 끝.,2025-01-31 14:07:05.0
분자생명공학과,2024학년도 공인 외국어 응시료 지원 사업 3차 시행 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/907135/artclView.do,1. 사 업 명: 공인 외국어 응시료 지원 사업2. 사업대상: 농생대 학부 및 대학원 재학생3. 추진일정시험 응시일 24. 02. 01.(목) ~  25. 01. 31.(금) 구분신청 기간비고3차 25. 02. 03.(월) 14:00 ~  25. 02. 07.(금)농2-125  붙임 공인 외국어 응시료 지원 사업 계획서 1부. 끝.,2025-01-31 14:03:55.0
분자생명공학과,사학연금공단 2025학년도 1학기 대학생 현장실습학기제 실습생 모집 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906726/artclView.do,"우리 대학 학생들의 산업 현장에 대한 이해 증진 및 진로 탐색을 위한 「사학연금공단 2025학년도 1학기 대학생 현장실습학기제」 모집을 아래와 같이 안내드립니다. 신청을 원하는 경우 학과(062-530-2160)로 2025. 1. 23.(목) 09:30까지 연락 바랍니다.1. 실습기업(관)명: 사학연금공단2. 모집인원: 총 7명3. 실습기간: 2025. 03. 04.(월)   2025. 07. 10.(목) [18주]4. 모집안내가. 지원자격: 3,4학년 재학생나. 선발 및 추천기준  계산서식(지원자 평균학점/4.5)*80점)+(지원",2025-01-22 13:20:35.0
분자생명공학과,2025학년도 1학기 장애 대학원생 현황 조사 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906663/artclView.do,"우리 대학은 2024학년도 2학기부터 장애 대학원생의 교육편의 제공 등 정책 수립을 위하여 장애 대학원생을 대상으로 개인별 교육지원계획을 수립하여 시행하고 있습니다.또한 「전남대학교 장학지침」 개정으로 대학원 장애학생 장학금이 신설됨에 따라, 2025학년도 1학기부터 입학 재학하는 대학원생 중 장애정도가 심한 학생을 대상으로 감면장학금을 지급한다고 합니다.이에 2025학년도 1학기 대학원 신입생 및 재학생 중 장애학생의 현황을 조사하오니 해당되는 경우 학과사무실(062-530-2160)로 2025. 1. 23.(목) 오후 4시까지",2025-01-21 14:06:34.0
분자생명공학과,"2025년 상반기 일반대학원 외국어, 종합시험 내부계획 안내",https://mimb.jnu.ac.kr/bbs/mimb/560/906563/artclView.do," 외국어 종합시험 시행 내역 구 분추진 내용 및 일정비 고 시험 일정 및 장소 종합시험: 2025. 1. 22.(수)- 1분야 09:30 10:40- 2분야 11:00 12:10- 3분야 13:00 14:10* 장소: 농생대 1호관102호 강의실  외국어 시험: 2024. 1. 23.(목)- 09:30 10:40 시험 대상자 종합시험: 12명(석사: 9명, 박사: 2명, 석 박사통합: 1명) 외국어시험: 54명(석사: 37명, 박사: 11명, 석 박사통합: 6명)  합격자 발표 2025. 2. 21.(금) 예정",2025-01-20 14:49:46.0
분자생명공학과,2025학년도 1학기 수강신청 시행 계획 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906562/artclView.do,2025학년도 1학기 수강신청 시행 계획 안내  업무내용기간시간대상내용수강인원 조정 25.1.24.(금)~1.31.(금)09:00～18:00 전공: 강좌 주관학과 교양: 강좌 협력학과 학년별 수강인원 관리 자과/타과/부전공 수강인원 조정 분반정보의 사무실 번호 입력수강신청테스트 25.2.5.(수)10:00~12:00 학부 전 학년 공통 수강희망과목 예약 테스트14:00～18:00 수강신청 테스트※ 테스트 종료 후 신청 내역 일괄 삭제수강희망과목예약 신청'25.2.6.(목)~2.7.(금)10:00～18:00 학부 전,2025-01-20 14:45:49.0
분자생명공학과,"2025학년도 1학기 일반(전문,특수대학원 포함)대학원 수료후등록 신청 안내",https://mimb.jnu.ac.kr/bbs/mimb/560/906548/artclView.do,"2025학년도 1학기 일반(전문,특수대학원 포함)대학원 수료후등록 신청 안내* 신청방법 *  가. 대상: 일반대학원 및 전문 특수대학원 수료생나. 절차: 교육지원 내 학사업무 등록 대학원 수료후등록신청 신청다. 신청기간: 2025. 2. 3.(월) ~ 2. 14.(금) *기한엄수라. 대상자 명단 제출 기한: 2025. 2. 17.(월) 10:00까지마. 고지서 출력 및 납입기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지바. 수료 후 등록비: 당해학기 등록금의 8%",2025-01-20 14:01:27.0
분자생명공학과,2024학년도 동계 계절학기 학사 일정 변경 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906546/artclView.do,2025. 1. 27.(월) 임시공휴일 지정에 따른 2024학년도 동계 계절학기 학사 일정 변경을 아래과 같이 안내드립니다. ▣ 동계 계절학기 운영 일정 ▣업무명운영 일정내용수업평가 실시기간 25. 1. 20.(월) ~ 1. 31.(금)⦁수강신청 전과목에 대한 수업평가 완료시 성적열람 가능성적처리성적 입력 및 공고 25. 1. 20.(월) ~ 1. 22.(수)성적정정 25. 1. 20.(월) ~ 1. 24.(금) 성적제출마감 25. 1. 31.(금) 18:00⦁기존)  25. 1. 27.(월)   변경)  25. 1. 31.(금)성,2025-01-20 13:59:45.0
분자생명공학과,2025년 서울런 멘토단 참여 대학생 추천 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906455/artclView.do,"서울시에서 청소년의 체계적 학습 지원 및 대학생 인재의 지식나눔 기회 제공을 위하여 추진하는 2025년 서울런 멘토단에 참여를 희망하는 학생은 '25. 1. 20.(월) 10:00까지 제출 바랍니다.가. 활동명: 2025년 서울런 멘토단나. 활동기간: '25. 3.~'26. 2.다. 활동내용:  서울런  수강생을 대상으로 1:1 학습관리 및 상담라. 지원자격: (비대면) 전국 대학(원)생, (대면) 수도권 대학(원)생 ※ 휴학생 포함마. 선발조건: (필수) 직전 학기 학점 C+ 이상(직전 평균평점 2.5 이상) 만 39세 이하 대학",2025-01-17 16:16:36.0
분자생명공학과,2024학년도 겨울방학 영어학습센터 재학생 대상 특강 신청 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906430/artclView.do,"언어교육원에서 우리 대학 학부 재학생의 자기주도학습 역량 강화를 통한 외국어 능력 함양을 위해 특별강연을 진행합니다. 많은 참여 바랍니다.가. 주제: Speak Smarter, Not Harder: 영어 말하기, 맞춤형 전략찾기 로드맵나. 강사: 박초아다. 일시: 2025. 1. 23.(목), 오전 10:30~12:00라. 방법: 온라인 특강(Zoom 활용)※ 입장코드는 신청자 대상 당일 송부 예정마. 혜택: 무료 교육비 및 특강 만족도 조사 참여 시, 스타벅스 쿠폰 제공바. 접수기간: 2025. 1. 14.(화) ~ 1. 22.(",2025-01-17 14:06:47.0
분자생명공학과,2024학년도 느티나무 장학금 신청 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906429/artclView.do,"2024학년도 느티나무 장학을 다음과 같이 시행하오니 해당되는 학생의 많은 신청 바랍니다.가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원다. 신청 및 장학",2025-01-17 14:04:20.0
분자생명공학과,2024 지역민과 함께하는 Focus On Science 4-찾아가는 물리실험 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906428/artclView.do,"지역 학생들과 시민들에게 4차 산업시대에 필요한 과학지식을 전수하고 기초과학분야 체험기회를 제공하고자 개최하는  2024 지역민과 함께하는 Focus On Science 4 를 안내드립니다.1. 프로그램 내용가. 주 제: 현미경으로 달을 볼 수 있을까?나. 장 소: 광주광역시 남구 광주시민회관 1층다. 일 시: 2025. 1. 25.(토) 10:30 ~ 12:30라. 내 용- 현미경과 망원경의 원리- 현미경 체험실습마. 인 원: 30명(선착순 접수)바. 대 상: 초등학생, 중 고등학생, 대학생, 지역민사. 신청방법: 온라인 신청(h",2025-01-17 14:02:20.0
분자생명공학과,2024학년도 전기(2025년 2월) 학부 졸업(수료) 사정 실시 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906293/artclView.do,"* 2024학년도 전기(2025년 2월) 학부 졸업(수료) 사정- 기한: ~ 2025. 01. 22.(수) 오후 4시 까지- 졸업자격인정기준 제출장소: 학과사무실(농4-314호)* 졸업자격 인정기준- 전공영역   졸업논문 제출   국가기술자격증(공무원 가산점 5% 이상) 제출- 외국어 영역(입학년도 기준)   2010 ~ 2013: 생활영어 1,2 중 1과목 이상 이수   2014 ~ 2018: 글로벌커뮤니케이션잉글리쉬 이수자   2019 이후: 생활영어1관련 문의사항은 학과사무실로 연락바랍니다.(062-530-2160)",2025-01-16 15:19:29.0
분자생명공학과,"전남대학교 그린바이오혁신융합대학사업단 연계전공, 마이크로디그리 모집",https://mimb.jnu.ac.kr/bbs/mimb/560/906160/artclView.do,"전남대학교 그린바이오혁신융합대학사업단 연계전공, 마이크로디그리 모집1) 신청기간 :  2025.01.15. (수) - 2025.01.17. (금)2) 신청방법 : 전남대학교 포털 사이트 신청  - 연계전공 : 디지털그린바이오소재전공, 디지털그린바이오시스템전공  - 마이크로디그리 : 그린바이오공정, 융합기계시스템설계, 융합기계재료, 디지털원예, 디지털농생명, 그린에코시스템, 푸드테크, 애그테크스마트팜, 디지털육종* 2025학년도 그린바이오 성과장학 대상자 : 마이크로디그리 또는 연계전공 신청자이오니 많은 참여 바랍니다.",2025-01-15 14:32:28.0
분자생명공학과,[선착순] 2024학년도 농생대 「취업 완전 정복 핵심 가이드_Battle for job」 운영 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906159/artclView.do,"우리 대학에서 학생들의 취업 역량을 강화하고 지역 취업 및 정주 활성화를 위하여 「취업 완전 정복 핵심 가이드_Battle for job」 프로그램을 다음과 같이 운영하여 안내드립니다. 1. 프로그램명: 취업 완전 정복 핵심 가이드_Battle for job2. 모집기간: 2025. 01 .15.(수)~2025. 01. 21.(화)3. 운영기간: 2025. 01. 22.(수)~2025. 01. 23.(목) / 무박 2일4. 장소: 농2-126호5. 참여대상: 농생대 재학생, 휴학생, 졸업생(졸업 후 2년 이내)6. 모집인원: 40명",2025-01-15 14:30:51.0
분자생명공학과,2025학년도 1학기 일반대학원 수료후등록 신청 안내,https://mimb.jnu.ac.kr/bbs/mimb/560/906061/artclView.do,"BK21사업 및 국가연구개발사업(교수연구비장학금 포함)에 참여하거나 과학기술분야 연구실의 연구활동종사자에 해당되는 대학원생은 수료후등록을 반드시 신청하시어 연구비, 인건비 지급 및 연구활동종사자 보험 가입에 따른 불이익이 없길 바랍니다.가. 대상: 일반대학원 및 전문 특수대학원 수료생나. 절차: 교육지원 내 학사업무 등록 대학원 수료후등록신청 신청다. 신청기간: 2025. 2. 3.(월) ~ 2. 14.(금) *기한엄수라. 고지서 출력 및 납입기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지마. 수료 후 등록비",2025-01-14 13:56:02.0
