학부,제목,링크,내용,작성일
식품공학과,2025학년도 1학기 국가장학금 2차 신청 안내,https://foodsci.jnu.ac.kr/bbs/foodsci/678/907013/artclView.do,"2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00- 서류제출 및 가구원 정보제공 동의 기간:  '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감   ※ 여수캠퍼스 학생:  전남대학교(본교)  선택 후 본인 소속학과로",2025-01-24 19:50:12.0
식품공학과,2024학년도 전공 관련 자격증 응시료 지원 사업 3차 시행 안내,https://foodsci.jnu.ac.kr/bbs/foodsci/678/907012/artclView.do,1. 사 업 명: 전공 관련 자격증 응시료 지원 사업2. 사업대상: 3~4학년 학부 및 대학원 재학생3. 추진일정구분신청 기간비고3차 25. 02. 03.(월) 14:00 ~  25. 02. 07.(금) 선착순※ 예산 소진 시 조기 사업 종료농2-125(취업지원실)  붙임  전공 관련 자격증 응시료 지원 사업 계획서 1부. 끝.,2025-01-24 19:46:48.0
식품공학과,2024학년도 공인 외국어 응시료 지원 사업 3차 시행 안내,https://foodsci.jnu.ac.kr/bbs/foodsci/678/907010/artclView.do,1. 사 업 명: 공인 외국어 응시료 지원 사업2. 사업대상: 농생대 학부 및 대학원 재학생3. 추진일정시험 응시일 24. 02. 01.(목) ~  25. 01. 31.(금) 구분신청 기간비고3차 25. 02. 03.(월) 14:00 ~  25. 02. 07.(금)농2-125  붙임  공인 외국어 응시료 지원 사업 계획서 1부. 끝.,2025-01-24 19:44:47.0
식품공학과,2025학년도 1학기 수강신청 시행 계획 안내,https://foodsci.jnu.ac.kr/bbs/foodsci/678/906556/artclView.do,2025학년도 1학기 수강신청 시행 계획 안내  업무내용기간시간대상내용수강인원 조정 25.1.24.(금)~1.31.(금)09:00～18:00 전공: 강좌 주관학과 교양: 강좌 협력학과 학년별 수강인원 관리 자과/타과/부전공 수강인원 조정 분반정보의 사무실 번호 입력수강신청테스트 25.2.5.(수)10:00~12:00 학부 전 학년 공통 수강희망과목 예약 테스트14:00～18:00 수강신청 테스트※ 테스트 종료 후 신청 내역 일괄 삭제수강희망과목예약 신청'25.2.6.(목)~2.7.(금)10:00～18:00 학부 전,2025-01-20 14:29:21.0
식품공학과,"2025년 상반기 일반대학원 외국어, 종합시험 내부계획 안내",https://foodsci.jnu.ac.kr/bbs/foodsci/678/906552/artclView.do," 외국어 종합시험 시행 내역 구  분추진 내용 및 일정비 고 시험 일정 및 장소 종합시험: 2025. 1. 22.(수)- 1분야 09:30 10:40- 2분야 11:00 12:10- 3분야 13:00 14:10* 장소: 농생대 1호관102호 강의실  외국어 시험: 2024. 1. 23.(목)- 09:30 10:40 시험 대상자 종합시험: 12명(석사: 9명, 박사: 2명, 석 박사통합: 1명) 외국어시험: 54명(석사: 37명, 박사: 11명, 석 박사통합: 6명)  합격자 발표 2025. 2. 21.(금) 예정",2025-01-20 14:14:57.0
식품공학과,2024학년도 느티나무 장학금 신청,https://foodsci.jnu.ac.kr/bbs/foodsci/678/906547/artclView.do,"2024학년도 느티나무 장학금 신청 안내가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원다. 신청 및 장학금 지급1) 신청기간: 2025. 1. 15.(",2025-01-20 13:59:51.0
식품공학과,"2025학년도 1학기 일반(전문,특수대학원 포함)대학원 수료후등록 신청 안내",https://foodsci.jnu.ac.kr/bbs/foodsci/678/906545/artclView.do,"2025학년도 1학기 일반(전문,특수대학원 포함)대학원 수료후등록 신청 안내* 신청방법 *  가. 대상: 일반대학원 및 전문 특수대학원 수료생 나. 절차: 교육지원 내 학사업무 등록 대학원 수료후등록신청 신청 다. 신청기간: 2025. 2. 3.(월) ~ 2. 14.(금) *기한엄수  라. 대상자 명단 제출 기한: 2025. 2. 17.(월) 10:00까지  마. 고지서 출력 및 납입기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지  바. 수료 후 등록비: 당해학기 등록금의 8%",2025-01-20 13:56:02.0
식품공학과,2024학년도 동계 계절학기 학사 일정 변경 알림,https://foodsci.jnu.ac.kr/bbs/foodsci/678/906540/artclView.do,▣ 동계 계절학기 운영 일정 ▣업무명운영 일정내용수업평가 실시기간 25. 1. 20.(월) ~ 1. 31.(금)⦁수강신청 전과목에 대한 수업평가 완료시 성적열람 가능성적처리성적 입력 및 공고 25. 1. 20.(월) ~ 1. 22.(수)⦁성적입력 및 제출 기한이 짧으므로 유의성적정정 25. 1. 20.(월) ~ 1. 24.(금) 성적제출마감 25. 1. 31.(금) 18:00⦁기존)  25. 1. 27.(월)   변경)  25. 1. 31.(금)성적인정 25. 2. 3.(월) 까지⦁기존)  25. 1. 31.(금)   변경)  2,2025-01-20 11:54:38.0
식품공학과,2025학년도 모집단위간이동(전과) 식품공학과 면접일 안내,https://foodsci.jnu.ac.kr/bbs/foodsci/678/906407/artclView.do,"2025학년도 모집단위간이동(전과) 식품공학전공 면접일을 아래와 같이 공고하오니, 전과(전입) 희망 하는 학생은 참고하시어 면접일에 늦지 않게 준비하시기 바랍니다.  - 면접일: 2025. 1. 23.(목) 오후 2시- 면접장소: 농생대2호관 302호  - 모집장소: 농생대2호관 314호  - 유의사항: 면접 당일 모집장소(학과사무실)에  오후 1시 50분까지 도착하여야 함",2025-01-17 11:11:34.0
식품공학과,오뚜기함태호재단 장학생 지원 안내,https://foodsci.jnu.ac.kr/bbs/foodsci/678/906162/artclView.do,"오뚜기함태호재단 장학생 지원 안내드립니다. (지원하기전 학과사무실에 전화바랍니다.)지원서류 제출 기한 : 2025.1.17(금) 11:00까지 (학과사무실 방문 제출, 방문이 어려운 경우 전화문의해주시기 바랍니다.062-530-2140)가. 추천인원: 1명(식품공학과)나. 장학금액: 등록금 전액(졸업시까지 최대 2년까지 수혜 가능)다. 장학유형: 등록금(국가장학금 등 타장학금 중복수혜 불가)라. 추천자격1) 2025학년도 1학기에 3-1학기 진학 예정자  2) 품행이 단정하고 타의 모범이 된다고 인정되는 자   3) 전체학기 성적",2025-01-15 14:48:23.0
