학부,제목,링크,내용,작성일
응용식물학과,2025학년도 1학기 국가장학금 2차 신청 안내,https://agro.jnu.ac.kr/bbs/agro/444/906993/artclView.do,"2025학년도 1학기 국가장학금 2차 신청 안내2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내하오니 해당자 중 신청을 원하는 경우 장학재단 홈페이지에서 자세한 내용을 확인 후 신청 바랍니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00- 서류제출 및 가구원 정보제공 동의 기간: '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00",2025-01-24 16:23:35.0
응용식물학과,2025학년도 1학기 수강신청 시행 계획 안내,https://agro.jnu.ac.kr/bbs/agro/444/906478/artclView.do,"2025학년도 1학기 수강신청 시행 계획 안내2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드립니다. 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영되오니, 자세한 내용은 반드시 첨부파일 내용 확인 바랍니다.수강 정원이 마감된 강좌에 한하여 수강취소로 인해 잔여석이 발생하면 실시간 수강신청이 아닌 사전에 지정한 시간(학년별 14시, 16시, 공통 정정 20시, 익일 10시)에 수강신청이 가능하도록 변경되었습니다. 단, 학과로 수강신청 문의는 평일 18시까지만 가능합니다.업무내용기간시간대상내용수강인원 조정 25.1",2025-01-17 17:55:35.0
응용식물학과,2024학년도 겨울방학 영어학습센터 재학생 대상 특강 신청 안내,https://agro.jnu.ac.kr/bbs/agro/444/906456/artclView.do,"2024학년도 겨울방학 영어학습센터 재학생 대상 특강 신청 안내언어교육원에서 우리 대학 학부 재학생의 자기주도학습 역량 강화를 통한 외국어 능력 함양을 위해 특별강연을 진행합니다. 많은 참여 바랍니다.가. 주제: Speak Smarter, Not Harder: 영어 말하기, 맞춤형 전략찾기 로드맵나. 강사: 박초아다. 일시: 2025. 1. 23.(목), 오전 10:30~12:00라. 방법: 온라인 특강(Zoom 활용)※ 입장코드는 신청자 대상 당일 송부 예정마. 혜택: 무료 교육비 및 특강 만족도 조사 참여 시, 스타벅스 쿠폰 제",2025-01-17 16:16:56.0
응용식물학과,2024학년도 느티나무 장학금 신청 안내,https://agro.jnu.ac.kr/bbs/agro/444/906453/artclView.do,"2024학년도 느티나무 장학금 신청 안내2024학년도 느티나무 장학을 다음과 같이 시행하오니 해당되는 학생의 많은 신청 바랍니다.가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에",2025-01-17 16:14:48.0
응용식물학과,2025년도 재단법인 조비․경농 장학재단 장학생 선발 지원서 접수(1.14(화) 10시까지),https://agro.jnu.ac.kr/bbs/agro/444/905647/artclView.do,"2025년도 재단법인 조비․경농 장학재단 장학생 선발 지원서 접수 안내2025년도 재단법인 조비,경농 장학재단 장학생 선발로 응용식물학과에서 추천인원으로 1명 배정받았습니다. 지원자는 1) 지원서 제출예정자는 1.13(월) 10시까지 조교에게 카톡으로 사전 연락바랍니다.**카톡연락시,[2025년도 재단법인 조비, 경농 장학] 지원합니다. 학번(123456), 이름(홍길동) 2) 지원서 제출예정자1.13(월) 10시까지 연락이 된 사람 중제출서류(아래 공고문 및 첨부파일 참조) 1.14(화) 10시까지 학과실로 제출 바랍니다.2025",2025-01-10 10:45:02.0
응용식물학과,2025학년도 1학기 자유학기(자유교과목) 운영 안내(일정 변경),https://agro.jnu.ac.kr/bbs/agro/444/905272/artclView.do,"2025학년도 1학기 자유학기(자유교과목) 운영 안내2025학년도 1학기 자유학기(자유교과목) 운영 신청 기간을 연장하여 다음과 같이 안내드립니다.가. 신청자격: 우리대학 정규학기 2학기 이상 등록한 학생(최종학기 신청 가능)나. 대상학기: 2025학년도 1학기다. 신청기간: 2024. 12. 17.(화) ~ 2025. 1. 14.(화) 18:00까지라. 신청방법: 주제 선정 및 학과(부) 방문 담당 지도교수 배정 신청서 및 계획서 작성 후 출력(5,6p 참고) 지도교수 확인 및 서명(도장) 날인 학과(부) 서면 제출 및 전남대포털",2025-01-07 17:25:11.0
응용식물학과,국가거점국립대학교 2025학년도 1학기 학사교류강화 통합공고 안내,https://agro.jnu.ac.kr/bbs/agro/444/905253/artclView.do,"국가거점국립대학교 2025학년도 1학기 학사교류강화 통합공고 안내국가거점국립대학교(KNU10)는 학사교류 활성화 및 상호발전을 위한 협력을 도모하고자 2020. 10. 8. 상호협약을 체결하였고, 이에 따라 2025학년도 1학기에도 학점 교류제도를 발전시킨 국가거점국립대학교(KNU10) 학사교류 제도를 운영합니다.※ KNU10: 전남대, 강원대, 경북대, 경상국립대, 부산대, 서울대, 전북대, 제주대, 충남대, 충북대 이에 국가거점국립대학(KNU10) 학사교류 통합공고문을 붙임과 같이 안내해 드립니다. 주요 사항 가. 지원자격: 학",2025-01-07 16:22:13.0
응용식물학과,2025학년도 제1학기 등록 안내,https://agro.jnu.ac.kr/bbs/agro/444/905160/artclView.do,"2025학년도 제1학기 등록 안내2025학년도 1학기 등록 안내를 다음과 같이 안내드리오니, 등록금고지서는 학생이 직접 우리 대학 홈페이지 또는 전남대 포털에서 출력하여 납부 바랍니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨) 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하오니 희망하는 학생들은 신청 바랍니다.가. 신청기간: 2",2025-01-07 09:45:53.0
응용식물학과,「남구 학교 밖 청소년지원센터 운영」 교육봉사자 모집 안내,https://agro.jnu.ac.kr/bbs/agro/444/905158/artclView.do,「남구 학교 밖 청소년지원센터 운영」 교육봉사자 모집 안내남구 학교 밖 청소년지원센터에서 남구 지역 학교 밖 청소년들의 학력 취득 지원을 위한 검정고시반 교육봉사자를 모집합니다.가. 활동기간: '25. 2. ~ 4. ※ 정확한 일정은 추후 통보나. 활동내용: 학교 밖 청소년들의 검정고시 학력 취득을 위한 교육다. 접수기간: '25. 1. 6.(월) ~ 1. 23(목) 17:00까지 ※ 결과 발표: '25. 1. 24.(금)라. 신청방법: [붙임2]의 신청서 작성 후 이메일(1324namgu@naver.com) 접수,2025-01-07 09:41:46.0
응용식물학과,"2025학년도 1학기 국가유공장학, 북한이탈주민장학, 자립준비청년장학, 가족장학 신청 안내",https://agro.jnu.ac.kr/bbs/agro/444/905154/artclView.do,"2025학년도 1학기 국가유공장학, 북한이탈주민장학, 자립준비청년장학, 가족장학 신청 안내해당자는  증빙서류를 2025. 1. 14.(화) 오후 4시까지 학과실(농4-225)에 제출하여 주시기 바랍니다.구 분수혜자격증빙 서류장학금비고국가유공장학(법정장학) 독립유공자예우에 관한 법률 등 관련 법령에 따른 법정 장학 대상자 중 직전 학기 평균평점이 1.75(실점 70점) 이상인 자※ 국가유공자 등 본인은 성적 제한 없음 교육지원대상자증명서(본인) 또는 대학수업료등 면제대상자증명서(자녀) 1부    성적증명서 1부※ 기수혜자는 신청",2025-01-07 09:40:12.0
