학부,제목,링크,내용,작성일
문화인류고고학과,2025. 3. 1.자 문화인류고고학과 교육공무원(조교) 공개채용 공고,https://illyu.jnu.ac.kr/bbs/illyu/1866/905849/artclView.do,"전남대학교 사회과학대학 문화인류고고학과에서 교육 연구 및 학사 행정업무를 성실하게 수행할 교육공무원(조교)을 아래와 같이 공개채용 하니 많은 지원 바랍니다.가. 모집분야 및 인원모집분야: 문화인류고고학과 행정 조교모집인원: 1명나. 주요 업무- 학과 행정 지원 업무(교무, 학사, 입학, 장학 등)- 학과 행사 및 운영 지원- 기타 학과에서 진행하는 일다. 지원자격- 학사학위 이상 소지자- 공무원 임용에 결격 사유가 없는 자- 남자인 경우 병역 필 또는 면제자라. 근무 조건- 근무시간: 주 5일, 1일 8시간 근무(09:00~18:0",2025-01-13 09:19:29.0
문화인류고고학과,2025학년도 1학기 등록 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/905420/artclView.do,"우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이 안내합니다.1. 등록금고지서는 학생이 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부할 수 있도록 바랍니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)2. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들이 신청할",2025-01-08 10:43:50.0
문화인류고고학과,2024년 하반기 1차 도전장학(미래) 선발 계획 공고 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/903259/artclView.do,"「2024년 하반기 1차 도전장학(미래) 선발 계획」을 다음과 같이 공고하오니 우수한 인재들이 많이 신청할 수 있도록 바랍니다.1. 장학생 선발가. 자격: 2025년 2월 학사과정 졸업예정자로서 2025학년도 전기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원※ 단, 지원액은 가용예산 범위에 따라 다소 변동 가능함다. 제출서류대상제출 서류제출 기한제출처지",2024-12-17 17:57:42.0
문화인류고고학과,2025학년도 제1학기 휴학·복학 신청 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/903194/artclView.do,2025학년도 제1학기 휴학 복학 신청에 대한 안내문을 붙임과 같이 송부하니 학생들이 열람할 수 있도록 바랍니다.가. 휴학 신청 기간1) 일반휴학(등록): 2025. 2. 18.(화) ~ 4. 24.(목)2) 일반휴학(미등록): 2025. 2. 18.(화) ~ 2. 21.(금)나. 복학 신청 기간1) 조기복학: 2025. 1. 2.(목) ~ 2. 7.(금)2) 일반복학: 2025. 1. 2.(목) ~ 2. 21.(금)다. 휴학 복학 신청 방법 및 유의 사항: 붙임 안내문 참조 붙임 2025학년도 제1학기 휴학 복학 신청 안내 1부.,2024-12-17 16:22:07.0
문화인류고고학과,2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/903193/artclView.do,2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적사항을  재학 으로 유지하고자 희망하는 학생에게 졸업(수료) 유보를 신청할 수 있도록 바랍니다. □ 졸업(수료) 유보 신청 및 유보비 납부 □가. 유보 신청 기간 : 2024. 12. 12.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청기간 없음]나. 유보비 납부기간[고지서 발행] : 2025. 1. 8.(수) ~ 1. 10.(금) 16:00까지 [추가 납부기간 없음]※ 고지서 발행(학생 개별 출력): 포털 등록 학부졸업(수료,2024-12-17 16:20:32.0
문화인류고고학과,2025학년도 1학기 학·석사학위연계과정 모집 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/902183/artclView.do,2025학년도 1학기 학부생 학 석사학위연계과정 및 학 석박사학위통합연계과정자 모집을 붙임과 같이 안내하오니 많은 학생들이 지원할 수 있도록 바랍니다. ▢ 일정 및 지원절차 ▢구  분일  정절차 및 방법비  고지원서 접수 25. 1. 2.(목)~ 1. 10.(금)지원자 ⇨ 단과대학 행정실#9312;연계과정 지원서#9313;지원학과 지도예정교수 추천서#9314;성적확인서(*당해학기 포함)#9315;연구활동계획서합격자 안내 25. 1. 27.(월)예정대학원 ⇨ 대학 수강신청 25. 2. 14.(금)~ 2. 21.(금)포털 ⇨ 교육지원(,2024-12-09 17:02:45.0
문화인류고고학과,조기취업자 출석인정 증빙서류 제출 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/901277/artclView.do,"24학년도 2학기에 조기취업으로 출석인정을 승인받은 학생은 조기취업자에 대한 특례조항에 따라 계속 재직하고 있음을 증빙할 수 있는 서류(최근 날짜 발행)를 소속 학과(부)에 제출하여 주시기 바랍니다.가. 제출 기한: 기말고사 실시 전일까지나. 제출 서류: 「재직증명서」, 「건강보험자격득실확인서」 등 계속 재직중임을 증빙할 수 있는 서류(제출일 기준 최근 1개월 이내에 발급한 증명서)○ 제출시: 출석인정 승인 유지(학사과와 강의개설 학과(부) 통지 불요)○ 미제출시- 조기취업 출석인정 승인받은 기간 모두 결석 처리- 소속 학과(부)",2024-11-26 17:28:34.0
문화인류고고학과,한국토지주택공사 2024학년도 동계 대학생 현장실습학기제 실습생 모집 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/899487/artclView.do,"우리 대학 학생들의 산업 현장에 대한 이해 증진 및 진로 탐색을 위한 「한국토지주택공사 2024학년도 동계 대학생 현장실습학기제」 모집을 아래와 같이 안내하오니 많은 학생들이 참여할 수 있도록 요청드립니다.가. 실습기업(관)명: 한국토지주택공사나. 모집인원: 총 13명다. 모집기간: 2024. 11. 07.(목) 14:00까지라. 실습기간: 2024. 12. 26.(목)   2025. 02. 25.(화) [8주]마. 모집안내기업명실습부서전 공한국토지주택공사광주전남지역본부광주동남권주거복지지사경영학부,경제학부,국제학부,문화콘텐츠학부,물",2024-11-05 13:56:53.0
문화인류고고학과,2024학년도 2학기 도전장학생(비상) 선발 계획 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/898164/artclView.do,"2024학년도 2학기 도전장학생(비상) 선발을 다음과 같이 시행하오니 많은 학생들이 지원할 수 있도록 바랍니다. 가. 선발인원(예정): 101명(학부재학생 96명, 외국인학생 5명)나. 장학금액(1인당): 1,800천원다. 접수기간: 2024. 10. 22.(화) 09:00~ 10. 29.(화) 18:00라. 신청방법전남대학교포털사이트(http://portal.jnu.ac.kr)에 로그인 후   교육지원   내학사행정  장학   도전장학   장학금신청에 접속하여 도전계획서 작성 및 제출마. 선발계획: 붙임파일 및 홈페이지 공지사항",2024-10-18 17:57:30.0
문화인류고고학과,2024학년도 2학기 교과구분 정정 실시 안내,https://illyu.jnu.ac.kr/bbs/illyu/1866/895083/artclView.do,"휴 복학에 따른 교육과정 적용년도 변경, 부 복수전공 선발, 모집단위간 이동(전과) 및 국내 타대학 교류로 인한 교과구분이 상이한 학생에 대하여 다음과 같이 교과구분 정정을 실시하니 2024.10.2.(수)까지 제출하여 주시기 바랍니다.가. 교육과정 적용 기준: 당초 입학년도 교육과정 적용, 단, 학적변동(복학, 재입학)으로 입학년도 교육과정 적용이 어려울 경우 복학하는 학년도의 소속학년 학생이 입학했던 당시의 교육과정으로 변경 할 수 있음나. 주요 확인 및 유의사항1) 휴 복학 및 전과에 따른 교육과정 적용년도 변경자의 경우, 적",2024-09-10 19:11:05.0
