학부,제목,링크,내용,작성일
불어불문학과,2025학년도 상반기 교직 적성·인성 검사 실시 안내,https://french.jnu.ac.kr/bbs/french/2189/906624/artclView.do,"2025학년도 상반기 교직 적성 인성검사를 실시합니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터용 수성사인펜 반드시 지참바. 유의 사항: 【붙임】 참조 붙임 2025",2025-01-21 10:25:28.0
불어불문학과,2025학년도 1학기 불어불문학과 등록금재원 장학금 신청 안내,https://french.jnu.ac.kr/bbs/french/2189/906424/artclView.do,"(필히 전남대학교 홈페이지(학사정보-장학-교내장학금) 참조할 것 :교내장학금   장학/학자금융자   대학생활   전남대학교 대표 홈페이지 (https://www.jnu.ac.kr/MainUniLife/UniInfor/Promotion/InternalScholarship)   1. 제출서류 : 장학금 신청서 1부, 학업계획서 1부 (필수★)(서술형으로 칸을 모두 채워야 함)DELF성적증명서, TOEIC(기타 영어시험) 성적표(해당자만 제출, 가산점 부여)  2. 장학금 신청 기간 및 서류 제출기간 : 2025년 1월 20일(월) ~",2025-01-17 13:36:12.0
불어불문학과,[마감]2024학년도 불어불문학과 프랑스어능력시험(DELF/DALF) 응시료 지원 사업 신청 안내,https://french.jnu.ac.kr/bbs/french/2189/906388/artclView.do,2024학년도 불어불문학과 프랑스어능력시험(DELF/DALF)응시료 지원 사업 신청 안내대상 2024년에 시행된 DELF/DALF에 응시한 불어불문학과 학생신청 기간 2025. 1. 17.(금) ~ 1. 21.(화)지원 예상액 첨부파일 참조(지원자 수 및 예산에 따라 변동 가능)제출 서류1. 신청서2. 시험 합격증(방문 제출 : 원본의 복사본 / 메일 제출 : 스캔본)  *Dipl me이 미발급 상태인 경우 Attestation으로 제출  * 스캔본과 복사본은 앞/뒷면 모두 제출3. 개인정보이용동의서(날인이 들어가야 함)4. 통장,2025-01-17 09:48:50.0
불어불문학과,2025학년도 1학기 수강신청 시행 계획 안내,https://french.jnu.ac.kr/bbs/french/2189/906387/artclView.do,"2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영됩니다.업무내용기간시간대상내용수강신청테스트 25.2.5.(수)10:00~12:00 학부 전 학년 공통 수강희망과목 예약 테스트14:00～18:00 수강신청 테스트※ 테스트 종료 후 신청 내역 일괄 삭제수강희망과목예약 신청'25.2.6.(목)~2.7.(금)10:00～18:00 학부 전 학년 공통 학부생만 해당(대학원생 제외) 수강희망과목 예약을 했더라도 수강신청이 확정된 것은 아니며 반드시  수강신청기간",2025-01-17 09:42:56.0
불어불문학과,2025학년도 1학기 타 대학교(한국예술종합학교) 교류학생 추천 안내,https://french.jnu.ac.kr/bbs/french/2189/906055/artclView.do,2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내합니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)나. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한개설교과목 안내비고(교류 학점 인정)한국예술종합학교2025.01.22.(수) 18:00까지붙임2(엑셀파일)의「2025-1학기,2025-01-14 13:15:47.0
불어불문학과,2025학년도 1학기 타 대학교(중앙대) 교류학생 추천 안내,https://french.jnu.ac.kr/bbs/french/2189/906008/artclView.do,2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내합니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)나. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한강의시간표 조회 방법기타 세부사항비고(교류 학점 인정)중앙대2025.01.21.(화)*결재가 늦어질경우 우선 메일로송부 바람.,2025-01-14 09:15:26.0
불어불문학과,2025학년도 1학기 타 대학교(강원대) 교류학생 추천 안내,https://french.jnu.ac.kr/bbs/french/2189/905887/artclView.do,2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내합니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)나. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한개설교과목 열람비고(교류 학점 인정)강원대2025.01.23.(목)- 2025.01.23.(목) 공지 예정- 강원대학교 홈페이,2025-01-13 13:27:40.0
불어불문학과,2025학년도 2학기 해외 파견 교환학생 선발 안내,https://french.jnu.ac.kr/bbs/french/2189/905884/artclView.do,"2025학년도 2학기 해외 파견 교환학생을 다음과 같이 선발 합니다.가. 파견대학 및 선발 예정인원: 23개국 59개교 177명- 이 중 22개국 48개 대학은 대학원생 지원 가능 (엑셀파일에 별도 표기됨)- 일본, 중국은 2차 모집 시 지원 가능나. 파견기간: 2025년 7월 ~ 2026년 5월 중 (한 학기 또는 1년 파견)다. 추진일정1) 모집공고 및 신청서 접수:-1차:  25. 1. 6.(월) ~ 1. 20.(월)-2차:  25. 2. 17.(월) ~ 3. 4.(화)2) 선발시험(외국어 구술 및 면접):  25. 1. 22",2025-01-13 11:49:11.0
불어불문학과,2025학년도 1학기 타 대학교(충남대) 교류학생 추천 안내,https://french.jnu.ac.kr/bbs/french/2189/905853/artclView.do,2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내합니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)나. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한개설교과목 열람 안내비고(교류 학점 인정)충남대학교2025.01.15.(수)- 2025.01.15.(수) 예정- 수강신청시스템,2025-01-13 09:32:00.0
불어불문학과,2025학년도 1학기 타 대학교(충북대) 교류학생 추천 안내,https://french.jnu.ac.kr/bbs/french/2189/905848/artclView.do,2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내합니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)나. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한개설교과목 열람 방법비고(교류 학점 인정)충북대2025.01.22.(수)- 개설교과목 열람: 2025.01.22.(수) 공지,2025-01-13 09:18:55.0
