학부,제목,링크,내용,작성일
국어교육과,2025학년도 국어교육과 편입학전형 관련 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/907149/artclView.do,1. 전형일정- 편입학 전형 면접 실시: 2025. 2. 4.(화) 09:00~  [08:30까지 대기실 입실 완료]2. 면접 실시 관련 안내사항- 국어교육과는 2025학년도 편입 면접 시 면접장소에서 제시문을 활용함.- 평가의 공정성을 위해 면접 제시문에 대한 문의는 받지 않음3. 면접 관련 유의사항- 편입 관련 세부 내용은 전남대학교 홈페이지 확인 요망,2025-01-31 15:42:43.0
국어교육과,2025학년도 1학기 타 대학교(국립목포대) 교류학생 추천 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906956/artclView.do,1. 관련: 국립목포대학교 교무과-1139(2025.01.21.)2. 2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내하오니 희망하시는 학생들께서는 붙임 서식(교류대학 추천자 명단) 및 수학신청원을 1.31.(금)오전 10시까지 학과사무실(교육융합관 323호)로 제출해 주시기 바랍니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1,2025-01-24 12:58:17.0
국어교육과,2025학년도 상반기 교직 적성·인성 검사 실시 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906954/artclView.do,". 관련: 교원정책과-3248(2013.3.5.), 교직 적성 인성 검사도구 표준안 개발 보급2. 2025학년도 상반기 교직 적성 인성검사를 실시하오니 해당 학과(전공)에서는 대상 학생이 신청하여 검사를 받을 수 있도록 공지바랍니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사",2025-01-24 12:53:10.0
국어교육과,2025학년도 교양 교육과정 홍보 리플릿,https://koredu.jnu.ac.kr/bbs/koredu/2290/906953/artclView.do,1. 관련가. 교육혁신본부-7262(2024.12.12.) 「2025학년도 교양 교육과정 홍보 기본 계획」나. 교육혁신본부-352(2025.01.15.) 「2025학년도 교양 교육과정 설명회 개최 안내」 2. 교육혁신본부 교양교육센터에서는 신입생 및 재학생의 교양 교육과정 이해를 돕기 위하여 2025학년도 교양 교육과정 홍보 리플릿을 배포합니다.,2025-01-24 12:52:38.0
국어교육과,2025학년도 1학기 수강신청 시행 계획 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906952/artclView.do,"관련: 학칙 제39조 수강신청, 교학규정 제2절 수강신청, 수업관리지침 제3장 수강신청 2. 2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영되오니, 학생들에게 적극 안내하여 주시기 바랍니다.업무내용기간시간대상내용수강희망과목예약 신청'25.2.6.(목)~2.7.(금)10:00～18:00 학부 전 학년 공통 학부생만 해당(대학원생 제외) 수강희망과목 예약을 했더라도 수강신청이 확정된 것은 아니며 반드시  수강신청기간에 수강신청을 해야함 모바일 수강희망과목",2025-01-24 12:49:12.0
국어교육과,2024학년도 느티나무 장학금 신청 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906951/artclView.do,"1. 관련: 학생과-556(2025.01.14.) 「2024학년도 느티나무 장학금 선발 계획(안) 수입 및 시행」가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만",2025-01-24 12:45:14.0
국어교육과,2025학년도 1학기 타 대학교(한양대) 교류학생 추천 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906680/artclView.do,1. 관련: 한양대학교 H1312-2023-306(2025.01.17.)2. 2025학년도 1학기 타 대학교 학점교류 운영계획을 다음과 같이 안내하오니 희망하시는 학생들께서는 붙임 서식(교류대학 추천자 명단) 및 수학신청원을 1.31.(금) 11시까지 학과사무실(교육융합관 323호)로 제출해 주시기 바랍니다.가. 지원자격1) 재학생에 한함(2025.1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이,2025-01-21 15:17:34.0
국어교육과,2025학년도 1학기 타 대학교(한국과학기술원) 교류학생 추천 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906676/artclView.do,1. 관련: 한국과학기술원 학적팀-127(2025.01.15.)2. 2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내하오니 희망하시는 학생들께서는 붙임 서식(교류대학 추천자 명단) 및 수학신청원을 1.23.(목)15시까지 학과사무실(교육융합관 323호)로 제출해 주시기 바랍니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를,2025-01-21 15:09:49.0
국어교육과,2025학년도 1학기 타 대학교(울산과학기술원) 교류학생 추천 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906675/artclView.do,1. 관련: 울산과학기술원 학사팀-204(2025.01.17.)2. 2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내하오니 희망하시는 학생들께서는 붙임 서식(교류대학 추천자 명단) 및 수학신청원을 1.22.(수) 15시까지 학과사무실(교육융합관 323호)로 제출해 주시기 바랍니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를,2025-01-21 15:08:11.0
국어교육과,2025학년도 1학기 타 대학교(국립순천대) 교류학생 추천 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906671/artclView.do,1. 관련: 국립순천대학교 교무학사과-944(2025.01.17.)2. 2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내하오니 희망하시는 학생들께서는 붙임 서식(교류대학 추천자 명단) 및 수학신청원을 1.31.(금) 11시까지 학과사무실(교육융합관 323호)로 제출해 주시기 바랍니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년,2025-01-21 14:57:00.0
국어교육과,2025학년도 1학기 타 대학교(국립부경대) 교류학생 추천 안내,https://koredu.jnu.ac.kr/bbs/koredu/2290/906670/artclView.do,1. 관련: 부경대학교 학사관리과-425(2025.01.14.)2. 2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내하오니 희망하시는 학생들께서는 붙임 서식(교류대학 추천자 명단) 및 수학신청원을 2.3.(월)15시까지 학과사무실(교육융합관 323호)로 제출해 주시기 바랍니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초,2025-01-21 14:54:10.0
