학부,제목,링크,내용,작성일
수학교육과,2025학년도 편입학(일반)전형 제시문 활용 모집단위 수학교육과 공지,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/907256/artclView.do,"2025학년도 편입학(일반)전형 제시문 활용 모집단위  수학교육과 공지 사항입니다.  ○ 시험과목 : 미분적분학, 선형대수학 ○ 면접방법 : 수학적 소양을 묻는 질문으로 미분적분학과 선형대수학에 관한 5~10문제를 면접 대기실에서 풀이에 대하여 작성 한 후 면접한다.   수학교육과 편입학 학생은 참고하시기 바랍니다.",2025-02-03 12:12:55.0
수학교육과,2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/904635/artclView.do,"2024학년도 전기 졸업 예정자(기 졸업자 중 교원자격취득 대상자 포함)에 대하여 교원자격증 취득을 위한 무시험검정을 실시 하오니, 수학교육과 졸업 대상자는  교원자격무시험검정원서 및 서류를 학과실로  2025. 1. 7.(화) 12:00 까지 제출하여 주시기 바랍니다.가. 제출대상: 2024학년도 전기(2025년 2월) 졸업 예정자, 기 졸업자 중 교원자격취득 대상자나. 제출서류(파일로 공문에 첨부하고 원본은 해당 대학에서 3년간 자체 보관)1) 교원자격 무시험검정 신청자 명부[붙임2]2) 교원자격무시험검정원서[붙임3]   반드시",2025-01-02 11:40:40.0
수학교육과,[교육봉사활동] 무진중학교 대학생 멘토 모집 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/903757/artclView.do,무진중학교에서는 2024학년도 교육복지우선지원사업 방학프로그램 일환으로 대학생 학습지원 멘토링을 운영합니다. 관심있는 학생들은 참여하기 바랍니다. 붙임  대학생 멘토 모집 1부. 끝.,2024-12-19 17:12:27.0
수학교육과,2025학년도 1학기 재학생 중 대학직장 예비군 전입 신청 및 개인 정보 수정 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/903441/artclView.do,"2025학년도 1학기 재학생 중 대학직장 예비군(전남대학교연대 소속)으로 편성되지 않은 학생은 예비군연대로 전입 신청 및 정확한 훈련 안내를 위하여 개인 정보를 수정하도록 안내합니다.가. 대상: 2025학년도 1학기 대학(원) 재학생[신입(재입학), 편입, 복학, 전과생 포함]1) 신청 기간: 2025. 1. 2.(목) ~2) 신청 절차: 전남대학교 포털 내 학사행정 예비군 예비군 전입 신청3) 전입 신청 4~5일 경과 후 예비군 홈페이지에서 소속 부대 변경 여부 확인나. 소속 부대 확인 및 개인 정보 수정 절차구분소속 부대 확인개",2024-12-18 13:34:51.0
수학교육과,2025학년도 2학기 미국 델라웨어주립대-디즈니 프로그램 참가 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/903438/artclView.do,국제협력과에서는 우리 대학 학생들의 국제적 현장 실무 감각 및 업무 수행 능력   증진을 위한 2025학년도 2학기 미국 델라웨어주립대-디즈니 프로그램 참가자를 모집한다고 합니다. 이에 관심있는 학생들은 신청하기 바랍니다. 가. 파견기간: 2025학년도 2학기 (2025. 7. 8. ~ 2026. 1. 15.)나. 파견기관: 미국 델라웨어주립대(Delaware State University) 및 디즈니 월드 리조트다. 프로그램 내용: 미국 델라웨어주립대 단기 강의 수강 및 디즈니 월드 리조트 인턴십라. 추진일정1) 접수마감: 20,2024-12-18 13:31:21.0
수학교육과,2025년 삼성드림클래스 대학생멘토 모집 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/903341/artclView.do,"1. 관련: (재)삼성복지재단 M00035-580574(2024.11.29.) 「2025년 삼성드림클래스 대학생멘토 선발공고 게시 협조 요청」 2. 삼성드림클래스에서는 중학생들의 롤모델로서 우수한 역량과 봉사정신을 겸비한 대학생멘토를 선발하여 운영하고 있으니, 관심 있는 학생들의 많은 지원 바랍니다.붙임 1. (공고문) 2025년 삼성드림클래스 대학생멘토 선발 공고 1부.       2. (포스터) 2025년 삼성드림클래스 대학생멘토 선발 공고 1부. 끝.",2024-12-18 09:39:24.0
수학교육과,2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 유보 신청 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/903089/artclView.do,2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적사항을  재학 으로 유지하고자 희망하는 학생에게 졸업(수료) 유보를 신청하기 바랍니다. □ 졸업(수료) 유보 신청 및 유보비 납부 □가. 유보 신청 기간 : 2024. 12. 12.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청기간 없음]나. 유보 학과(부) 확인 기한: 2025. 1. 6.(월)다. 유보비 납부기간[고지서 발행] : 2025. 1. 8.(수) ~ 1. 10.(금) 16:00까지 [추가 납부기간 없음]※ 고지서,2024-12-17 13:05:41.0
수학교육과,2024학년도 학부생 대학 종합 만족도 조사 실시 안내 및 홍보 요청,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/900953/artclView.do,"우리 대학의 교육 서비스 개선을 위하여 「2024학년도 학부생 대학 종합 만족도 조사」를 다음과 같이 실시하오니  학생들은 참여하기 바랍니다.가. 조사 개요조사기간- 2024. 11. 18.(월)~12. 6.(금)조사대상- 학부생조사방법- 온라인 설문조사  접속방법: #9312; 홈페이지 및 포털, 전남대스토어 배너창 클릭, #9313; 홈페이지 공지사항 확인- 학부생용 설문지 국문/영문 선택 제공 붙임 2024 대학종합만족도조사 홍보 포스터 1부. 끝.",2024-11-21 17:19:15.0
수학교육과,2024학년도 대학생 핵심역량진단 실시 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/900382/artclView.do,"우리 대학 학생을 대상으로 2024학년도 대학생 핵심역량진단을 다음과 같이 실시하고자 하오니, 학생들은 참여하기 바랍니다. 가. 진단 기간: 2024. 11. 18.(월) ~ 11. 29.(금)  ※ 응답률에 따라 기간 연장 가능나. 진단 대상: 학부생 전체다. 진단 방법: 성장마루 온라인 진단(https://grow.jnu.ac.kr/ko/diag/essential) ※ 통합로그인 필수라. 소요 시간: 5분 내외마. 결과 확인: 진단 종료 후  결과보기  클릭바. 참여 혜택- 참여자 200명 추첨하여 커피 쿠폰 증정 - 1차(3월",2024-11-18 11:30:03.0
수학교육과,2024학년도 동계 계절학기 운영 계획 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/899385/artclView.do,계절학기 주요일정내  용기  간비고강좌개설 24. 10. 24.(목) ~ 10. 25.(금) 수업계획서 입력 24. 10. 25.(금) ~ 10. 29.(화) 개설교과목 공고 24. 10. 31.(목) 수강신청(1차) 24. 11. 4.(월) 10:00 ~ 11. 8.(금) 18:00 대체교과목 신청접수 및 지정 24. 11. 22.(금) 까지 전산입력 24. 12. 6.(금) 까지 결과제출 24. 12. 11.(수) 까지 폐강(1차) 24. 11. 13.(수)수강인원 16명 미만 폐강수강신청(2차) 24. 11. 14.(목) 1,2024-11-04 13:11:13.0
수학교육과,2024 전기(2025년 2월) 수학교육과 졸업예정자 졸업시험 실시 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/899289/artclView.do,[2024 전기(2025년 2월) 수학교육과 졸업예정자 졸업시험 실시 안내]수학교육과에서는 2023 전기(2024년) 졸업예정자에 대한 졸업시험을 다음과 같이 안내하오니 해당학생은 실시하기 바랍니다.1. 일시 : 2024. 11. 07.(목) 10:00~11:30(1교시)  / 13:00~14:30(2교시)2. 장소 : 교육융합관 205호3. 합격점수 : 70점 이상4. 시험유형 : 임용시험 유형,2024-11-01 16:35:23.0
수학교육과,2024학년도 하반기 추가 교육 적인성검사 신청 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/899288/artclView.do,"1. 교직 적 인성검사 결과의 무시험검정 반영이 의무화 됨에 따라 졸업(수료) 예정자 중 미수검자에 대하여 추가 검사를 실시하고자 하오니, 해당 학생은  2024 11. 08.(금)까지 학과실로 신청하기 바랍니다.2. 아울러, 2024학년도 하반기 추가 교직 적 인성검사 안내문을 통해 검사 방법, 결과 확인 방법, 유의사항 등을 안내하여 주시기 바라며, 불합격 판정 시 불합격자 대상 프로그램을 반드시 이수해야만 재응시 기회가 부여됨을 안내드립니다.가. 신청 기간: 2024. 10. 31.(목) 09:00 ~ 11. 08.(금) 17",2024-11-01 16:23:55.0
수학교육과,2024학년도 2차 CNU 학습나래 운영 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/898018/artclView.do,"사범대학에서는  예비교원의 교육 환경 조성 및 학습 문화 정착과 재학생 임용률 제고를 위해 2024학년도 3차 CNU 학습나래를 붙임과 같이 수립하여 시행하오니 관심 있는 학생들은 신청하기 바랍니다.가. 프로그램명: CNU 학습나래나. 모집 대상: 사범대학 및 교육대학원 재학생다. 모집 인원: 팀당 3~4명 / 10팀(예정)라. 지원 내용: 팀 대표 장학금 200,000원 지급 및 자기계발활동기록부 점수 10점 부여마. 운영 세부 일정일자내용2024. 10. 21.(월)~10. 25.(금)공모- 홍보 및 참가 팀 모집신청 마감 후선",2024-10-17 15:15:15.0
수학교육과,2024학년도 동계 5만기행 단기 탐방 프로그램 참가자 모집 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/897437/artclView.do,"UN의 지속가능한발전목표(SDGs) 17개를 중심으로 본교생이 자발적으로 기획한 주제에 따라 체험, 탐방 학습의 기회를 제공하고 글로컬 우수 인재로 양성하고자 2024학년도  동계 「5만기행(五萬起行)」 프로그램 참가자를 모집하오니 관심있는 학생들은 신청하기 바랍니다. 1. 참가대상: 지난 10년간 해외 방문 경험이 없는 본교 학부 및 대학원 재학생2. 내    용: 학생이 직접 기획하여 2024 동계 방학 기간 아시아 내 국가 탐방3. 접수방법: 성장마루 접수 (https://grow.jnu.ac.kr/ko/)4. 선발인원: 총",2024-10-11 14:02:15.0
수학교육과,『2024 English Essay Contest』 개최 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/896427/artclView.do,신문방송사에서는 전남대학교 개교 72주년 및  Chonnam Tribune  창간 56주년을 맞아  학생들의 영어 능력 발휘 및 향상 기회를 제공하기 위해 다음과 같이 『2024 English Essay Contest』를 개최한다 하오니 관심 있는 각 학과(부) 학생들은 참가하기 바랍니다. ■ 다  음 ■가. 개최일시: 2024. 10. 12.(토) 13:00~18:00나. 개최장소: 정보화본부 내 PC실습실※ 참가 인원에 따라 개최 시간 및 장소 확정. 홈페이지 공지 및 개별 통지다. 개최부문: 영어권 비영어권 2개 부문라. 참,2024-09-25 13:33:35.0
수학교육과,2024 전남대학교 농어촌 지역봉사단 모집 안내,https://mathedu.jnu.ac.kr/bbs/mathedu/2306/896424/artclView.do,"2024 전남대학교 농어촌 봉사단을 모집하오니 관심 있는 학생들은 참여하기 바랍니다.1. 프로그램명: 2024 전남대학교 농어촌 지역봉사2. 활동 기간: 2024. 10.10.(목)~10.12.(토)3. 활동 지역: 전남 고흥군 일대4. 활동 내용: 농어촌 일손돕기, 벽화그리기, 주민간담회 등5. 지원자격: 전남대학교 학부 재학생*재학증명서 필수 제출6. 모집인원: 25명7. 모집기간: 2024.9.20.(금)~9.26.(목)8. 제출서류: 참가지원서, 학부모 동의서, 개인정보 수집 동의서, 재학증명서 각 1부* 신청방법: 이메일",2024-09-25 13:27:58.0
