학부,제목,링크,내용,작성일
유아교육과,[학부]2025학년도 1학기 국가장학금 2차 신청 안내,https://ecedu.jnu.ac.kr/bbs/ecedu/2303/906994/artclView.do,"1. 2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내하오니 해당 학생들은 기간내에 국가장학금을 신청하여 주시기 바랍니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00- 서류제출 및 가구원 정보제공 동의 기간:  '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감※",2025-01-24 16:26:04.0
유아교육과,"[학부, 교육대학원]2025학년도 상반기 교직 적성,인성 검사 실시 안내",https://ecedu.jnu.ac.kr/bbs/ecedu/2303/906586/artclView.do,"1. 2025학년도 상반기 교직 적성 인성검사를 실시하오니 해당 학생들은 기간내에 신청하기 바랍니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터용 수성사인펜 반드시 지",2025-01-20 17:40:29.0
유아교육과,[공통]2025학년도 1학기 수강신청 시행 계획 안내,https://ecedu.jnu.ac.kr/bbs/ecedu/2303/906306/artclView.do,"1. 2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영되오니, 학생들은 확인하시기 바랍니다.업무내용기간시간대상내용수강신청테스트 25.2.5.(수)10:00~12:00 학부 전 학년 공통 수강희망과목 예약 테스트14:00～18:00 수강신청 테스트※ 테스트 종료 후 신청 내역 일괄 삭제수강희망과목예약 신청'25.2.6.(목)~2.7.(금)10:00～18:00 학부 전 학년 공통 학부생만 해당(대학원생 제외) 수강희망과목 예약을 했더라도 수강신청이 확",2025-01-16 16:54:57.0
유아교육과,[공통]2024학년도 지역민과 함께하는 Focus On Science 4-찾아가는 물리실험 안내,https://ecedu.jnu.ac.kr/bbs/ecedu/2303/906218/artclView.do,"우리 대학은 지역 학생들과 시민들에게 4차 산업시대에 필요한 과학지식을 전수하고 기초과학분야 체험기회를 제공하고자  2024 지역민과 함께하는 Focus On Science 4 를 개최하오니 많은 참여바랍니다.1. 프로그램 내용가. 주    제: 현미경으로 달을 볼 수 있을까?나. 장    소: 광주광역시 남구 광주시민회관 1층다. 일    시: 2025. 1. 25.(토) 10:30 ~ 12:30라. 내    용- 현미경과 망원경의 원리- 현미경 체험실습마. 인    원: 30명(선착순 접수)바. 대    상: 초등학생, 중 고",2025-01-16 09:20:35.0
유아교육과,[일반대학원]2025학년도 1학기 장애 대학원생 현황 파악을 위한 조사 제출,https://ecedu.jnu.ac.kr/bbs/ecedu/2303/906021/artclView.do,1.  2025학년도 1학기 대학원 신입생 및 재학생 중 장애학생의 현황을 파악하기 위하여 장애 대학원생 현황 조사를 다음과 같이 실시하고자 하오니 해당 학생은 현황조사 엑셀파일 작성하여 25.01.17.(금) 오후 5시까지 학과 메일로 제출하여 주시기 바랍니다.￭ 개  요 ￭가. 조사 및 제출 기한: '25.1.17.(금) 오후 5시까지나. 조사사항: 장애 대학원생 현황 및 관련 정보(붙임 서식 참조)다. 학과메일: rlj8610@jnu.ac.kr  붙임  장애 대학원생 현황 조사 서식 1부. 끝.,2025-01-14 10:08:41.0
유아교육과,"[대학원]2025학년도 1학기 일반, 교육대학원 수료후등록 신청 안내",https://ecedu.jnu.ac.kr/bbs/ecedu/2303/906014/artclView.do,"1.  2025학년도 1학기 일반대학원 수료후등록 신청 기간을 다음과 같이 알려드리니 해당 학생은 기간내에 신청하여 주시기 바랍니다.2. BK21사업 및 국가연구개발사업(교수연구비장학금 포함)에 참여하거나 과학기술분야 연구실의 연구활동종사자에 해당되는 대학원생은 수료후등록을 반드시 신청하시어 연구비, 인건비 지급 및 연구활동종사자 보험 가입에 따른 불이익이 없도록 반드시 확인하여 주시기 바랍니다.4. 신청방법가. 대상: 일반대학원 및 전문 특수대학원 수료생나. 절차: 교육지원 내 학사업무 등록 대학원 수료후등록신청 신청 학과로 전화",2025-01-14 09:34:13.0
유아교육과,[일반대학원]2025년 상반기 일반대학원 외국어.종합시험 공고,https://ecedu.jnu.ac.kr/bbs/ecedu/2303/905915/artclView.do,2025학년도 상반기 일반대학원 외국어 종합시험 공고   1. 시험 일시 일  자시험종류분야별시험시간과정별비 고2025. 1. 22.(수)종합시험제1분야09:30-10:40석 박사과정1교시제2분야11:00-12:10석 박사과정2교시제3분야13:00-14:10석 박사과정3교시제4분야14:30-15:40석 박사과정4교시2025. 1. 23.(목)외국어시험외국어09:30~10:40석 박사과정1교시  2. 시험 장소 캠퍼스구분일시고사장수험대상광주종합시험2025. 1. 22.(수)교육융합관 101호사림홀석 박사과정 전체외국어시험2025. 1,2025-01-13 15:11:18.0
유아교육과,[학부]2025학년도 1학기 국가거점국립대학원 학사교류강화 통합공고 안내,https://ecedu.jnu.ac.kr/bbs/ecedu/2303/905281/artclView.do,"1.  국가거점국립대학교(KNU10)는 학사교류 활성화 및 상호발전을 위한 협력을 도모하고자 2020. 10. 8. 상호협약을 체결하였고, 이에 따라 2025학년도 1학기에도 학점 교류제도를 발전시킨 국가거점국립대학교(KNU10) 학사교류 제도를 운영합니다.※ KNU10: 전남대, 강원대, 경북대, 경상국립대, 부산대, 서울대, 전북대, 제주대, 충남대, 충북대 2. 이에 국가거점국립대학(KNU10) 학사교류 통합공고문을 붙임과 같이 안내하오니 희망하는 학생 확인하시기 바랍니다.   주요 사항  가. 지원자격: 학부 재학생나. 선발",2025-01-07 17:51:41.0
유아교육과,[공통]2025학년 제1학기 등록안내,https://ecedu.jnu.ac.kr/bbs/ecedu/2303/905164/artclView.do,"1. 우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이 안내하오니 학생은 등록금고지서를 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부하여 주시기 바랍니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)2. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들이 신청할 수",2025-01-07 10:00:05.0
유아교육과,"[학부, 교육대학원]2025년 남구 학교 밖 청소년지원센터 운영 교육봉사자 모집 안내",https://ecedu.jnu.ac.kr/bbs/ecedu/2303/904808/artclView.do,"1. 남구 학교 밖 청소년지원센터에서 남구 지역 학교 밖 청소년들의 학력 취득 지원을 위한 검정고시반 교육봉사자를 모집합니다.2. 이에 봉사자 모집 관련 사항을 다음과 같이 안내하오니,  관심 있는 학생들의 많은 참여 바랍니다.가. 활동기간: '25. 2. ~ 4. ※ 정확한 일정은 추후 통보나. 활동내용: 학교 밖 청소년들의 검정고시 학력 취득을 위한 교육다. 접수기간: '25. 1. 6.(월) ~ 1. 23(목) 17:00까지 ※ 결과 발표: '25. 1. 24.(금)라. 신청방법: [붙임2]의 신청서 작성 후 이메일(1324n",2025-01-03 11:25:08.0
