학부,제목,링크,내용,작성일
체육교육과,2024년 하반기 1차 도전장학(미래) 선발 계획,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/903579/artclView.do,"관련: 인재양성실-11813(2024.12.17.)2. 「2024년 하반기 1차 도전장학(미래) 선발 계획」을 다음과 같이 공고하오니  24. 12. 27.(금)까지 추천하여 주시기 바랍니다.가. 자격: 2025년 2월 학사과정 졸업예정자로서 2025학년도 전기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원※ 단, 지원액은 가용예산 범위에 따라 다소 변동",2024-12-18 17:45:51.0
체육교육과,2025학년도 1학기 대학직장 예비군 전입 신청 및 개인정보 수정 안내,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/903576/artclView.do,"1. 관련: 예비군법 시행령 제8조(예비군대원의 신상변동 관리)2. 2025학년도 1학기 재학생 중 대학직장 예비군(전남대학교연대 소속)으로 편성되지 않은 학생은 예비군연대로 전입 신청 및 정확한 훈련 안내를 위하여 개인 정보를 수정하도록 안내하여 주시기 바랍니다.가. 대상: 2025학년도 1학기 대학(원) 재학생[신입(재입학), 편입, 복학, 전과생 포함]1) 신청 기간: 2025. 1. 2.(목) ~2) 신청 절차: 전남대학교 포털 내 학사행정 예비군 예비군 전입 신청3) 전입 신청 4~5일 경과 후 예비군 홈페이지에서 소속 부",2024-12-18 17:42:59.0
체육교육과,2025학년도 한국지도자육성장학재단 장학생 선발 안내,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/902969/artclView.do,"1. 관련: 재단법인 한국지도자육성장학재단 장학제2024-051(2024.11.19.)2. 2025학년도 한국지도자육성장학재단 장학생 선발 관련 선발요건에 적격한 학생들이 신청할 수 있도록 해당 단과대학 홈페이지 및 게시판에 적극적으로 홍보  안내하여 주시기 바랍니다.가. 추천인원: 학부재학생 2명(최종 선발인원은 아님, 재단에서 최종심사 후 확정)나. 장학내용1) 장학금액: 등록금전액+학업보조비(학기 당 100만원)2) 지급기간: 2년(정규학기 4학기 이내, 계속지급요건 충족 시)다. 자격요건1) 2025학년도 1학기 기준, 3학",2024-12-16 15:22:51.0
체육교육과,2024학년도 동계방학 셔틀버스(광주-여수)운행 안내,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/902967/artclView.do,"1. 2024학년도 동계방학 셔틀버스를 다음과 같이 운행하고자 합니다.가. 운행 목적: 광주 여수캠퍼스 간 행정업무 지원 및 우편물, 도서 운송 등나. 운행 기간: 2024. 12. 26.(목) ~ 2025. 02. 28.(금) [월, 화, 목, 금 운행하고, 수, 토, 일, 공휴일 미운행]다. 운행 차량: 광주캠퍼스(41인승), 여수캠퍼스(44인승) 대형버스 각 1대라. 운행 현황운행경로운행요일승차장소출발시간도착시간비 고광주   여수월, 금광주캠퍼스 용지 삼거리10:0011:30 여수캠퍼스 로터리16:0017:30 여수   광주화",2024-12-16 15:22:11.0
체육교육과,2025학년도 1학기 자유학가 운영 계획 안내,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/902966/artclView.do,"1. 관련: 「전남대학교 학칙」 제22조제6항 및 「전남대학교 자유학기 운영 지침」 2. 2025학년도 1학기 자유학기(자유교과목) 운영 계획을 붙임과 같이 수립하여 시행하오니, 각 대학에서는 소속 학과(부) 학생들이 기한 내에 신청할 수 있도록 안내하여 주시기 바랍니다.가. 신청자격: 우리대학 정규학기 2학기 이상 등록한 학생(최종학기 신청 가능)나. 대상학기: 2025학년도 1학기다. 신청기간: 2024. 12. 17.(화) ~ 12. 31.(화) 18:00까지라. 신청방법: 주제 선정 및 학과(부) 방문 담당 지도교수 배정 신",2024-12-16 15:21:43.0
체육교육과,2025학년도 1학기 학부 및 대학원 재입학 실시 안내,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/902965/artclView.do,"1. 관련: 학사과-14869(2024.12.16.)2. 2025학년도 1학기 학부 및 대학원 재입학 실시에 대해 알려드리니 해당 대학(원)에서는 재입학 희망학생이 아래 일정에 따라 원서를 제출할 수 있도록 안내하여 주시기 바라며, 재입학 내신자 명단 및 관계서류를 2025. 1. 17.(금)까지 제출하여 주시기 바랍니다.가. 세부 일정업무명일정비고실시 공고2024. 12. 16.(월)대학 홈페이지 공지(본부)재입학 원서접수2025. 1. 2.(목) ~ 1. 8.(수)학생   학과(부)대상자 내신2025. 1. 9.(목) ~ 1.",2024-12-16 15:21:05.0
체육교육과,미국 델라웨어주립대 단기 강의 수강 및 디즈니 월드 리조트 인턴,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/902964/artclView.do,"우리 대학 학생들의 국제적 현장 실무 감각 및 업무 수행 능력 증진을 위한 2025학년도 2학기 미국 델라웨어주립대-디즈니 프로그램 참가자를 모집하고자 하오니, 적극 홍보하여 주시기 바랍니다. 1. 파견기간: 2025학년도 2학기 (2025. 7. 8. ~ 2026. 1. 15.)2. 파견기관: 미국 델라웨어주립대(Delaware State University) 및 디즈니 월드 리조트3. 프로그램 내용: 미국 델라웨어주립대 단기 강의 수강 및 디즈니 월드 리조트 인턴십4. 추진일정가. 접수마감: 2024. 12. 22.(일)나. 접",2024-12-16 15:20:18.0
체육교육과,2025 서귀포시  겨울방학 청소년-대학생 멘토링 프로그램,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/902963/artclView.do,"1. 귀 학교의 무궁한 발전을 기원합니다.2. 서귀포시에서는 지역 내 중학생과 교사를 꿈꾸는 우수 대학생을 연계하여 개별화된학습지도와 인성지도를 통해 학생들의 바른 성장을 지원할 수 있도록『2025 서귀포시겨울방학 청소년-대학생 멘토링 프로그램』을 운영할 계획입니다.3. 이에 프로그램에 참여할 사범대학 및 교육대학, 교직 이수 중인 재학생 멘토를 아래와     같이 모집하오니, 제주 출신 학생들이 참여할 수 있도록 적극적인 홍보 바랍니다.아               래□ 멘토 모집개요? 모집기간: 2024. 12. 16.(월) ~",2024-12-16 15:19:54.0
체육교육과,도서관 이용교육 안내,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/901896/artclView.do,"도서관에서는 학술정보활용 역량 강화를 위한 2024년 12월 도서관 이용교육을 아래와 같이 실시하오니, 많은 구성원이 참여할 수 있도록 안내 바랍니다.1. 교육대상: 교수 및 대학(원)생 등 대학 구성원2. 교육목적: 우리대학 구성원의 학술정보활용 역량 강화3. 세부일정일 시교 육 명내 용교육장소12.19.(목)14:00도서관 개설S2 Journal Plus이용교육연구동향 등 저널정보 플랫폼 S2Journal 이용교육- SCI, KCI, SCOPUS 등재지 검색 및 저널 정보 확인- 저널 영향력 지수, 저널 랭킹 등 확인 방법- 투",2024-12-04 16:32:52.0
체육교육과,2025학년도 전기 대학원 외국인 및 재외국민전형 신입생 장학 선발 계획,https://physicaledu.jnu.ac.kr/bbs/physicaledu/2320/901895/artclView.do,"1. 국제협력과-10433(2024.12.2.) 2025학년도 전기 대학원 외국인 및 재외국민전형 신입생 장학 선발 계획(안)2. 2025학년도 전기 대학원 외국인 및 재외국민 전형 신입생 장학 선발 계획을 다음과 같이 안내하오니, 각 대학(원) 및 관련 부서에서는 해당 일정을 참고하여 주시기 바랍니다. 1. 장학 사항구분선발 인원장학 혜택글로벌00명첫 학기 등록금 면제SRS(Strategic Researchers Scholasrship)TOPIK2. 주요 추진 일정업무 구분일자비고장학 선발 계획 수립2024. 11. 29.(금)",2024-12-04 16:32:23.0
