학부,제목,링크,내용,작성일
특수교육학부,2024학년도 입학자 및 전공미배정 학생 전공배정 결과 공지,https://spededu.jnu.ac.kr/bbs/spededu/2321/905512/artclView.do,"1학년 전공배정 결과를 공지합니다.각 전공당 정원은 15명이며, 미리 안내했던 학부 규정대로 전공 배정 하였음을 알려드립니다.* 문의: 학부사무실 062-530-5410",2025-01-08 17:19:24.0
특수교육학부,2025학년도 제1학기 등록 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/905137/artclView.do,"1.  등록금고지서는 학생이 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부할 수 있습니다.  가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]  나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점      ※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)2. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들이 신청할 수 있도록 안내하여 주시기 바랍니다.  가. 신청기간: 2025. 1. 6.(월) ~",2025-01-07 09:13:25.0
특수교육학부,2025학년도 특수교육학부 편입학(일반/학사)전형 면접 제시어,https://spededu.jnu.ac.kr/bbs/spededu/2321/904106/artclView.do,"1. 전형 일정- 면접 일시: 2025. 2. 4.(목) 09:00~  [08:30까지 대기실 입실 완료]- 대기실: 교육융합관 213호참고 서적: 특수교육의 이해(제2판): 공동체, 고은 외 4명1. 누리과정2. 자폐범주성장애의 문제행동3. 특수교육대상 유아의 놀이4. 전환교육5. 교수적 수정6. 통합교육7. 특수교육대상자 선정 방법 및 절차8. 보조공학",2024-12-24 10:06:59.0
특수교육학부,광주광역시교육청 방학프로그램「다채로운 방학생활」교육봉사 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/903785/artclView.do,"1. 광주광역시교육청 특수교육지원센터에서는 특수교육대상학생의 여가활동 지원을 위한 2025 광주광역시교육청 겨울방학프로그램 「다채로운 방학생활」을 운영합니다.   가. 모집 대상: 관내 대학교 특수교육 관련 학과 재학생  나. 모집 인원: 각 반 별 3명, 총 6명 (전자메일 접수 순으로 마감)  다. 운영 기간구분프로그램대상자운영 기간운영 시간운영 장소1반제과제빵, 뉴스포츠, 창작미술(전문 강사 운영)중 고등학교특수교육대상자20명(예정)2025. 1. 13.(월) ~1. 24.(금)(총 10회기)1일 3시간09:00 ~ 12:00",2024-12-20 09:39:48.0
특수교육학부,[광주광역시교육청] 2024학년도 장애학생 겨울방학 방학학교 교육봉사자 모집 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/901846/artclView.do,1.  광주광역시교육청에서는 장애학생에 대한 지속적인 교육 기회 제공 및 학부모 사교육비 경감을 위하여 「장애학생 겨울방학 방학학교」을 운영하고 있습니다.2. 해당 사업에 참여하는 운영기관에서 교육봉사자를 다음과 같이 모집합니다.  가. 사업 참여기관 및 사업기간기관명활동기간모집기간인원광주광역시장애인종합복지관'25.1.15.(수)~2.7.(금)모집인원 마감까지3명광주서구장애인복지관'25.1.13.(월)~2.5.(수)모집인원 마감까지10명광주동구장애인복지관'25.2.3.(월)~2.21.(금)'24.12.2.(월)~12.11.(금)10,2024-12-04 10:57:33.0
특수교육학부,2024학년도 동계 계절학기 타 대학교(조선대) 신청 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/900086/artclView.do,"1. 2024학년도 동계 계절학기 조선대학교 신청 안내합니다.2. 교과목 조회 일시: 11월 18일(월) 14:00 이후, 조선대학교 학사공지 게시판 공지3. 신청서 제출 기한: 11월 18일(월) 17: 50분까지, 학과실 제출4. 제출 서류 1) [붙임1] 서류 1부. 2) [붙임2] 서류 1부. 3) 포스트잇에 본인 명의의 계좌명(중간에 구분선(-)표시 넣어서 올 것) 작성 4) 포스트잇에 조선대학교 계절학기 수학한 적 있는지 O, X로 표시       1~4번의 서류가 준비되지 않을 경우 구비 서류 미비로 인한 접수 불가5.",2024-11-13 10:50:03.0
특수교육학부,2024학년도 2학기 교직 「성인지 교육」추가 실시 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/899602/artclView.do,"1. 우리대학의 2024학년도 2학기 교직 「성인지 교육」을 다음과 같이 추가 시행하오니, 2024학년도 교육 미이수자가 꼭 참여할 수 있도록 안내 바랍니다.가. 이수 대상: 당해년도 성인지 교육 미이수자나. 교육 일정구분교육 일자장소비고(대면)특강1분반 2024. 11. 25.(월) 15:00~17:00, 100명 이내교육융합관강의실(예정)인권센터 강사(한국양성평등교육진흥원 폭력예방교육 전문강사)2분반 2024. 12. 20.(금) 15:00~17:00, 100명 이내박물관 4층 시청각실※ 개설된 2개 분반 중 1회 신청 필수!",2024-11-06 14:02:49.0
특수교육학부,2024년 특수교육학부 장학금(생활비 장학금) 장학생 선발 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/898299/artclView.do,"2024년 특수교육학부 장학금 장학생을 다음과 같이 선발하고자 합니다.특수교육학부 학생들의 수학능력 향상과 원활한 학교생활 영위, 학생들의 미래 삶을 풍요롭게 가꾸기 위하여 투철한 학업능력을 갖춘 학생의 수학보조를 위한 특수교육학부 장학생을 선발하고자 하오니 신청을 희망하는 학생은 신청서류를 기한 내에 제출하시길 바랍니다.가. 선발인원 : 0명 (전공별 선발 예정) ※적합한 학생이 없을 경우 미선발할 수 있음.나. 장학금액: 학부 장학위원회 심의 후 지급다. 지원자격: 전남대 특수교육학부 2학기 이상 수료한 재학생라. 접수기간: 2",2024-10-21 17:12:58.0
특수교육학부,2024학년도 미래성장 장학생 선발 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/895812/artclView.do,"2024학년도 미래성장 장학생을 다음과 같이 선발합니다.가. 선발인원: 200명나. 지원대상: 본교 학부 2~3학년 재학생    ※ 제외 대상: 24.2학기 휴학생(등록휴학 포함), 의 치 수의 약학계열다. 지원자격: 24.2학기 기준 직전 학기 평균평점 1.75 이상, 12학점 이상 이수한 자라. 장학금액: 1,300천원 ~ 1,800천원 ※ 평가에 따른 차등지급마. 평가방법: 서류평가(1단계)   심층면접(2단계)바. 공고기간: 2024. 9. 19.(목) ～ 10. 4.(금)사. 접수기간: 2024. 9. 30.(월) 09:0",2024-09-20 10:05:54.0
특수교육학부,2024학년도 제2학기 최종 등록 및 휴학 신청 기간 안내,https://spededu.jnu.ac.kr/bbs/spededu/2321/895454/artclView.do,"1. 2024학년도 제2학기 추가 등록기간( 24. 9. 10.~9. 12.) 내에 등록금을 납부하지 못한 학생과 학자금 대출 신청 학생을 위해 다음과 같이 최종 등록기간을 설정하니 미등록 학생은 아래 기간 내에 등록금을 납입하기 바랍니다. 가. 기간: 2024. 10. 7.(월) ~ 10. 8.(화) 16:00 (2일간)나. 등록장소: 광주, 농협, 국민, 신한 은행 전국지점   ※ 고지서 상의 가상계좌 입금, 광주은행 신용카드 납부 가능다. 유의사항 - 2024. 2학기 정부보증 학자금 대출을 받아 등록을 하는 학생은 등록기간",2024-09-13 10:43:07.0
