학부,제목,링크,내용,작성일
미디어커뮤니케이션학과,[입시] 2025학년도 미디어커뮤니케이션학과(신문방송학과) 전과 자기소개서 제출 및 면접 일정 안내 (면접시간 변경),https://comm.jnu.ac.kr/bbs/comm/1003/906284/artclView.do,(댁안녕하세요 전남대학교 미디어커뮤니케이션학과(신문방송학과) 조교입니다.  이번 미디어커뮤니케이션학과(신문방송학과) 전과에 지원해주셔서 정말 감사합니다.   이번 전과 면접 구체적인 일정은 아래와 같습니다.  면접시작 : 2025년 1월 21일(화요일) 13:30   면접대기실: 사회과학대학 374호실 면접실 : 사회과학대학 347호실 (언론홍보 연구소)* 면접시작 13:30 보다 10분 일찍 면접대기실(374호실)에 도착해주시길 바랍니다. (면접시간 이후 입장자는 면접이 제한됩니다.)--------------------------,2025-01-16 14:14:33.0
미디어커뮤니케이션학과,[입시] 2025학년도 미디어커뮤니케이션학과(신문방송학과) 복수전공 지원자 면접 일정 안내,https://comm.jnu.ac.kr/bbs/comm/1003/906283/artclView.do,안녕하세요 전남대학교 미디어커뮤니케이션학과(신문방송학과) 조교입니다.  이번 미디어커뮤니케이션학과(신문방송학과) 복수전공에 지원해주셔서 정말 감사합니다.이번 복수전공 선발 면접은 원격(ZOOM)으로 진행될 예정입니다. 구체적인 일정은 아래와 같습니다.면접시작 : 2025년 1월 20일(월요일) 오전 10:00시 (최소 9시 50분까지 입장)면접참여 링크 (ZOOM) : https://jnu-ac-kr.zoom.us/j/86562039365면접참여 회의 ID :  865 6203 9365  (링크가 안될시 직접입력하여 입장)**중요*,2025-01-16 14:08:46.0
미디어커뮤니케이션학과,[장학] 2024학년도 느티나무 장학금 신청 안내,https://comm.jnu.ac.kr/bbs/comm/1003/906270/artclView.do,,2025-01-16 13:15:52.0
미디어커뮤니케이션학과,[학사] 수료유보 및 졸업유보 유보비 납부 일자 변경안내,https://comm.jnu.ac.kr/bbs/comm/1003/905424/artclView.do,,2025-01-08 11:05:54.0
미디어커뮤니케이션학과,[학사] 2025학년도 1학기 전과 주요 일정 안내,https://comm.jnu.ac.kr/bbs/comm/1003/903252/artclView.do,** 신문방송학과와 미디어커뮤니케이션학과는 같은 학과입니다. (2024학년도 기준 신문방송학과에서 미디어커뮤니케이션학과로 명칭변경)본인 교육과정에 따라 신청 가능한 학과명칭이 달라질수 있으니 참고 부탁드립니다.,2024-12-17 17:45:41.0
미디어커뮤니케이션학과,[장학] 2024학년도 하반기 1차 도전장학(미래) (대학원진학) 안내,https://comm.jnu.ac.kr/bbs/comm/1003/903250/artclView.do,,2024-12-17 17:44:11.0
미디어커뮤니케이션학과,[학사] 2025학년도 1학기 부.복수전공 취소 신청 및 선발 기간안내,https://comm.jnu.ac.kr/bbs/comm/1003/903249/artclView.do,** 신문방송학과와 미디어커뮤니케이션학과는 같은 학과입니다.(2024학년도 기준 신문방송학과에서 미디어커뮤니케이션학과로 명칭변경)본인 교육과정에 따라 신청 가능한 학과명칭이 달라질수 있으니 참고 부탁드립니다.,2024-12-17 17:42:31.0
미디어커뮤니케이션학과,[학사] 2025학년도 휴학 및 복학 기간 안내,https://comm.jnu.ac.kr/bbs/comm/1003/903223/artclView.do,,2024-12-17 17:13:41.0
미디어커뮤니케이션학과,[학사] 2024학년도 2학기 졸업 유보 및 수료 유보 신청,https://comm.jnu.ac.kr/bbs/comm/1003/903216/artclView.do,"* 참고 **수료*  : 수료는 졸업학점은 모두 이수하였으나, 졸업요건(독후감 , 외국어 영역)을 충족하지 못하여 졸업을 하지못한 상태입니다.         해당 상태의 경우 학생 신분은 아니나, 졸업요건(독후감, 외국어 영역)을 충족하면 충족한 해당학기(2월, 8월)에 졸업이 가능한 상태입니다.         (독후감 및 외국어영역은 수료 상태에서도 제출 가능) 따로 유보신청을 하지 않은 학생은 자동으로 수료로 진행됩니다.   *수료 유보*  : 수료 유보상태는 졸업학점은 모두 이수하였으나, 졸업요건(독후감 , 외국어 영역)을 충",2024-12-17 17:07:26.0
미디어커뮤니케이션학과,[장학] 2024학년도 2학기 응원장학생 선발 안내,https://comm.jnu.ac.kr/bbs/comm/1003/902229/artclView.do,,2024-12-10 09:12:10.0
