학부,제목,링크,내용,작성일
행정학과,2025학년도 주거안정장학금 신청 안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/907306/artclView.do,"2025학년도 주거안정장학금 신청 안내교육부와 한국장학재단은 2025년도부터 원거리 대학 진학으로 통학이 어려운 저소득 대학생의 주거비 실비 지원을 위한 주거안정장학사업을 신설하였습니다.이에, 2025학년도 주거안정장학금 신청 일정을 다음과 같이 안내하오니, 각 대학에서는 기준에 맞는 적격 학생들이 신청할 수 있도록 적극 안내하여 주시기 바랍니다.가. 신청대상: 재학생*, 재입학생, 신입생, 편입생                   * 재학생은 직전학기 12학점 이상 이수자로 C학점(70/100점) 이상을 획득한 자나. 지원대상: 부",2025-02-03 17:52:06.0
행정학과,한국장학재단 25년 1학기 2차 국가장학금 신청 안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/907007/artclView.do,"가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생                    * 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00                 - 서류제출 및 가구원 정보제공 동의 기간:  '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00                     ※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감",2025-01-24 17:47:02.0
행정학과,2024학년도 느티나무 장학금 신청 안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/906445/artclView.do,"가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원다. 신청 및 장학금 지급1) 신청기간: 2025. 1. 15.(수) 9:00 ~ 1. 31.(금) 18:0",2025-01-17 15:19:18.0
행정학과,2025학년도 1학기 수강신청 시행 계획 안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/906326/artclView.do,"2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영됩니다.※ 2025년 8월 및 2026년 2월 졸업예정 학생들에 대해서는 미 이수과목 확인 후 수강신청하도록 특별히 학사지도에 관심을 가져 주시기 바람.업무내용기간시간대상내용수강인원 조정 25.1.24.(금)~1.31.(금)09:00～18:00 전공: 강좌 주관학과 교양: 강좌 협력학과 학년별 수강인원 관리 자과/타과/부전공 수강인원 조정 분반정보의 사무실 번호 입력수강신청테스트 25.2.5.(수)10:",2025-01-16 18:16:15.0
행정학과,「2024학년도 겨울방학 영어학습센터 재학생 대상 특강」 안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/906202/artclView.do,"가. 주제: Speak Smarter, Not Harder: 영어 말하기, 맞춤형 전략찾기 로드맵나. 강사: 박초아다. 일시: 2025. 1. 23.(목), 오전 10:30~12:00라. 방법: 온라인 특강(Zoom 활용)            ※ 입장코드는 신청자 대상 당일 송부 예정마. 혜택: 무료 교육비 및 특강 만족도 조사 참여 시, 스타벅스 쿠폰 제공바. 접수기간: 2025. 1. 14.(화) ~ 1. 22.(수)사. 접수방법: QR코드 / 링크: forms.gle/hmrJf2tmekAq7rRKA",2025-01-15 17:58:38.0
행정학과,2025년도 지역인재 7급 수습직원 추천 선발 안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/905448/artclView.do,"2025년도 지역인재 7급 수습직원 추천 선발 안내가. 추천인원: 12명나. 지원자격    - 졸업자(2022년 1월 이후 졸업자), 졸업예정자(2026년 2월까지 졸업가능, 2024년 2학기까지 3/4이상 학점이수자, 편입생은 4학기 이수자)    - 지원당시 학과 석차 10%이내, 토익기준 700점이상(2020.1.1.이후), 한국사 2급 이상 취득자다. 추천자 선발 일정내용일시비고공지 25. 1. 8.(수)대학홈페이지, 공문 등서류 접수(온라인) 25. 1. 9.(목) ~ 1. 14.(화)취업진로포털에서 온라인 접수1차 서류",2025-01-08 13:24:19.0
행정학과,2025학년도 1학기 등록 공고,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/905355/artclView.do,"2025학년도 제1학기 등록 공고 2025학년도 제1학기 등록금 납부를 다음과 같이 공고하오니 등록에 차질 없으시기 바랍니다. 1. 기 간 : 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]2. 장 소 : 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점3. 등록금 분할납부 방법    가. 신청대상: 경제사정으로 정해진 기간내에 등록금 전액 납부가 어려워 분할납부하고자 하는 학생            [신청제외자: 학부 및 대학원 신입생, 전액 장학금 수혜자, 미등록 휴학예정자, 수업연한초",2025-01-08 09:25:03.0
행정학과,2025 전남대  국가공무원 합격콘서트  안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/905124/artclView.do,▶ 참가신청: https://forms.gle/ryzmaWLSNmEervgm7,2025-01-06 18:37:24.0
행정학과,광주지방법원 행정인턴(일반업무지원) 경쟁채용시험 공고,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/903572/artclView.do,[광주지방법원 공고 제2024-20호 행정인턴(일반업무지원) 경쟁채용시험 시행계획 공고]를 첨부파일과 같이 공고합니다. 기타 자세한 사항은 반드시 첨부파일을 확인하여 주시기 바랍니다.,2024-12-18 17:26:17.0
행정학과,2025학년도 1학기 대학직장 예비군 전입 신청 및 개인 정보 수정 안내,https://jnupa.jnu.ac.kr/bbs/jnupa/1731/903447/artclView.do,"2025학년도 1학기 대학직장 예비군 전입 신청 및 개인 정보 수정 안내2025학년도 1학기 대학(원) 신입(재입학), 편입, 복학, 전과 학생은 전남대학교 예비군연대로 전입 신청을 하시고, 정확한 훈련 안내를 위하여 개인 정보를 수정하시기 바랍니다. 1. 대상: 2025년도 1학기 대학(원) 신입(재입학), 편입, 복학, 전과신청절차 : 전남대학교 포털 ⇨ 내학사행정 ⇨ 예비군 ⇨ 예비군 전입 신청전입 신청 4~5일 경과 후 예비군 홈페이지에서 소속 부대 변경 확인,전남대학교연대로 편성되지 않은 학생은 예비군연대로 문의※ 신청 후",2024-12-18 13:40:56.0
