학부,제목,링크,내용,작성일
생명과학기술학부,생명과학기술학부 장학생 선발 기준(2025.1.6. 개정)을 알려 드립니다.,https://sbst.jnu.ac.kr/bbs/sbst/1522/907293/artclView.do,생명과학기술학부 장학생 선발기준 개정사항을 알려 드립니다.(기타사항 개정) 생명과학기술학부 장학생 선발 기준(2025.1.6. 개정)대학학부(과)전공선  발 기  준비고교과성적외국어성적자기계발활동기록부성적기 타자연과학대학생명과학기술학부900100자연과학대학생명과학기술학부생명과학전공900100  2~3학년 : 실험과목   포함 학부내 개설 전공과목을 11학점 이상 이수한 자   4-1학기 : 학부내 개설 전공과목을 9학점 이상 이수한 자자연과학대학생명과학기술학부시스템생명공학전공900100    2~3학년 : 실험과목 포함 학부내 개설,2025-02-03 16:51:37.0
생명과학기술학부,2025학년도 대학원 입학전형(학·석사 및 학·석박사통합 연계전형 포함) 등록금 납부기간 알림(1.23.까지),https://sbst.jnu.ac.kr/bbs/sbst/1522/906643/artclView.do,"2025학년도 전기(2차) 일반대학원 입학전형(학 석사 및 학 석박사통합 연계전형 포함) 합격자의 등록금 납부, 수강신청 일정을 알려 드립니다.1. 등록금 납부: 2025. 1. 20.(월) 09:00 ~ 1. 23.(목) 16:002. 수강신청: 2025. 2. 14.(금) ~ 2. 21.(금)* 학.석사연계과정 학생중 수험번호를 모르는 학생은 530-1035로 연락주십시오. 붙임 합격자(연계전형 포함) 유의사항 1부. 끝.",2025-01-21 11:49:38.0
생명과학기술학부,2024 하반기 학·석사학위연계과정 학부연구생 장학 결과보고서 제출 알림(1.24.까지),https://sbst.jnu.ac.kr/bbs/sbst/1522/906621/artclView.do,"2024학년도 하반기 학 석사학위연계과정 학부연구생 장학 결과보고서를 1월24일(금) 낮12시까지 용지관506호로 제출하여 주시기 바랍니다.대상내용기한비고단과대학결과보고서 및 명단 제출(대학 대학원혁신본부) 25. 1. 24.(금)*기한 엄수제출자 명단(엑셀 파일)결과보고서, 평가의견서(PDF 파일)*근무상황부는 각 연구실에서 작성 보관대학원혁신본부연구활동비 지급 25. 2. 10.(월) 예정지도예정교수 최종평가 후합격자에 한하여 활동비 지급 붙임 1.  결과보고서 제출 서식 1부.",2025-01-21 10:15:43.0
생명과학기술학부,대학생 및 대학원생 인권실태조사 알림,https://sbst.jnu.ac.kr/bbs/sbst/1522/905628/artclView.do,전남대학교 인권센터에서 실시하는 대학생 및 대학원생 인권실태조사 참여 바랍니다.가. 조사기간:  2025. 01. 10.(금)까지나. 조사대상: 전남대학교 대학(원)생다. 설문방법: 아래 URL 주소 클릭 후 온라인 설문 참여※ 온라인 링크 주소:- 대학생: https://ko.research.net/r/human_rights_jnu1- 대학원생:  https://ko.research.net/r/human_rights_jnu_1라. 참여혜택: 응답자 중 추첨을 통해 500분께 스타벅스 아메리카노 상품권 제공,2025-01-10 09:56:57.0
생명과학기술학부,2025년 지역인재 7급 수습직원 추천자 선발 서류접수기간 알림 : 1. 9.(목) ~ 1. 14.(화),https://sbst.jnu.ac.kr/bbs/sbst/1522/905513/artclView.do,"2025년 지역인재 7급 수습직원 추천자 선발을 아래와 같이 추진 하오니 많은 학생들이 지원하여 주시기 바랍니다.가. 추천인원: 12명나. 지원자격- 졸업자(2022년 1월 이후 졸업자), 졸업예정자(2026년 2월까지 졸업가능, 2024년 2학기까지 3/4이상 학점이수자, 편입생은 4학기 이수자)- 지원당시 학과 석차 10%이내, 토익기준 700점이상(2020.1.1.이후), 한국사 2급 이상 취득자다. 추천자 선발 일정내용일시비고공지 25. 1. 8.(수)대학홈페이지, 공문 등서류 접수(온라인) 25. 1. 9.(목) ~ 1.",2025-01-08 17:39:01.0
생명과학기술학부,2025학년도1학기 자유학기(자유교과목) 운영 계획 안내(~2025.1.14.(화) 18:00까지),https://sbst.jnu.ac.kr/bbs/sbst/1522/905421/artclView.do,"2025학년도 1학기 자유학기(자유교과목) 운영 계획을 안내드립니다.가. 신청자격: 우리대학 정규학기 2학기 이상 등록한 학생(최종학기 신청 가능)나. 대상학기: 2025학년도 1학기다. 신청기간: 2024. 12. 17.(화) ~ 2025. 1. 14.(화) 18:00까지라. 신청방법: 주제 선정 및 학과(부) 방문 담당 지도교수 배정 신청서 및 계획서 작성 후 출력(5,6p 참고) 지도교수 확인 및 서명(도장) 날인 학과(부) 서면 제출 및 전남대포털 온라인 신청  ※ 포털 신청방법 : 전남대 포털 내학사행정 학생교류 자유학기",2025-01-08 10:49:00.0
생명과학기술학부,2024학년도 동계 생명과학기술학부 OPEN Lab. 작성서식 안내,https://sbst.jnu.ac.kr/bbs/sbst/1522/904178/artclView.do,"OPEN Lab. 결과보고 관련 서식입니다.  멘티 학부생   - 붙임3)참여학생 연구일지(주 1회)  멘토 대학원생  - 붙임4)Open-lab. 연구활동결과보고서(1. 회의비 지출 영수증과 2. 참석자명단(첨부파일3 참고, 서명 필)함께, 월 1회) 1월 보고서는 2025년 1월 22일(수)까지, 2월 보고서는 2025년 2월 19일(수)까지 용지관506호 시스템생명공학전공사무실로 제출해 주시기 바랍니다.성과발표회는 2025년 2월 19일(수) 오후2시 예정입니다.",2024-12-24 16:56:44.0
생명과학기술학부,영어학습센터 1:1 코칭 서비스 무료 진행 알림,https://sbst.jnu.ac.kr/bbs/sbst/1522/904094/artclView.do,"언어교육원에서는 우리 대학 학부 재학생의 자기주도 영어학습 성과 제고를 위해 영어학습센터 1:1 코칭 서비스를 다음과 같이 무료로 진행하고 있습니다.  1. 운영일정: 2024. 12. 20.(금) ~ 2025. 2. 21.(금) (상시 운영)2. 운영내용: 개인별 맞춤형 1:1 무료 코칭(영역: 원어민 말하기, 원어민 글쓰기, START말하기, 학습전략)3. 참가방법:  영어학습센터  홈페이지(http://elc.jnu.ac.kr) 접속   [학습코칭 신청] 클릭   코칭 영역 및 날짜 선택 후  신청 4. 문    의: 062",2024-12-24 09:01:04.0
생명과학기술학부,2025학년도 상반기 글로벌과정 ICT학점연계 프로젝트 인턴십 신청 알림,https://sbst.jnu.ac.kr/bbs/sbst/1522/904019/artclView.do,"4차 산업시대 ICT 핵심기술분야 인재 양성과 우리 대학생의 경쟁력강화를 위해 정보통신기획평가원 주관 2025학년도 상반기 글로벌과정 ICT학점연계 프로젝트 인턴십에 참여를 원하는 학생은 2025. 01. 09.(목)까지 신청하여 주시기 바랍니다.가. 프로그램명: 2025년 상반기 글로벌 ICT학점연계 프로젝트 인턴십나. 추천인원: 제한없음다. 주요일정글로벌과정일정내용신청자격 24.12.13.~ 25.1.9. 17:00참여대학 신청서 제출  국적: 대한민국  학기: 6학기 이상 이수자  전공: IT관련 전공, 부전공,복수전공, 연계",2024-12-23 15:42:03.0
생명과학기술학부,2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청 안내(12월 12일(목)~2025년 1월 2일(목) 18:00까지),https://sbst.jnu.ac.kr/bbs/sbst/1522/903574/artclView.do,2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적사항을  재학 으로 유지하고자 희망하는 학생들은 다음의 사항의 참고하여 졸업(수료)유보 신청을 하시기 바랍니다.□ 졸업(수료) 유보 신청 및 유보비 납부 □가. 유보 신청 기간 : 2024. 12. 12.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청 기간 없음]나. 유보 학과(부) 확인 기한 : 2025. 1. 6.(월)다. 유보비 납부 기간[고지서 발행] : 2025. 1. 8.(수) ~ 1. 10.(금) 16:00까지 [,2024-12-18 17:31:19.0
