학부,제목,링크,내용,작성일
생활복지학과,[교직] 2025학년도 상반기 교직 적성·인성검사 실시 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/907136/artclView.do,"가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터용 수성사인펜 반드시 지참바. 유의 사항: 【붙임】 참조",2025-01-31 14:05:15.0
생활복지학과,[홍보] 2025 한국소비자원 제9기 소비자안전모니터 활동 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/906871/artclView.do,"2025 한국소비자원 제9기 소비자안전모니터 활동 안내 1. 모집 기간: 2025.01.20.(월) ~ 2025.02.07.(금)2. 모집 인원: 소비자 안전에 관심 있는 만 18세 이상 대한민국 국민 20팀(팀 당 2~3명)3. 활동내용- 생활 속 위해정보 신고 및 모니터링- 소비자안전 정보 콘텐츠 제작 및 확산- 소비자안전 관련 법, 제도 동향 정보 수집- 차수별(분기별) 간담회 참석4. 활동기간- 2025년 2월 ~ 12월(약 10개월)- 2월 중 발대식 및 사전 교육 예정(대면)* 내 외부 환경에 따라 일정 변경 가능",2025-01-23 13:02:01.0
생활복지학과,2024학년도 느티나무 장학금 신청 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/906291/artclView.do,"2024학년도 느티나무 장학금 신청 안내 가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원다. 신청 및 장학금 지급1) 신청기간: 2025. 1. 15.(",2025-01-16 15:08:09.0
생활복지학과,2025학년도 2학기 해외 파견 교환학생 선발 홍보 요청,https://welfare.jnu.ac.kr/bbs/welfare/1702/905871/artclView.do,"2025학년도 2학기 해외 파견 교환학생 선발 홍보 요청 가. 파견대학 및 선발 예정인원: 23개국 59개교 177명- 이 중 22개국 48개 대학은 대학원생 지원 가능 (엑셀파일에 별도 표기됨)- 일본, 중국은 2차 모집 시 지원 가능나. 파견기간: 2025년 7월 ~ 2026년 5월 중 (한 학기 또는 1년 파견)다. 추진일정1) 모집공고 및 신청서 접수:-1차:  25. 1. 6.(월) ~ 1. 20.(월)-2차:  25. 2. 17.(월) ~ 3. 4.(화)2) 선발시험(외국어 구술 및 면접):  25. 1. 22.(수)3",2025-01-13 10:17:28.0
생활복지학과,2025학년도 제1학기 등록 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/905301/artclView.do,"2025학년도 제1학기 등록 안내 가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)2. 분할납부제도 운영가. 신청기간: 2025. 1. 6.(월) ~ 2. 3.(월) [29일간]나. 선택횟수: 분할납부 2회, 3회, 4회 선택 가능다. 신청절차: 학생이 직접 우리 대학교 홈페이지 또는 전남대학교 포털에 접속하여 신청(포털-로그인-교육지원-내학사행정-등록",2025-01-07 20:02:07.0
생활복지학과,2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청자 유보비 납부 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/905297/artclView.do,"2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청자 유보비 납부 안내 가. 유보비 납부 대상: 409명(수료유보 204명, 졸업유보 205명)※ 향후 졸업사정 결과에 따라 위 인원은 변동될 수 있음나. 유보비 납부기간: 2025. 1. 20.(월) 09:00~1. 22.(수) 16:00까지(추가 납부기간 없음) ※ 등록금 미확정으로 인하여 유보비 납부 기간 변경 / 미납시 유보 신청 취소, 등록 기간 내 은행 업무 마감시간(16:00) 이후 납부 불가, 추가 납부기간 없음다. 납부은행 및 계좌: 광주은행(고지",2025-01-07 19:28:19.0
생활복지학과,2024학년도 공인 외국어 시험 응시료 지원 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/904683/artclView.do,"2024학년도 공인 외국어 시험 응시료 지원 안내 1. 신청 대상: 생활복지학과 재학생 1~4학년 누구나 (부*복수 전공자 제외)2. 지원 대상: 2024년 실시하는 모든 공인 외국어 시험(※ 시험 응시일자 2024.01.01. 이후)3. 지원 금액: 응시료 실비 지원(지원 현황에 따라 금액 변동 가능) / 연 1회 한정4. 제출 서류: 1) 응시료 지원금 신청서 1부 (첨부파일 서식 확인) 2) 공인 외국어 시험 성적표 1부 3) 통장사본 1부, 지출 영수증(응시료 결제 영수증) 1부5. 신청 방법 및 기한: 2025.01.17",2025-01-02 15:47:34.0
생활복지학과,[교직] 2025학년도 교직과정이수자 학교현장실습 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/904527/artclView.do,"2025학년도 교직과정이수자 학교현장실습 안내 1. 학교현장실습 기간: 2025. 5. 6.(화) ~ 2025. 5. 30.(금)[4주간]2. 수강신청 교과목(교과목코드): 학교현장실습(EDU9004)3. 오리엔테이션(OT) 안내 ▫ 일시: 2025. 3. 4.(화) 17:00~18:00▫ 장소: [광주] 전남대학교 사범대학 사림홀(예정)※ 사전 교육 자료 당일 배부(예정)4. 실습비 납부▫ 기간: 2025. 3. 4.(화) ~ 2025. 3. 6.(목) [3일간]▫ 금액: 실습생 1인당 100,000원▫ 방법(계좌송금): 신협",2024-12-31 14:10:17.0
생활복지학과,[교직] 2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/904525/artclView.do,"2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내 가. 제출 대상: 2024학년도 전기(2025년 2월) 졸업 예정자, 기 졸업자 중 교원자격취득 대상자나. 제출 서류:1) 교원자격무시험검정원서※ 복수 전공인경우 해당 학과(전공)별로 1매씩 작성하여 주전공학과로 제출2) 마약류 중독여부 확인을 위한 의사 진단서 또는 건강검진 결과 통보서 : 개인별 검사 후 제출3) 성범죄 경력 확인 : 교원자격 무시험검정원서에 동의 서명 확인다. 제출 기한: 25.01.08.(수)까지 학과사무실로 원본 제출",2024-12-31 13:58:32.0
생활복지학과,2024학년도 신(편)입생 미수령 학생증(스마트카드) 배부 안내,https://welfare.jnu.ac.kr/bbs/welfare/1702/904231/artclView.do,2024학년도 신(편)입생 미수령 학생증(스마트카드) 배부 안내 1. 배부 대상: 학부 및 대학원 신(편)입생 중 미수령 학생2. 배부 기간: 2024. 12. 18.(수) ~ 3. 배부 방법: 미수령자는 학과실 방문 요망,2024-12-26 00:02:18.0
