학부,제목,링크,내용,작성일
수의과대학,공중방역수의사 선발 일정 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/907285/artclView.do,"1. 관련: 병무청 산업지원과-352호(2025.1.21.)2. '2025년 공중방역수의사 선발 일정'을 붙임과 같이 알려드리니, 수의과대학에서는 공중방역수의사를 지원하고자 하는 대상자에게 선발 일정을 적극 안내하여 주시기 바랍니다.○ 아울러, 대한수의사회 및 대한공중방역수의사협회에서는 공중방역수의사 관련 업무에 참고하시기 바라며, 선발 일정 안내 안내(홍보)에 협조하여 주시기 바랍니다.□ 2025년 공중방역수의사 선발 일정가. 공중방역수의사 접수기간: 2025. 1. 22.(수) ~ 2. 10.(월)나. 공중방역수의사 선발일자(예",2025-02-03 15:59:45.0
수의과대학,2025학년도 제1학기 등록 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/905029/artclView.do,"우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이 안내하오니 참고하시기 바랍니다.1. 등록금고지서는 학생이 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부할 수 있도록 하여 주시기 바랍니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)2. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운",2025-01-06 15:41:17.0
수의과대학,2025학년도 1학기 우선 선발 장학 대상자 선발,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/904823/artclView.do,관련가. 「전남대학교 장학 지침」 제9조(우선 선발 장학생) 및 제20조(우선 선발 장학생)나. 학생과-14482(2024.12.31.) 2025학년도 1학기 재학생 감면장학금 장학생 선발 업무     추진 일정 안내 2. 2025학년도 1학기 재학생 등록금 감면 우선 선발 장학생을 선발하고자 하오니 각 대학(원)에서는 장학 대상자 명단[붙임1] 및 증빙서류를 2025. 1. 14.(화)까지 제출하여 주시기 바랍니다.  법정장학   복지장학   특별장학 수혜자격 및 증빙서류 구 분수혜자격증빙 서류장학금비고국가유공장학(법정장학),2025-01-03 13:10:38.0
수의과대학,2025학년도 제1학기 휴학.복학 신청 및 행정 사항 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/903104/artclView.do,1. 2025학년도 제1학기 휴학 복학 신청에 대한 안내문을 붙임과 같이 송부하니 참고하시시기 바랍니다.  가. 휴학 신청 기간    1) 일반휴학(등록): 2025. 2. 18.(화) ~ 4. 24.(목)    2) 일반휴학(미등록): 2025. 2. 18.(화) ~ 2. 21.(금)  나. 복학 신청 기간    1) 조기복학: 2025. 1. 2.(목) ~ 2. 7.(금)    2) 일반복학: 2025. 1. 2.(목) ~ 2. 21.(금) 붙임  2025학년도 제1학기 휴학 복학 신청 안내 1부. 끝.,2024-12-17 13:45:21.0
수의과대학,2025학년도 1학기 국가장학금 1차 신청  안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/900504/artclView.do,"1. 관련: 한국장학재단 국가장학부-4339(2024.11.15.)2. 2025학년도 1학기 국가장학금 1차 신청 일정을 다음과 같이 안내하오니, 각 대학에서는 학생들이 국가장학금을 신청할 수 있도록 적극 안내하여 주시기 바랍니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청이 원칙(재학 중 2회에 한해 2차 신청으로 수혜 가능)나. 신청기간: '24. 11. 21.(목) ~ 12. 26.(목) 18:00- 서류제출 및 가구원 정보제공 동의 기간:  '24. 11. 21.(목) ~ '",2024-11-19 11:27:40.0
수의과대학,2024학년도 대학생 핵심역량진단 실시 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/900410/artclView.do,"우리 대학 학생을 대상으로 2024학년도 대학생 핵심역량진단을 다음과 같이 실시하고자 하오니, 많은 학생들은 참여하여 주시기 바랍니다. 가. 진단 기간: 2024. 11. 18.(월) ~ 11. 29.(금)  ※ 응답률에 따라 기간 연장 가능나. 진단 대상: 학부생 전체다. 진단 방법: 성장마루 온라인 진단(https://grow.jnu.ac.kr/ko/diag/essential) ※ 통합로그인 필수라. 소요 시간: 5분 내외마. 결과 확인: 진단 종료 후  결과보기  클릭바. 참여 혜택- 참여자 200명 추첨하여 커피 쿠폰 증정",2024-11-18 14:41:18.0
수의과대학,024년 국가근로장학금 동계방학 집중근로 프로그램 참여 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/900306/artclView.do,1. 관련: 한국장학재단 대학취업장학부-4249(2024.10.08.) 「2024년 국가근로장학금 동계방학 집중근로 프로그램 참여 안내」 2. 2024학년도 국가근로장학금 하계방학 집중근로 프로그램 희망근로지 신청을 다음과 같이 안내하오니 소속 학생들이 신청할 수 있도록 홍보하여 주시기 바랍니다. 가. 신청기간:  11. 11. (월) 09:00 ~ 11. 20.(수) 18:00 까지나. 신청자격: '24학년도 2학기 국가근로장학금 일반유형을 신청한 재학생(미신청자는 신청 불가)다. 신청방법: 한국장학재단 홈페이지 장학금 국가근로장,2024-11-15 15:15:35.0
수의과대학,2024학년도 2학기 중간 수업평가 실시 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/897343/artclView.do,1. 2024학년도 2학기 중간 수업평가를 다음과 같이 실시하오니 적극 협조하여 주시기 바랍니다.가. 중간 수업평가 실시1) 평가 대상: 전체 교과목2) 평가 기간: 2024. 10. 14.(월) ~ 10. 25.(금)3) 평가 방법: 전남대학교포털 교육지원 내 학사행정 성적 수업평가 중간 수업평가4) 평가 결과 확인(교원)- 기간: 2024. 10. 28.(월) ~ 2025. 2. 28.(금)- 방법: 전남대학교포털 교육지원 내 학사업무 수업관리 수업평가 중간 수업평가 결과 조회※ 담당교원은 중간 수업평가 결과를 참고하여 학기 중,2024-10-10 11:37:30.0
수의과대학,2024학년도 2학기 수강취소 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/896034/artclView.do,2024학년도 2학기 수강취소 안내 ❍ 신청기간: 2024. 9. 26.(목) 09:00 ~ 9. 27.(금) 17:00 ❍ 취소절차: 학생이 인터넷으로 포털에서 직접 수강취소 신청 교과목 개설학과에서 취소 승인 ❍ 취소방법: 전남대학교 포털사이트(http://portal.jnu.ac.kr)에 접속한 후   교육지원 내학사행정 수업 수강신청 수강취소 신청  선택 ❍ 수강취소 과목범위- 수강취소 신청과목은 2과목 이내로 하되 취소 후 수강학점은 1학점 이상을 유지해야 함 (수업관리지침 제19조) ❍ 수강취소 내역확인- 수강취소 후 최,2024-09-23 13:59:00.0
수의과대학,2024학년도 제2학기 추가 등록 및 휴.복학 신청 기간 안내,https://vetmed.jnu.ac.kr/bbs/vetmed/1874/893164/artclView.do,1. 2024학년도 제2학기 등록기간( 24. 8. 20. ~ 8. 23.)내에 등록금을 납부하지 못한 학생과 학자금 대출 신청한 학생을 위하여 다음과 같이 추가 등록기간을 설정 안내하니 기간내에 등록금을 납입할 수 있도록 안내하오니 참고하시기 바랍니다..가. 기간: 2024. 9. 10.(화) ~ 9. 12.(목) 16:00 [3일간]나. 등록장소: 광주은행 및 농협 전국 본 지점(지역농협 포함)※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)다. 유의사항1) 2024. 2학기 정부보증 학자금 대출을 받아 등록을 하는,2024-08-26 09:45:44.0
