학부,제목,링크,내용,작성일
수학과,2025학년도 편입학(일반/학사)전형 면접 및 제시문 안내,https://math.jnu.ac.kr/bbs/math/2076/907120/artclView.do,"2025학년도 편입학(일반/학사)전형 면접 및 제시문 안내드립니다.면접일시 : 2025.02.04(화)제시문 범위 : 대학 기준 1학년~ 2학년 범위응시시간 : 약 30분수학과는 제시문을 활용하는 모집단위입니다.말 그대로 면접에서 제시문을 '활용'하는 것이며 제시문 점수가 곧 면접점수나 시험점수로 들어가는 것이 아닙니다.제시문은 대학기준 1학년~ 2학년 범위이며 전남대학교에서 배우는 교과목 수학1, 수학2 위주입니다.입실 후에 면접대기실에서 약 30분정도 응시 후에 면접에 들어갈 예정입니다.",2025-01-31 10:55:12.0
수학과,2025학년도 상반기 교직 적성·인성 검사 실시 안내,https://math.jnu.ac.kr/bbs/math/2076/906585/artclView.do,"2025학년도 상반기 교직 적성 인성검사를 실시합니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터용 수성사인펜 반드시 지참",2025-01-20 17:27:17.0
수학과,"2025학년도 1학기 수학과 전과, 복수전공 이수 신청자 대상 면접 일정 안내",https://math.jnu.ac.kr/bbs/math/2076/906460/artclView.do,"2025학년도 1학기 수학과 전과 및 복수전공 이수 신청자 대상 면접 일정을 아래와 같이 안내드립니다. -일시 : 2024. 1. 23. (목) 13:30~13:50 (20분 시험)-장소 : 자연과학대학 1호관 3층 335호 -면접 시간: 14:00~-장소 : 자연과학대학 1호관 3층 310호 # 대상자 : 241632, 245214, 223597, 215191, 210764면접 대상자에 한하여 1.17(금) 문자 발송하였으며 대상자에 포함되지 않고 문자를 받지 못한 학생은 미선발입니다.미선발 사유: 선발기준 (수학1, 수학2 이수",2025-01-17 16:37:53.0
수학과,2025학년도 교직과정이수자 학교현장실습 안내,https://math.jnu.ac.kr/bbs/math/2076/905600/artclView.do,2025학년도 교직과정이수자에 대한 학교현장실습을 다음과 같이 실시합니다.가. 학교현장실습 기간: 2025. 5. 6.(화) ~ 2025. 5. 30.(금)[4주간]나. 수강신청 교과목(교과목코드): 학교현장실습(EDU9004)■ 다  음 ■1. 학교현장학습 신청2025.2.14.(금)까지 학과실 방문 또는 유선연락(062-530-3330)을 통해 실습 예정 학교명과 함께 신청*학과신청과 상관없이 학생 본인이 수강신청 기간에 학교현장실습 교과목 수강신청 해야함2. OT 참석 요청▫일시: 2025. 3. 4.(화) 17:00~18:0,2025-01-09 17:29:05.0
수학과,2025학년도 1학기 등록 안내,https://math.jnu.ac.kr/bbs/math/2076/905270/artclView.do,"가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들은 신청해주시기 바랍니다.가. 신청기간: 2025. 1. 6.(월) ~ 2. 3.(월) [29일간]나. 선택횟수: 분할납부 2회, 3회, 4회 선택 가능다. 신청절차: 학생이 직접 우리 대학교 홈페이지 또는 전남대학교 포털에",2025-01-07 17:08:21.0
수학과,2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내,https://math.jnu.ac.kr/bbs/math/2076/904405/artclView.do,"2024학년도 전기 졸업 예정자(기 졸업자 중 교원자격취득 대상자 포함)에 대하여 교원자격증 취득을 위한 무시험검정을 실시 하오니대상 학생은 제출서류를 1월 7일 화요일 오전 까지 학과실로 제출하여 주시기 바랍니다.가. 제출대상: 2024학년도 전기(2025년 2월) 졸업 예정자, 기 졸업자 중 교원자격취득 대상자나. 제출서류 1) 교원자격무시험검정원서[붙임3]   반드시 개정 된 원서로 제출 2022. 12. 13. 개정  2) 산업체현장실습이수증(공업계학과 대상자) 3) 면허증 사본(원본대조필): 간호사면허증(보건교사), 영양사",2024-12-30 09:36:52.0
수학과,2024학년도 전기(2025년 2월) 졸업예정자 대상 졸업시험 2차 결과,https://math.jnu.ac.kr/bbs/math/2076/904126/artclView.do,2024학년도 전기(2025년 2월) 졸업예정자 대상 졸업시험 2차 결과를 붙임파일에서 확인하시기 바랍니다.,2024-12-24 11:33:35.0
수학과,2025학년도 1학기 모집단위간이동(전과) 실시 안내,https://math.jnu.ac.kr/bbs/math/2076/903837/artclView.do,2025학년도 1학기 모집단위간이동(전과) 시행 일정을 아래와 같이 안내하오니 해당 학생은 기간을 확인하시고 신청하시기 바랍니다. 업무명날짜비고공고2024. 12. 18.(수)홈페이지원서 접수2025. 1. 7.(화) ~ 1. 9.(목)포털 신청전출 합격자 발표2025. 1. 17.(금)홈페이지수학과 전입 대상자선발 지필 및 면접 평가2025. 1. 23.(목)장소 : 자연과학대학 1호관 332호수학과 사무실전과 합격자 발표2025. 1. 31.(금)홈페이지2025.1.23.(목) 시험 및 면접 일정13:40~14:00 시험14:0,2024-12-20 14:40:08.0
수학과,"2025학년도 1학기 부·복수(연계)·융합전공, 마이크로디그리 취소 신청 및 이수자 선발",https://math.jnu.ac.kr/bbs/math/2076/903826/artclView.do,"2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 신청 및 이수자 선발을 아래와 같이 시행합니다.*마이크로디그리는 취소 신청, 승인 절차 없음 업무 구분추진 일자비고부 복수(연계) 및 융합전공 취소 신청2025. 1. 2.(목) ~ 1. 6.(월)학생(직접 인터넷 신청)부 복수(연계) 및 융합전공 신청2025. 1. 15.(수) ~ 1. 17.(금)학생(직접 인터넷 신청)부 복수(연계) 및 융합전공 신청자 사정 및 선발2025. 1. 23.(목)※이후 공지사항 확인 필수※승인 및 선발자 공고2025. 1. 31.(",2024-12-20 14:26:17.0
수학과,"2025학년도 제1학기 휴학, 복학 신청 안내",https://math.jnu.ac.kr/bbs/math/2076/903737/artclView.do,"1. 관련: 학칙 제34조(휴학), 제35조(복학)2. 2025학년도 제1학기 휴학 복학 신청에 대한 안내문을 붙임과 같이 송부합니다.가. 휴학 신청 기간1) 일반휴학(등록): 2025. 2. 18.(화) ~ 4. 24.(목)2) 일반휴학(미등록): 2025. 2. 18.(화) ~ 2. 21.(금)나. 복학 신청 기간1) 조기복학: 2025. 1. 2.(목) ~ 2. 7.(금)2) 일반복학: 2025. 1. 2.(목) ~ 2. 21.(금)다. 휴학 복학 신청 방법 및 유의 사항: 붙임 안내문 참조",2024-12-19 16:16:00.0
