학부,제목,링크,내용,작성일
에너지자원공학과,[대학원] 2025년1학기 대학원 수료후등록 신청,https://resources.jnu.ac.kr/bbs/resources/1194/906084/artclView.do,"국가연구개발사업(교수연구비장학금 포함)에 참여하거나 과학기술분야 연구실의 연구활동종사자에 해당되는 대학원생은 수료후등록을 반드시 신청하시어 연구비, 인건비 지급 및 연구활동종사자 보험 가입에 따른 불이익이 없도록 참고하시기 바랍니다. 1. 신청방법가. 대상: 일반대학원 및 전문 특수대학원 수료생 나. 절차: 교육지원 내 학사업무 등록 대학원 수료후등록신청 신청 다. 신청기간: 2025. 2. 3.(월) ~ 2. 13.(목) *기한엄수  라. 고지서 출력 및 납입기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지마",2025-01-14 15:36:21.0
에너지자원공학과,2025학년도 1학기 등록 공고,https://resources.jnu.ac.kr/bbs/resources/1194/905063/artclView.do,,2025-01-06 16:51:53.0
에너지자원공학과,2025년 1학기 일반공학프로그램 전환 신청 (~3/5까지),https://resources.jnu.ac.kr/bbs/resources/1194/905006/artclView.do,2025학년도 1학기 일반공학프로그램 및 공학프로그램 간 전환 신청을 희망하는 학생은 학과사무실로 신청서를 제출해 주시기 바랍니다.가. 대상자1) 4학기 교육과정 이수학생 중 5학기 ~ 8학기 수강신청 대상학생2) 편입 후 1학기 이내에 해당하는 학생 중 공학프로그램으로 전환 신청자나. 제출기한 : 2025.3.5(수)까지,2025-01-06 14:46:39.0
에너지자원공학과,[온실가스감축혁신인재양성사업]한국농어촌공사(나주 본사) 동계 인턴쉽 모집 결과 안내,https://resources.jnu.ac.kr/bbs/resources/1194/904987/artclView.do,한국농어촌공사(나주 본사) 동계 인턴쉽 모집에 따른 선발인원을 아래와 같이 안내합니다.자세한 인턴쉽 세부사항은 인턴쉽 시작 전 선발인원에게 별도로 안내할 예정입니다.*선발인원: 2명학년성명학번 뒤 2자리4학년정*영****004학년홍*지****55※문의: 062-530-0720,2025-01-06 14:24:25.0
에너지자원공학과,[대학원] 2025년 2월 졸업예정 석박사 학위논문 제출 안내,https://resources.jnu.ac.kr/bbs/resources/1194/904673/artclView.do,"2024학년도 전기(2025년 2월 졸업예정) 석 박사학위 수여예정자의 학위논문 파일 등재 및 인쇄본 접수를 다음과 같이 안내하오니, 대상자는 참고하시기 바랍니다.가. 학위논문 파일 등재※ 문의: 도서관 홈페이지(게시판 글쓰기)1) 등재기간: 2025. 1. 2.(목) ~ 1. 10.(금)(기간 이후 추가 등재 및 수정 불가)2) 등재방법: 도서관 홈페이지의 학위논문관리시스템 이용(붙임 2~4. 학위논문 파일 작성 및 제출 방법 숙지)※ 논문 공개여부는 공개가 원칙(특허, 계속연구, 기업 비밀은 비공개 가능)  나. 학위논문 최종",2025-01-02 15:13:31.0
에너지자원공학과,[대학원] 2025학년도 1학기 대학원 저소득층(창조) 장학금 신청,https://resources.jnu.ac.kr/bbs/resources/1194/904672/artclView.do,"2025학년도 1학기 대학원 저소득층(창조) 장학금과 관련하여 다음과 같이 안내하오니, 참고하시기 바랍니다.가. 신청 자격:  25학년도 1학기 등록 예정자로 '24학년도 2학기 성적이 평균평점 2.25(실점 75점) 이상인 자 중 저소득층 장학생 선발 기준에 해당하는 재학생 [붙임1 참고]나. 선발 장학 종류 (일반대학원생은 창조장학4만 선발)- 창조장학1: 등록금 전액- 창조장학2: 수업료2 전액- 창조장학3: 수업료2 반액- 창조장학4: 수업료1다. 신청 및 서류 제출기간: 2025. 1. 10.(금) ~ 1. 17.(금)라.",2025-01-02 15:06:28.0
에너지자원공학과,[대학원] 2025년 상반기 어학 종합시험 신청 및 면제신청 안내,https://resources.jnu.ac.kr/bbs/resources/1194/904107/artclView.do,어학시험 종합시험 신청 및 면제 신청자는 신청서 및 엑셀파일 작성하여 학과실로 1.6(월) 오전11시까지 제출해주시기 바랍니다.1. 시험 일정구  분일  정장  소외국어 및 종합시험 신청 외국어 및 종합시험 면제 신청2025. 1. 2.(목) ~ 1. 6.(월) 오전11시까지학과사무실면제합격자2025. 1. 20. (월) 예정전남대학교 포털종합시험2025. 1. 22.(수)추후 공고외국어시험2025. 1. 23.(목) 09:30~※ 09:30 이후 입실 불가추후 공고합격자 발표2025. 2. 21.(금) 예정전남대학교 포털,2024-12-24 10:10:18.0
에너지자원공학과,2025학년도 편입학(일반/학사)전형 지원자 안내문,https://resources.jnu.ac.kr/bbs/resources/1194/903804/artclView.do,"전남대 에너지자원공학과 편입전형 안내편입전형 당일 면접에 앞서 전공 시험을 치릅니다.(필기도구, 지우개, 계산기 별도 지참 )ㅇ분야: 공학수학1    - 1계 상미분방정식    - 2계 선형상미분방정식    - 고계 선형상미분방정식    - 연립 상미분방정식    - 상미분방정식의 급수해, 특수함수ㅇ시험시간: 오전반 09:00~10:00(60분)",2024-12-20 11:00:55.0
에너지자원공학과,2025학년도 1학기 대학직장 예비군 전입 신청 및 개인 정보 수정 안내,https://resources.jnu.ac.kr/bbs/resources/1194/903652/artclView.do,"2025학년도 1학기 대학직장 예비군 전입 신청 및 개인 정보 수정 안내2025학년도 1학기 대학(원) 신입(재입학), 편입, 복학, 전과 학생은 전남대학교 예비군연대로 전입 신청을 하시고, 정확한 훈련 안내를 위하여 개인 정보를 수정하시기 바랍니다. 1. 대상: 2025년도 1학기 대학(원) 신입(재입학), 편입, 복학, 전과신청절차 : 전남대학교 포털 ⇨ 내학사행정 ⇨ 예비군 ⇨ 예비군 전입 신청전입 신청 4~5일 경과 후 예비군 홈페이지에서 소속 부대 변경 확인,전남대학교연대로 편성되지 않은 학생은 예비군연대로 문의※ 신청 후",2024-12-19 09:50:16.0
에너지자원공학과,2024학년도 하반기 1차 도전장학(미래) 선발 계획 공고 안내,https://resources.jnu.ac.kr/bbs/resources/1194/903651/artclView.do,"「2024년 하반기 1차 도전장학(미래) 선발 계획」을 다음과 같이 공고하오니 참고하시기 바랍니다.1. 장학생 선발가. 자격: 2025년 2월 학사과정 졸업예정자로서 2025학년도 전기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원※ 단, 지원액은 가용예산 범위에 따라 다소 변동 가능함다. 제출서류대상제출 서류제출 기한제출처지원신청자◦ 도전장학(미래) 지",2024-12-19 09:47:18.0
에너지자원공학과,[온실가스감축혁신인재양성사업](주)CIS케미칼 동계 인턴쉽 모집 안내,https://resources.jnu.ac.kr/bbs/resources/1194/903117/artclView.do,"*모집인원: 2명*모집일정: 2024.12.18.(수) ~ 12.27.(금) 10시까지*모집결과: 2025. 1. 8.(수) 학과 홈페이지*지원내용: 참여학생 상해보험, 인턴쉽 지원비 등 사업단 지원- 세부사항은 모집계획안 참고*접수방법: 방문접수(공대3A-111호, 에너지자원공학과 학과 사무실)*문의: 062-530-0720",2024-12-17 14:07:21.0
에너지자원공학과,2025학년도 1학기 휴학 복학 신청 안내,https://resources.jnu.ac.kr/bbs/resources/1194/903114/artclView.do,,2024-12-17 14:03:21.0
에너지자원공학과,2025년 2월 학부 졸업(수료) 유보 신청 안내,https://resources.jnu.ac.kr/bbs/resources/1194/903112/artclView.do,2025년 2월 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적상태를 재학으로 유지하고자 희망하는 학은 유보 신청하시기 바랍니다. □ 졸업(수료) 유보 신청 및 유보비 납부 □  가. 유보 신청 기간 : 2024. 12. 12.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청기간 없음]  나. 유보비 납부기간[고지서 발행] : 2025. 1. 8.(수) ~ 1. 10.(금) 16:00까지 [추가 납부기간 없음]     ※ 고지서 발행(학생 개별 출력): 포털 등록 학부졸업(수료)유보 고지서 출력,2024-12-17 13:59:09.0
에너지자원공학과,[온실가스감축혁신인재양성사업]한국농어촌공사(나주 본사) 동계 인턴쉽 모집 안내,https://resources.jnu.ac.kr/bbs/resources/1194/902973/artclView.do,"*모집인원: 2명*모집일정: 2024.12.17.(화) ~ 12.27.(금) 10시까지*모집결과: 2025. 1. 8.(수) 학과 홈페이지*지원내용: 참여학생 상해보험, 인턴쉽 지원비 등 사업단 지원 - 세부사항은 모집계획안 참고*접수방법: 방문접수(공대3A-111호, 에너지자원공학과 학과 사무실)*문의: 062-530-0720",2024-12-16 15:39:41.0
에너지자원공학과,2024년 2학기 성적을 기반으로 한 장학사정 에너지마일리지 시스템 전산 업로드 안내,https://resources.jnu.ac.kr/bbs/resources/1194/902365/artclView.do,,2024-12-10 13:56:41.0
에너지자원공학과,2025년 1학기 학석사학위연계과정 접수  안내,https://resources.jnu.ac.kr/bbs/resources/1194/902362/artclView.do,2025년 1학기학석사학위연계과정 지원서 접수는 2025.1.2~1.10까지 단과대학 행정실(공대 4호관 2층 행정실)로 신청하시면 됩니다. 관심있는 학생들은 참고하시기 바랍니다.,2024-12-10 13:47:10.0
