학부,제목,링크,내용,작성일
역사교육과,2025학년도 편입학 전형 면접 관련 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/907234/artclView.do,"1. 전형 일정- 면접 일시: 2025. 2. 4.(화) 09:00~  [08:30까지 대기실 입실 완료]- 대기실: 교육융합관 417호2. 면접 관련 안내사항- 역사교육과는 제시문을 활용하여 면접 진행함.- 지원 동기 및 학업 계획, 전공 지식 등과 관련하여 면접 진행 예정3. 편입학 전형 관련 유의사항- 편입 관련 세부 내용은 전남대학교 편입학 홈페이지 및 모집요강 확인",2025-02-03 09:06:08.0
역사교육과,2025학년도 1학기 국가장학금 2차 신청 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/906989/artclView.do,"2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내하오니 참고하시기 바랍니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생  * 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00  - 서류제출 및 가구원 정보제공 동의 기간:  '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00    ※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감    ※ 여수캠퍼스 학생:  전남",2025-01-24 16:14:08.0
역사교육과,2025학년도 상반기 교직 적성·인성 검사 실시 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/906716/artclView.do,"2025학년도 상반기 교직 적성 인성검사를 실시하오니 참고하시기 바랍니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]  ※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터용 수성사인펜 반드시 지참바. 유의 사항: 【붙",2025-01-22 10:37:54.0
역사교육과,2024학년도 느티나무 장학금 신청 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/906217/artclView.do,"2024학년도 느티나무 장학을 다음과 같이 시행하오니 많은 학생들의 신청 바랍니다.가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준  1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자    - 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자    - 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자  2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자  3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지",2025-01-16 09:04:26.0
역사교육과,2025년도 지역인재 7급 수습직원 추천 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/906009/artclView.do,"2025년 지역인재 7급 수습직원 추천자 선발을 아래와 같이 추진 하오니 많은 학생들의 지원 바랍니다.가. 추천인원: 12명나. 지원자격  - 졸업자(2022년 1월 이후 졸업자), 졸업예정자(2026년 2월까지 졸업가능, 2024년 2학기까지 3/4이상 학점이수자, 편입생은 4학기 이수자)  - 지원당시 학과 석차 10%이내, 토익기준 700점이상(2020.1.1.이후), 한국사 2급 이상 취득자다. 추천자 선발 일정내용일시비고공지 25. 1. 8.(수)대학홈페이지, 공문 등서류 접수(온라인) 25. 1. 9.(목) ~ 1. 14",2025-01-14 09:24:02.0
역사교육과,제106주년 3.1절 계기 독립유공 정부포상 추천후보자 공개검증 참여 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/905698/artclView.do,"국가보훈부에서 제106주년 3.1절 계기 독립유공 정부포상 추천후보자 공개검증을 다음과 같이 실시하오니, 역사관련 전공 재학생의 많은 참여 바랍니다.",2025-01-10 16:59:10.0
역사교육과,2025학년도 1학기 등록 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/905071/artclView.do,"우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이 안내하오니 참고하시기 바랍니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점  ※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)2. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들은 기한내 신청하시기 바랍니다.  가. 신청기간: 2025. 1. 6.(월) ~ 2. 3.(월) [",2025-01-06 17:03:13.0
역사교육과,「남구 학교 밖 청소년 지원센터 운영」 교육봉사자 모집 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/904832/artclView.do,"남구 학교 밖 청소년지원센터에서 남구 지역 학교 밖 청소년들의 학력 취득 지원을 위한 검정고시반 교육봉사자를 모집합니다.이에 봉사자 모집 관련 사항을 다음과 같이 안내하오니, 관심 있는 학생들의 많은 참여 바랍니다.가. 활동기간: '25. 2. ~ 4. ※ 정확한 일정은 추후 통보나. 활동내용: 학교 밖 청소년들의 검정고시 학력 취득을 위한 교육다. 접수기간: '25. 1. 6.(월) ~ 1. 23(목) 17:00까지 ※ 결과 발표: '25. 1. 24.(금)라. 신청방법: [붙임2]의 신청서 작성 후 이메일(1324namgu@na",2025-01-03 14:15:59.0
역사교육과,2025학년도 1학기 우선 선발 장학 대상자(법정장학 및 복지장학 등) 신청 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/904723/artclView.do,2025학년도 1학기 재학생 등록금 감면 우선 선발 장학생을 선발하고자 하오니 해당사항이 있는 학생은 관련 증빙서류를 2025. 1. 13.(월)까지 학과사무실로 제출하여 주시기 바랍니다.  법정장학   복지장학   특별장학 수혜자격 및 증빙서류 구 분수혜자격증빙 서류장학금비고국가유공장학(법정장학) 독립유공자예우에 관한 법률 등 관련 법령에 따른 법정 장학 대상자 중 직전 학기 평균평점이 1.75(실점 70점) 이상인 자※ 국가유공자 등 본인은 성적 제한 없음 교육지원대상자증명서(본인) 또는 대학수업료등 면제대상자증명서(자녀),2025-01-02 17:16:21.0
역사교육과,2025년 서울런 멘토단 참여 대학생 모집 안내,https://hisedu.jnu.ac.kr/bbs/hisedu/2296/904451/artclView.do,"서울시는 청소년에게 체계적인 학습을 지원하고 대학생에게 지식 나눔의 기회를 제공하고자, '서울런(Seoul Learn)'과 연계한 대학생 멘토링 사업을 추진하고 있습니다. 이와 관련하여 2025년 서울런 멘토단에 참여할 우수한 인재를 추천하고자 하오니, 참여를 희망하는 학생은 선발하여  25.1.10.(금)까지 학과로 신청하여 주시기 바랍니다.- 제출 서류:■지원서(붙임2,3), 지원서(붙임2)는 반드시 한글파일(hwp)로 제출■재학증명서, 성적증명서■증빙서류(증빙 필요 대상 한정)2025년 서울런 멘토단 모집개요■모집인원 : 85",2024-12-30 14:01:56.0
