학부,제목,링크,내용,작성일
디자인학과,2025학년도 1학기 국가장학금 2차 신청 안내,https://design.jnu.ac.kr/bbs/design/1007/906974/artclView.do,"2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내드립니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00- 서류제출 및 가구원 정보제공 동의 기간: '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감※ 여수캠퍼스 학생:  전남대학교(본교)  선택 후 본인 소속학과로",2025-01-24 14:51:11.0
디자인학과,2025학년도 1학기 수강신청 시행 계획 안내,https://design.jnu.ac.kr/bbs/design/1007/906885/artclView.do,"2025학년도 1학기 수강신청 시행 계획 안내2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영됨을 알려드립니다.업무내용기간시간대상내용수강인원 조정 25.1.24.(금)~1.31.(금)09:00～18:00 전공: 강좌 주관학과 교양: 강좌 협력학과 학년별 수강인원 관리 자과/타과/부전공 수강인원 조정 분반정보의 사무실 번호 입력수강신청테스트 25.2.5.(수)10:00~12:00 학부 전 학년 공통 수강희망과목 예약 테스트14:00～18:00 수강",2025-01-23 13:42:14.0
디자인학과,2025학년도 상반기 교직 적성·인성검사 실시,https://design.jnu.ac.kr/bbs/design/1007/906603/artclView.do,"2025학년도 상반기 교직 적성 인성검사를 실시하오니 해당 학과(전공)에서는 대상 학생은 신청하여 검사를 받으시기 바랍니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터",2025-01-21 09:18:02.0
디자인학과,2025학년도 상반기 외국어 및 종합시험 일정 안내,https://design.jnu.ac.kr/bbs/design/1007/906088/artclView.do,"가. 종합시험 일시: 2025. 1. 22.(수) 09:30~- 시험장소: 석사(예3-109강의실), 박사(예3-106강의실)나. 외국어시험 일시: 2025. 1. 23.(목) 09:30~- 시험장소: 석사,박사,석.박사통합(예3-109)",2025-01-14 16:17:05.0
디자인학과,2025학년도 1학기 일반(전문.특수대학원 포함)대학원 수료후등록 신청 안내,https://design.jnu.ac.kr/bbs/design/1007/906085/artclView.do,2025학년도 1학기 일반대학원 수료후등록 신청 기간을 다음과 같이 알려드리니 해당 학생은 신청하여 주시기 바랍니다.신청방법가. 대상: 일반대학원 및 전문 특수대학원 수료생나. 절차: 교육지원 내 학사업무 등록 대학원 수료후등록신청 신청다. 신청기간: 2025. 2. 3.(월) ~ 2. 14.(금) *기한엄수라. 대상자 명단 제출 기한: 2025. 2. 17.(월)마. 고지서 출력 및 납입기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지바. 수료 후 등록비: 당해학기 등록금의 8%*소속학생(외국인학생 포함)이,2025-01-14 15:50:16.0
디자인학과,2025학년도 2학기 해외 파견 교환학생 선발 홍보,https://design.jnu.ac.kr/bbs/design/1007/906079/artclView.do,"2025학년도 2학기 해외 파견 교환학생을 다음과 같이 선발 하고자 합니다.가. 파견대학 및 선발 예정인원: 23개국 59개교 177명- 이 중 22개국 48개 대학은 대학원생 지원 가능 (엑셀파일에 별도 표기됨)- 일본, 중국은 2차 모집 시 지원 가능나. 파견기간: 2025년 7월 ~ 2026년 5월 중 (한 학기 또는 1년 파견)다. 추진일정1) 모집공고 및 신청서 접수:-1차:  25. 1. 6.(월) ~ 1. 20.(월)-2차:  25. 2. 17.(월) ~ 3. 4.(화)2) 선발시험(외국어 구술 및 면접):  25. 1",2025-01-14 15:00:59.0
디자인학과,2025학년도 전기 일반대학원 입학전형 합격자 유의사항 및 등록안내,https://design.jnu.ac.kr/bbs/design/1007/905661/artclView.do,"2025학년도 전기 1차, 2차 합격자 유의사항 및 등록안내드립니다.1. 신입생 등록금 납부○ 고지서 출력 : 2025. 1. 20.(월) 09:00 ~ 1. 23.(목)○ 등록금 납부 : 2025. 1. 20.(월) 09:00 ~ 1. 23.(목) 16:00까지○ 등록금 고지서 출력 방법☞ 전남대학교 메인 홈페이지(www.jnu.ac.kr/jnumain.aspx)  ⇨ 상단 팝업창 ⇨ 「대학원 등록금고지서 출력」 선택 ※ 등록금은 납부고지서에 기재된 은행에 납부하여야 하며, 등록기간 내에 등록하지 않을 경우합격이 취소되오니 등록금",2025-01-10 13:50:45.0
디자인학과,2025학년도 제1학기 등록 안내,https://design.jnu.ac.kr/bbs/design/1007/905488/artclView.do,"우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이 안내하오니 각 대학(원)에서는 다음 사항에 유의하여 학사지도에 만전을 기하여 주시기 바랍니다.1. 대학(원)에서는 등록 공고문을 학부(과) 홈페이지 및 게시판에 게시하여 주시고 등록금고지서는 학생이 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부할 수 있도록 안내하여 주시기 바랍니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신",2025-01-08 15:02:17.0
디자인학과,2024학년도 전기(2025년 2월 졸업예정) 석·박사 학위논문 제출 안내,https://design.jnu.ac.kr/bbs/design/1007/904698/artclView.do,"2024학년도 전기(2025년 2월 졸업예정) 석 박사학위 수여예정자의 학위논문 파일 등재 및 인쇄본 접수를 다음과 같이 안내하오니, 대학(원) 및 학과에서는 해당 학생에게 안내하여 주시기 바랍니다.가. 학위논문 파일 등재※ 문의: 도서관 홈페이지(게시판 글쓰기)1) 등재기간: 2025. 1. 2.(목) ~ 1. 10.(금)(기간 이후 추가 등재 및 수정 불가)2) 등재방법: 도서관 홈페이지의 학위논문관리시스템 이용(붙임 2~4. 학위논문 파일 작성 및 제출 방법 숙지)※ 논문 공개여부는 공개가 원칙(특허, 계속연구, 기업 비밀은",2025-01-02 16:14:28.0
디자인학과,2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내,https://design.jnu.ac.kr/bbs/design/1007/904463/artclView.do,"2024학년도 전기 졸업 예정자(기 졸업자 중 교원자격취득 대상자 포함)에 대하여 교원자격증취득을 위한 무시험검정을 실시 하오니, 해당자는 검정원서를 2025. 1. 8.(수)까지 관련서류를 학과실로 제출하여 주시기 바랍니다.나. 제출서류1) 교원자격무시험검정원서[붙임3]   반드시 개정 된 원서로 제출 2022. 12. 13. 개정 2) 교사자격 취득 결격사유 관련  진단서  또는  건강검진 결과 통보서 다. 교사자격 취득 결격사유1) 마약‧대마‧향정신성의약품 중독자 여부 판별: 개인별 검사 후 제출- ｢초중등교육법｣ 및 ｢유아교",2024-12-30 14:48:34.0
