학부,제목,링크,내용,작성일
미술학과,2025학년도 1학기 국가장학금 2차 신청 안내 및 홍보,https://fineart.jnu.ac.kr/bbs/fineart/1009/906995/artclView.do,"안녕하세요 미술학과입니다.2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내하오니 희망하는 학부생은 기한내에 신청해주시기 바랍니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00- 서류제출 및 가구원 정보제공 동의 기간:  '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시",2025-01-24 16:30:20.0
미술학과,2025학년도 상반기 교직 적성.인성 검사 실시 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/906589/artclView.do,"안녕하세요 미술학과입니다.2025학년도 상반기 교직 적성 인성검사를 실시하오니 해당 학생은 기한 내에 신청해주시기 바랍니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터",2025-01-20 17:59:15.0
미술학과,2025학년도 1학기 수강신청 시행 계획 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/906383/artclView.do,"안녕하세요 미술학과입니다. 2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영되오니, 참고하여 주시기 바랍니다.※ 2025년 8월 및 2026년 2월 졸업예정 학생들에 대해서는 미 이수과목 확인 후 수강신청으로 확인 요망업무내용기간시간대상내용수강인원 조정 25.1.24.(금)~1.31.(금)09:00～18:00 전공: 강좌 주관학과 교양: 강좌 협력학과 학년별 수강인원 관리 자과/타과/부전공 수강인원 조정 분반정보의 사무실 번호 입력수강신청테스트 25.",2025-01-17 09:16:25.0
미술학과,2024학년도 느티나무 장학금 신청 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/906269/artclView.do,"안녕하세요 미술학과입니다.「2024학년도 느티나무 장학금 선발 계획(안) 수입 및 시행」2024학년도 느티나무 장학을 다음과 같이 시행하오니 많은 학생들은 신청해주시기 바랍니다.가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징",2025-01-16 12:56:27.0
미술학과,2025학년도 1학기 일반대학원 수료후 등록 신청 기간 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/906018/artclView.do,"안녕하세요 미술학과입니다.2025학년도 1학기 일반대학원 수료후등록 신청 기간을 다음과 같이 알려드리니 해당 학생은 기한 내에 신청해주시기 바랍니다.BK21사업 및 국가연구개발사업(교수연구비장학금 포함)에 참여하거나 과학기술분야 연구실의 연구활동종사자에 해당되는 대학원생은 수료후등록을 반드시 신청하시어 연구비, 인건비 지급 및 연구활동종사자 보험 가입에 따른 불이익이 없도록 해주시기 바랍니다.신청방법가. 대상: 일반대학원 및 전문 특수대학원 수료생 나. 절차: 교육지원 내 학사업무 등록 대학원 수료후등록신청 신청 다. 신청기간: 2",2025-01-14 09:49:14.0
미술학과,"2025년 상반기 외국어,종합시험 장소 및 일정 안내",https://fineart.jnu.ac.kr/bbs/fineart/1009/905885/artclView.do,"안녕하세요 전남대학교 미술학과입니다.2025년 상반기 외국어 종합시험 일시 안내드립니다.가. 종합시헙 일시 : 2025. 1. 22. 수 09:30 ~   시험장소 : 석사(예3-109강의실), 박사(예3-106강의실)나. 외국어시험 일시 : 2025. 1. 23. 목 09:30 ~시험장소 : 석사,박사, 석박사통합(예3-109)시험일정과 장소를 안내하오니 착오없으시기 바랍니다.감사합니다.",2025-01-13 11:52:13.0
미술학과,2025학년도 제1학기 등록 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/905445/artclView.do,"안녕하세요 미술학과입니다.2025학년도 1학기 등록 공고문을 붙임과 같이 안내하오니 해당 학생은 참고하여 주시고, 등록금 고지서는 학생이 직접우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부하게 되어있으니 착오없으시기 바랍니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)2. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니",2025-01-08 12:54:40.0
미술학과,2025학년도 1학기 대학원 저소득층(창조) 장학금 신청 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/904641/artclView.do,"안녕하세요 미술학과입니다.2025학년도 1학기 대학원 저소득층(창조) 장학금과 관련하여 다음과 같이 안내하오니, 희망하는 학생은 참고하여 기한 내에 학과사무실로 제출하여 주시기 바랍니다. 저소득층 장학금 주요 사항    가. 신청 자격:  25학년도 1학기 등록 예정자로 '24학년도 2학기 성적이 평균평점 2.25(실점 75점) 이상인 자 중 저소득층 장학생 선발 기준에 해당하는 재학생 [붙임1 참고]나. 선발 장학 종류 (일반대학원생은 창조장학4만 선발)- 창조장학1: 등록금 전액- 창조장학2: 수업료2 전액- 창조장학3: 수업",2025-01-02 12:14:36.0
미술학과,2024학년도 전기(2025년 2월 졸업예정) 석.박사 학위논문 제출 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/904640/artclView.do,"안녕하세요 전남대학교 미술학과입니다.2024학년도 전기(2025년 2월 졸업예정) 석 박사학위 수여예정자의 학위논문 파일 등재 및 인쇄본 접수를 다음과 같이 안내하오니, 제 제출자는 참고하여 주시기 바랍니다.가. 학위논문 파일 등재※ 문의: 도서관 홈페이지(게시판 글쓰기)1) 등재기간: 2025. 1. 2.(목) ~ 1. 10.(금)(기간 이후 추가 등재 및 수정 불가)2) 등재방법: 도서관 홈페이지의 학위논문관리시스템 이용(붙임 2~4. 학위논문 파일 작성 및 제출 방법 숙지)※ 논문 공개여부는 공개가 원칙(특허, 계속연구, 기업",2025-01-02 12:11:35.0
미술학과,2025학년도 1학기 타 대학교(서울대 학부 및 대학원) 교류학생 추천 안내,https://fineart.jnu.ac.kr/bbs/fineart/1009/904639/artclView.do,"안녕하세요 전남대학교 미술학과입니다.2025학년도 1학기 타 대학교 운영계획을 다음과 같이 안내하오니 각 대학(부서)에서는 소속학생에게 공지하여 주시고, 신청자가 있을 경우 붙임 서식(교류대학 추천자 명단) 및 수학신청원을2025.01.06. 월 오후 4시까지 학과사무실로 제출해 주시기 바랍니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1",2025-01-02 11:51:59.0
