학부,제목,링크,내용,작성일
음학학과,2025학년도 제1학기 등록 안내,https://music.jnu.ac.kr/bbs/music/1656/905477/artclView.do,"2025학년도 제1학기 등록 안내드립니다.- 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]- 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들이 신청할 수 있도록 안내하여 주시기 바랍니다.가. 신청기간: 2025. 1. 6.(월) ~ 2. 3.(월) [29일간]나. 선택횟수: 분할납부 2회, 3회, 4회 선택 가능다. 신청절차",2025-01-08 14:22:45.0
음학학과,2024년 하반기 1차 도전장학(미래) 선발 계획 안내,https://music.jnu.ac.kr/bbs/music/1656/903260/artclView.do,"2024년 하반기 1차 도전장학(미래) 선발 계획 안내1. 장학생 선발가. 자격: 2025년 2월 학사과정 졸업예정자로서 2025학년도 전기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원※ 단, 지원액은 가용예산 범위에 따라 다소 변동 가능함다. 제출서류대상제출 서류제출 기한제출처지원신청자◦ 도전장학(미래) 지원신청서[별지 제1호 서식] ※ 붙임 참조202",2024-12-17 18:03:45.0
음학학과,2025학년도 제1학기 휴.복학 신청 안내,https://music.jnu.ac.kr/bbs/music/1656/903147/artclView.do,2025학년도 제1학기 휴.복학 신청 안내가. 휴학 신청 기간1) 일반휴학(등록): 2025. 2. 18.(화) ~ 4. 24.(목)2) 일반휴학(미등록): 2025. 2. 18.(화) ~ 2. 21.(금)나. 복학 신청 기간1) 조기복학: 2025. 1. 2.(목) ~ 2. 7.(금)2) 일반복학: 2025. 1. 2.(목) ~ 2. 21.(금)다. 휴학 복학 신청 방법 및 유의 사항: 붙임 안내문 참조,2024-12-17 14:38:21.0
음학학과,[학부] 2024학년도 동계 계절학기 수강취소 안내,https://music.jnu.ac.kr/bbs/music/1656/902550/artclView.do,2024학년도 동계 계절학기 수강취소 안내 드립니다.1. 수강취소 기간 및 방법구분수강취소 기간환불 금액취소 방법개강 전수강취소2024. 12. 19.(목) 09:00～2024. 12. 20.(금) 18:00전액학생포털을 이용하여 학생 본인이 직접 전산 취소개강 후수강취소2024. 12. 26.(목) 09:00~ 2025. 1. 2.(목) 18:00수강료의 2/3환불2025. 1. 3.(금) 09:00～2025. 1. 6.(월) 18:00수강료의 1/2환불2025. 1. 6.(월) 18:00 이후 수강취소 및 환불 불가※ 수강취소,2024-12-11 13:55:25.0
음학학과,[학부] 2025학년도 편입학(일반/학사)전형 안내,https://music.jnu.ac.kr/bbs/music/1656/901272/artclView.do,2025학년도 편입학(일반/학사)전형 안내 1. 편입학전형 주요 일정구분일정비고인터넷 원서접수2024. 12. 18.(수) 09:00～12. 20.(금) 18:00[서류제출 기한] 12. 18.(수)~27.(금) 18:00면접/필기/실기고사일2025. 2. 4.(화) 09:00～[면접/필기] 08:30까지 공지장소로 입실[실기] 모집단위별 운영에 따름최초합격자 발표2025. 2. 13.(목) 15:00 예정[등록] 2. 14.(금) 09:00～2. 17.(월) 15:00충원합격자 발표1차2025. 2. 18.(화) 09:00 예정[,2024-11-26 16:33:32.0
음학학과,[일반대학원] 2025학년도 전기(2차) 일반대학원 입학전형 안내,https://music.jnu.ac.kr/bbs/music/1656/901271/artclView.do,2025학년도 전기(2차) 일반대학원 입학전형 안내1. 전형 주요일정구   분일   정비 고인터넷원서접수'24. 12. 2.(월) 09:00 ~ 12. 11.(수) 18:00전남대 홈페이지전형일'24. 12. 26.(목)모집단위별 지정장소합격자발표'25. 1. 9.(목) 15:00 예정전남대 홈페이지등록기간'25. 1. 20.(월) 09:00 ~ 1. 23.(목) 16:00전남대 지정은행 많은 지원관 관심 부탁드립니다.,2024-11-26 16:27:35.0
음학학과,제42회 전남대학교 예술대학 음악학과 졸업연주회 개최,https://music.jnu.ac.kr/bbs/music/1656/901021/artclView.do,"제42회 전남대학교 예술대학 음악학과 졸업연주회가 성황리에 진행되고 있습니다많은 관심과 사랑 부탁드립니다.일시 - 작곡: 11.8.(금) - 피아노: 11.20.(수)-21.(목) - 성악: 12.2(월)-3.(화) - 관현악: 12.4(수)-5(목)장소전남대학교 예술대학 예향홀주최전남대학교 예술대학 음악학과문의062-530-0390,3030",2024-11-22 11:18:16.0
음학학과,[수시모집]2025학년도 수시모집 예·체능계 실기고사 수험생 안내사항(시간 및 장소),https://music.jnu.ac.kr/bbs/music/1656/900269/artclView.do,"2025학년도 수시모집 예 체능계 실기고사 수험생 안내사항       2025학년도 수시모집 예 체능계(음악학과) 실기고사 수험생 유의사항을 붙임과 같이 안내하오니 입실시간 및 입실장소, 안내사항을 반드시 확인하시기 바랍니다.     2024. 11. 12.      전 남 대 학 교",2024-11-15 10:40:07.0
음학학과,2025학년도 전기 일반대학원 신입생 모집,https://music.jnu.ac.kr/bbs/music/1656/896922/artclView.do,2025학년도 전기 일반대학원 입학전형 모집요강을 안내하오니 많은 관심과 지원 바랍니다.1. 전형 주요일정구   분일   정비 고인터넷원서접수'24. 10. 2.(수) 09:00 ~ 10. 16.(수) 18:00전남대 홈페이지전형일'24. 10. 30.(수)모집단위별 지정장소합격자발표'24. 11. 12.(화) 15:00 예정전남대 홈페이지등록기간'25. 1. 20.(월) 09:00 ~ 1. 23.(목) 16:00전남대 지정은행,2024-10-04 10:57:55.0
음학학과,2024학년도 제2학기 추가 등록 및 휴.복학 신청 기간 안내,https://music.jnu.ac.kr/bbs/music/1656/893390/artclView.do,2024학년도 제2학기 추가 등록 및 휴.복학 신청 기간 안내 우리 대학교에서는 2024. 8. 20.(화) ~ 8. 23.(금) 등록을 실시하였으나 현재까지 등록금을 납부하지 못한 학생에 대해 다음과 같이 추가 등록기간과 휴 복학 기간을 설정 시행하오니 기간내에 등록금 납부와 휴 복학하시기 바랍니다.기간: 2024. 9. 10.(화) ~ 9. 12.(목) 16:00 [3일간]※ 자세한 사항은 공고문 참고 붙임 2024학년도 제2학기 추가 등록 공고문 1부. 끝.,2024-08-27 10:45:29.0
