학부,제목,링크,내용,작성일
원예생명공학과,[대학] 2024학년도 전기(2025.2월) 학부 졸업 본사정 적용  등록여부  확인요망,https://hort.jnu.ac.kr/bbs/hort/441/906888/artclView.do,"[대학] 2024학년도 전기(2025.2월) 학부 졸업 본사정 적용  등록여부  확인요망 - 대상자 : 2024학년도 전기(2025.2월) 학부 졸업 본사정 졸업자격인정기준 관련 서류(전공분야, 컴퓨터분야) 제출자 제출서류를 전산(포털)에 등록완료 하였습니다.  졸업자격인정기준 합격여부 를 확인하고 이상이 있는 경우, 25.02.03(월) 09시부터 ~ 02.05(수) 11시까지 학과실(530-2060)으로 연락바랍니다.",2025-01-23 14:16:40.0
원예생명공학과,[전남대학교 공지사항] [학사안내]2025학년도 1학기 수강신청 시행 계획 안내,https://hort.jnu.ac.kr/bbs/hort/441/906820/artclView.do,전남대학교 공지사항(학사과)[학사안내]2025학년도 1학기 수강신청 시행 계획 안내 https://www.jnu.ac.kr/WebApp/web/HOM/COM/Board/board.aspx?boardID=5 bbsMode=view page=1 key=64999,2025-01-22 20:56:03.0
원예생명공학과,[대학] 2025.1학기 수강신청 관련 유의사항 공지,https://hort.jnu.ac.kr/bbs/hort/441/906819/artclView.do,"[원예생명공학과] 2025.1학기 수강신청 관련 유의사항 공지 수강신청 관련 유의사항  꼭 확인  수강신청은 포털을 통해 해당학년 신청기간 및 공통기간에 신청하시기 바랍니다. 1. [채소원예학총론](1학년1학기 전필)의 경우, 2025.1학기에 미개설로 2026.1학기에 수강하시기 바랍니다. 2. 수강좌석 개설 요청 시, 신청서 작성은 전필 과목에 한합니다.(신청서 작성은 해당 학년 수강신청 기간 이전 학과실로 본인이 직접 연락한다.)-  공통기간에 작성 목록 기준으로 순차적 수강신청가능 3. 모든 과목은 해당 학년이 우선시됩니다.",2025-01-22 20:49:19.0
원예생명공학과,[대학] 2024년도 원예생명공학과 실험실 배정 명단 공지,https://hort.jnu.ac.kr/bbs/hort/441/906598/artclView.do,"[대학] 2024년도 원예생명공학과 실험실배정 명단 공지 2024.11.18.(월) 시행한 ""실험실 배정 설명회""에서 안내한 바와 같이 2024.12.26.(목) 14시까지 접수한 ""실험실 배정 신청서""를 바탕으로 실험실 배정 내역을 공지(첨부파일)합니다. 각 실험실로 연락하여 교수님과 활동계획을 수립 후 활동을 시작하시기 바랍니다.[추가문의처] 원예생명공학과 학과실 / 062-530-2060",2025-01-20 21:33:28.0
원예생명공학과,[대학원] 일반대학원 원예학과 정기세미나(2025.1월) 1.20(월) 14:00~,https://hort.jnu.ac.kr/bbs/hort/441/906116/artclView.do,"일반대학원 원예학과 정기세미나(2025.1월)  원예학과 구성원의 연구 교류 활성화, 구성 학생들의 소통 창구 마련 및 학과차원의 통합적 연구지도, 관리 강화를 위해 1월 정기세미나를 개최하오니 많은 참석 바랍니다.○ 일 시 : 2025.01.20.(월) 14:00~○ 장 소 : 농생대5호관 201호",2025-01-14 19:21:51.0
원예생명공학과,[장학-서류접수] 2025년도 재단법인 조비․경농 장학재단 장학생 선발 지원서 접수(1.14(화) 11시까지),https://hort.jnu.ac.kr/bbs/hort/441/905948/artclView.do,"[장학-서류접수] 2025년도 재단법인 조비․경농 장학재단 장학생 선발 지원서 접수(1.14(화) 11시까지) 2025년도 재단법인 조비,경농 장학재단 장학생 선발 건으로    선발대상 : 2025년 1학기 3학년 진학예정자   추가 자세한 내용은 아래 공고문에서 확인 원예생명공학과에서 추천가능인원 1명 입니다.  지원자는 1) 지원서 제출예정자는 1.14(화) 10시까지 개인카톡(푸르른날)로 사전 연락바랍니다.**카톡연락시,[2025년도 재단법인 조비, 경농 장학] 지원합니다. 학번(123456), 이름(홍길동) 2) 지원서 제출",2025-01-13 16:56:09.0
원예생명공학과,[안내] 2025학년도 1학기 학·석사학위연계과정 및 학·석박사학위통합연계과정자 모집,https://hort.jnu.ac.kr/bbs/hort/441/904545/artclView.do,[안내] 2025학년도 1학기 학 석사학위연계과정 및 학 석박사학위통합연계과정자 모집  ▢ 일정 및 지원절차 ▢  원예생명공학과 기준 안내사항 구  분일  정절차 및 방법비  고지원서 접수 25. 1. 2.(목)  ~ 1. 10.(금)  25.01.08(수) 11시까지 지원자 ⇨ 단과대학 행정실  학과실 방문  학과장 날인  후 행정실 제출 #9312;연계과정 지원서#9313;지원학과 지도예정교수 추천서#9314;성적확인서(*당해학기 포함)#9315;연구활동계획서전형(심사) 25. 1. 13.(월) ~ 1. 17.(금)  접수현황확,2024-12-31 16:38:16.0
원예생명공학과,[대학원] 2025년 상반기 일반대학원 외국어 및 종합시험 안내(면제포함),https://hort.jnu.ac.kr/bbs/hort/441/904540/artclView.do,"[대학원] 2025년 상반기 일반대학원 외국어 및 종합시험 안내(면제포함) **2020학년도 하반기부터  신청서 서식 이 변경되었습니다. 이점 확인 후 변경된 양식으로 제출 요망. 2025년 상반기 일반대학원 외국어 및 종합시험 안내 1. 외국어시험 면제 신청 접수가. 기간 : 25.01.02(목) ~ 08(수) 11시까지나. 장소 : 학과사무실(농4-117호) 제출다. 면제자 발표: 25.01.20(월) 예정, 개별확인(포털 로그인 후 면제여부 확인)라. 지원자격 : 첨부파일 [붙임1] 참조마. 제출서류 : 첨부파일 [붙임1] 면",2024-12-31 16:19:16.0
원예생명공학과,[대학-학사논문발표] 2024학년도 전기(2025년2월) 졸업예정 학사논문발표 일정,https://hort.jnu.ac.kr/bbs/hort/441/903765/artclView.do,"[대학-학사논문발표] 2024학년도 전기(2025년2월) 졸업예정 학사논문발표 일정 원예생명공학과 학사논문발표(학위논문 심사) 일정 및 접수자 현황 안내합니다. 1. 학사논문발표 일정 및 제출자료- 일시 : 2024.12.23(월) 13시30분~- 장소 : 농5-201호- 발표시간 : 10분 (발표 8분 + 질의응답 2분)- 발표일 제출자료 : 학사졸업논문 복사본 6부 (지도교수님 날인 후 복사) **최종논문은  홈페이지 공지사항 확인 후 제출 [대학] 2024학년도 전기(2025년 2월) 학부 졸업 본사정 시행, 관련 서류 제출",2024-12-19 17:54:31.0
원예생명공학과,[대학] 2024년도 2학기  원예생명공학실험실습2  구두발표(평가) 일정 안내,https://hort.jnu.ac.kr/bbs/hort/441/902738/artclView.do,[대학] 2024년도 2학기 '원예생명공학실험실습2' 구두발표(평가) 일정 안내 2024학년도 2학기 '원예생명공학실험실습2' 교과목  구두발표(평가)  일정 안내합니다. - 일시 : 2024.12.16(월) 15시~ **발표자료는 14:50분까지 강의실 컴퓨터에 미리 다운받아두시기 바랍니다. - 장소 : 농5-201호 - 발표시간 : 7분 (발표 5분 + 질의응답 2분) - 발표당일 준비사항 : [지도교수님까지 날인 완료] 논문 인쇄본 6부.**원예생명공학과 학과장  김성길  교수님입니다. - 발표대상 : 12명 - 발표순서 **,2024-12-12 18:04:22.0
