학부,제목,링크,내용,작성일
융합전공,[학사안내]2025학년도 제1학기 등록 공고,https://cvg.jnu.ac.kr/bbs/cvg/405/905429/artclView.do,"2025학년도 제1학기 등록 공고 2025학년도 제1학기 등록금 납부를 다음과 같이 공고하오니 등록에 차질 없으시기 바랍니다. 1. 기 간 : 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]2. 장 소 : 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점3. 등록금 분할납부 방법  가. 신청대상: 경제사정으로 정해진 기간내에 등록금 전액 납부가 어려워 분할납부하고자 하는 학생          [신청제외자: 학부 및 대학원 신입생, 전액 장학금 수혜자, 미등록 휴학예정자, 수업연한초과자]",2025-01-08 11:18:56.0
융합전공,국제개발협력학융합전공 모집 안내포스터,https://cvg.jnu.ac.kr/bbs/cvg/405/904714/artclView.do,"2025학년도 1학기 신설인 국제개발협력학융합전공 모집을 다음과 같이 안내드리오니, 관심있는 학생들의 많은 신청 부탁드립니다.",2025-01-02 16:49:28.0
융합전공,"[학사안내]2025학년도 1학기 부·복수(연계)·융합전공, 마이크로디그리 취소 및 신청 안내 공고",https://cvg.jnu.ac.kr/bbs/cvg/405/904712/artclView.do,"2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 및 신청 안내 공고 2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 및 신청을 아래와 같이 실시하오니 해당 일정에 따라 신청하시기 바랍니다.1. 부 복수(연계) 융합전공 이수 취소 신청  - 신청기간: 2025. 1. 2.(목) ~ 1. 6.(월)  - 신청방법: 전남대 포털 신청2. 부 복수(연계) 융합전공, 마이크로디그리* 이수 신청  - 신청기간: 2025. 1. 15.(수) ~ 1. 17.(금)  - 신청방법: 전남대 포털 신청  - 선발",2025-01-02 16:44:33.0
융합전공,국제개발협력학융합전공 교육과정 편성표,https://cvg.jnu.ac.kr/bbs/cvg/405/904483/artclView.do,편    성(안)전문인/전공능력핵심역량기존교과목 여부교과구분교과목코  드교과목명학점시간수학년학기강의실습전필IDC0001국제개발협력의이해3302-1국제개발협력전문인/ 국제개발협력 기획 및 분석 능력공동체기존전필IDC0002디자인사고와ODA3302-2국제개발협력전문인/ 국제개발협력 기획 및 분석 능력창의신규전선IDC0003글로컬평화공동체실습3223-2국제기구전문인/ 국제사회 민간단체(INGO) 협력 능력공동체신규전선IDC0004아프리카ODA3302-1글로컬이슈전문인/ 지역에 대한 이슈 분석 능력공동체신규전선IDC0005평화재건과난민국제,2024-12-30 17:13:13.0
융합전공,[학사안내]2025학년도 제1학기 휴학·복학 신청 안내,https://cvg.jnu.ac.kr/bbs/cvg/405/903125/artclView.do,2025학년도 제1학기 휴학 및 복학 신청에 대해 다음과 같이 안내합니다.■ 휴학 휴학 종류신청 기간대상자일반휴학(등록)2025. 2. 18.(화) ~ 4. 24.(목)  등록금 납부 후 휴학을 원하는 자일반휴학(미등록)2025. 2. 18.(화) ~ 2. 21.(금)  등록금 납부하지 않고 휴학을 원하는 자※ 등록 기간 내에만 휴학 신청 가능휴학연장2025. 2. 18.(화) ~ 2. 21.(금)  휴학 만료일이 2025. 2. 28.까지인 자군휴학(복무신고)입영일 한 달 전 ~ 입영일  학기 중에 군입대하는 학생 중 미등록으로,2024-12-17 14:16:04.0
융합전공,[학사안내]2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청 안내,https://cvg.jnu.ac.kr/bbs/cvg/405/903068/artclView.do,"2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적사항을  재학 으로 유지하고자 희망하는 학생은 포털에서 졸업(수료) 유보를 신청하시고, 유보비 납부기간에 유보비를 납부해 주시기 바랍니다.   □ 졸업(수료) 유보 신청 및 유보비 납부 □   가. 유보 신청 기간 : 2024. 12. 12.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청기간 없음]    ● 신청방법: 전남대 포털   등록   학부 졸업(수료)유보   학부 졸업(수료)유보 신청(첨부파일 참조)      ※ 신청",2024-12-17 11:00:44.0
융합전공,2024 국외기획탐사 선발 결과 공고,https://cvg.jnu.ac.kr/bbs/cvg/405/902047/artclView.do,2024 AI융합대학 국외기획탐사 선발팀 결과를 다음과 같이 공고합니다.선발팀 (7팀)무조건간다뉴인스GDGoc CNUAIFMOTIVE다사다낭 탐방기지구인들선발팀은 추후 실시할 OT에 필수 참석(팀당 1명)하여야 합니다.※OT 미참석팀 지원금 삭감※,2024-12-06 11:17:23.0
융합전공,2024 AI융합대학 심층 전공 탐색 지원자 선발 추첨 안내(12.06. 15:00~),https://cvg.jnu.ac.kr/bbs/cvg/405/901985/artclView.do,2024학년도 AI융합대학 심층전공 탐색 지원자 추첨을 실시하오니 많은 참여 바랍니다.주제: 2024 AI융합대학 심층 전공 탐색 지원자 선발시간: 2024년 12월 6일  03:00 오후참가 Zoom 회의https://jnu-ac-kr.zoom.us/j/6301525437?omn=82456247361회의 ID: 630 152 5437,2024-12-05 16:10:37.0
융합전공,AI융합대학 심층 전공 탐색을 위한 진로 프로그램 신청 안내,https://cvg.jnu.ac.kr/bbs/cvg/405/901883/artclView.do,"AI융합대학 심층 전공 탐색을 위한 진로 프로그램 공고◦ 프로그램명: [국립대학육성사업] 단과대학 맞춤형 진로 취업 역량 강화  직무썸네일_AI 분야 심층 전공 탐색을 위한 진로 프로그램 ◦ 심층 전공 탐색을 위한 유관 기관 및 기업 방문◦ 일시: 2024. 12. 26.(목) ~ 12. 29.(일)◦ 장소: 제주특별자치도 일대지원자격◦ 공고일 당시 기준 인공지능학부, 지능형모빌리티융합학과, 빅데이터융합학과 소속 2, 3학년 재학생 신분 (부 복수전공 불가)신청방법 및 유의사항◦ 지원자 접수 신청기간: 2024. 12. 04.(화)",2024-12-04 15:51:49.0
융합전공,"[공지]기말고사 시험기간 302호, 402호 강의실 , 스튜던트라운지 룸 1,2 열람 공지",https://cvg.jnu.ac.kr/bbs/cvg/405/901671/artclView.do,"안녕하세요, AI융합대학 학생 여러분!시험기간 동안 AI융합대학-302호, 402호 강의실, 스튜던트라운지 룸1,2 열람 공지 안내합니다.※ 302호, 402호 강의실 사용 정보 안내- 일시: 2024.12.11.(수) 18시~ 12.13.(금) 08시 - 일시: 2024.12.16.(월) 18시~ 12.20.(금) 08시- 일시: 2024.12.23.(월) 18시~ 12.24.(화) 08시- 토요일, 일요일, 공휴일은 폐쇄.- 매일 저녁 6시부터 다음날 아침 8시까지만 개방 ※ 예약은 따로 필요 없으며, 융합대학 학생이면 자유롭게",2024-12-02 16:04:57.0
