학부,제목,링크,내용,작성일
의과대학,재학생 대상 영어학습센터 동영상 수기 공모전 안내(2.5.~2.17.),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/907113/artclView.do,"언어교육원에서는 우리 대학 재학생의 자기주도학습 역량 강화를 통한 외국어 능력 함양을 위해 영어학습센터(English Learning Center)를 개설하여 영어학습지원 서비스를 제공하고 있습니다.위와 관련하여 영어학습센터(ELC) 동영상 수기 공모전 개최를 다음과 같이 안내하오니, 관심있는 재학생들의 많은 참여 바랍니다.가. 공모 주제: 1:1 코칭 서비스 및 영어학습 콘텐츠를 활용하는 방법나. 접수기간: '25. 2. 5.(수) ~ 2. 17.(월) 18:00다. 제출 방법     1) 전남대학교 언어교육원 홈페이지(https",2025-01-31 09:48:52.0
의과대학,2025학년도 1학기 수강신청 안내(2.14.~2.21.),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/906601/artclView.do,"2025학년도 1학기 수강신청을 아래와 같이 실시하오니, 참고하여 주세요.  - 수강신청 과목 예약 신청 : 2025. 2. 6.(목) ~ 2. 7.(금)  10:00 ~ 18:00 (학부생만 해당) -  우리대학 전공교과목은 굳이 필요없습니다.  - 수강신청    1. 대학원생 : 2025. 2.14.(금) ~ 2. 21.(금)  2. 1학년 : 2025. 2. 19.(수)        전필 2과목, 전선 1과목, 교필 수학 1, 의생명과학을위한컴퓨터과학적사고 포함 교양교과목 신청(최소 19학점 수강신청 권장)     ※ 신입생은",2025-01-21 09:05:51.0
의과대학,[1월 23일(목) 오전 10:30~12:00]  2024학년도 겨울방학 영어학습센터 재학생 대상 특강  안내(접수기간 : 1.14.~1.22.),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/906300/artclView.do,"언어교육원에서는 우리 대학 학부 재학생의 자기주도학습 역량 강화를 통한 외국어 능력 함양을 위해 특별강연을 진행합니다.    가. 주제: Speak Smarter, Not Harder: 영어 말하기, 맞춤형 전략찾기 로드맵    나. 강사: 박초아    다. 일시: 2025. 1. 23.(목), 오전 10:30~12:00    라. 방법: 온라인 특강(Zoom 활용)        ※ 입장코드는 신청자 대상 당일 송부 예정    마. 혜택: 무료 교육비 및 특강 만족도 조사 참여 시, 스타벅스 쿠폰 제공    바. 접수기간: 2025",2025-01-16 16:09:47.0
의과대학,2025학년도 전기(추가) 일반대학원 신입생 모집요강 안내,https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/905590/artclView.do,2025학년도 전기(추가) 일반대학원 입학전형 모집요강을 안내합니다.구   분일   정비 고인터넷원서접수'25. 1. 9.(목) 09:00 ~ 1. 15.(수) 18:00전남대 홈페이지전형일'25. 1. 24.(금)모집단위별 지정장소합격자발표'25. 2. 7.(금) 15:00 예정전남대 홈페이지등록기간'25. 2. 17.(월) 09:00 ~ 2. 19.(수) 16:00전남대 지정은행,2025-01-09 16:05:08.0
의과대학,2025학년도 제1학기 등록 안내(2.18.~2.21.16:00),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/905204/artclView.do,"우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이 안내합니다.    가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]    나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점        ※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들이 신청할 수 있도록 안내하여 주시기 바랍니다.    가. 신청기간: 2025. 1. 6.(월) ~",2025-01-07 13:46:50.0
의과대학,지역 내 혈액 확보를 위한 헌혈 행사 안내(1.6.(월) 10:00~16:30),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/904575/artclView.do,"광주 전남 지역 내 혈액 확보를 위한 헌혈 행사를 다음과 같이 안내합니다.가. 행사일시: 2025. 1. 6.(월) 10:00~16:30나. 혜택사항: 봉사시간(4시간), 군입대 가산점 인정 및 기념품 추가 지급다. 협조사항- 헌혈 참여자: 신분증 또는 학생증 지참- 장 소 : 인문대 3호관 카프리존 붙임  헌혈 안내문(2024년) 1부. 끝.",2025-01-02 08:47:04.0
의과대학,2025학년도 1학기 약무실습교수 공개채용 공고( ~ 1월 7일(화) 접수 마감),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/904531/artclView.do,,2024-12-31 14:42:37.0
의과대학,2024년 국립대학 육성사업 대학생 인권실태조사 실시(~12.31.),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/904310/artclView.do,,2024-12-27 09:14:02.0
의과대학,2024학년도 동계방학(1~2월) 전남대학교 리걸클리닉 법류지원단 운영 일정 안내,https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/903684/artclView.do,"전남대학교 구성원의 복지 향상을 위하여 무료로 운영 중인 전남대학교 법학전문대학원 리걸클리닉 법률지원단의 2024학년도 동계방학(1~2월) 운영 계획을 아래와 같이 안내합니다. 가. 지원대상: 전남대학교 교직원 및 그 가족, 학생나. 상담 및 자문내용: 법률자문이 필요한 학교업무 또는 개인업무다. 상담 및 자문참여자: 전남대학교 법학전문대학원 교수라. 일자 및 시간: 붙임문서 참조마. 장소: 대학본부 2층 법률지원단실    ※ 운영 시간 외의 법률상담신청은 법학전문대학원 리걸클리닉 전화, 메일, 방문을 통해 상시 가능",2024-12-19 11:37:26.0
의과대학,2025학년도 1학기 대학직장 예비군 전입신청 및 개인정보 수정 안내(2025.1.2.~),https://pharmacy.jnu.ac.kr/bbs/pharmacy/975/903671/artclView.do,"2025학년도 1학기 재학생 중 대학직장 예비군(전남대학교연대 소속)으로 편성되지 않은 학생은 예비군연대로 전입 신청 및 정확한 훈련 안내를 위하여 해당하는 학생은 개인 정보를 수정하여 주세요.가. 대상: 2025학년도 1학기 대학(원) 재학생[신입(재입학), 편입, 복학, 전과생 포함]    1) 신청 기간: 2025. 1. 2.(목) ~    2) 신청 절차: 전남대학교 포털 내 학사행정 예비군 예비군 전입 신청    3) 전입 신청 4~5일 경과 후 예비군 홈페이지에서 소속 부대 변경 여부 확인나. 소속 부대 확인 및 개인 정",2024-12-19 10:46:52.0
