학부,제목,링크,내용,작성일
사학과,[논문] 2025학년도 1학기 졸업논문작성계획서 제출 안내,https://history.jnu.ac.kr/bbs/history/1604/907252/artclView.do,"2025학년도 1학기 학부 졸업논문 작성 계획서 제출  학부졸업논문 계획서 제출,논문 발표,졸업논문 제출 관련 기준 및 서식(바로클릭) *제출기한: 2025년 2월 5일(수) ~ 3월 7일(금)*제출방법: 학과사무실로 제출 *기간 엄수 요망 *졸업논문은 사학과 졸업 내규로써, 사학과 주전공 및 복수전공자 해당 졸업요건입니다.부전공자는 미해당. ＊졸업논문작성계획서 제출 전 논문을 지도받고자 하는 교수님과 반드시 상의 및 허락을 받으셔야 합니다.",2025-02-03 10:54:50.0
사학과,[장학] 2025학년도 1학기 사학과 장학금[진리장학(등록금감면)] 신청서 제출 안내,https://history.jnu.ac.kr/bbs/history/1604/906898/artclView.do,2025학년도 1학기 사학과 장학금 신청서 제출 안내  사학과 장학금 신청서 관련 기준 및 서식 바로 가기(클릭 ) *제출기간: 2월 7일(금)까지*장소 및 제출 방법: shin1048@jnu.ac.kr로 제출*외국어성적은 직전년도 1월 이후 취득한 성적만 인정,2025-01-23 17:28:47.0
사학과,[교직] 2025학년도 상반기 교직 적성.인성 검사 실시 안내,https://history.jnu.ac.kr/bbs/history/1604/906859/artclView.do,"2025학년도 상반기 교직 적성.인성 검사 실시 안내2025학년도 상반기 교직 적성 인성검사를 실시하오니 대상 학생은 신청하여 검사를 받으시기 바랍니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면",2025-01-23 11:24:31.0
사학과,[학사] 2025학년도 1학기 사학과 수강신청 유의사항 안내,https://history.jnu.ac.kr/bbs/history/1604/906745/artclView.do,"2025학년도 1학기 사학과 수강신청 유의사항 안내2025학년도 1학기 사학과 수강신청 유의사항을 안내해드립니다.학생들께서는 참고하시어 원활히 수강신청 하시기 바랍니다.이번 학기부터 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영되오니, 확인하시기 바랍니다.아울러, 사학과 또는 다른 학과에 수강문의를 할 때에는 본인의 소속학과, 학번, 성명을 반드시 이야기하셔야 원활한 도움을 받을 수 있으니 유의하시기 바랍니다. *참고 수강신청 문의를 효율적으로 하는 방법에 관한 안내 학부공지사항- (jnu.ac.kr)  1.  역사교육과",2025-01-22 15:24:36.0
사학과,[장학] 2024학년도 느티나무 장학금 신청 안내,https://history.jnu.ac.kr/bbs/history/1604/906527/artclView.do,"2024학년도 느티나무 장학금 신청 안내 2024학년도 느티나무 장학을 다음과 같이 시행합니다.가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원다. 신청",2025-01-20 10:06:37.0
사학과,[졸업] 2024학년도 전기(2025년 2월) 졸업사정 실시 안내,https://history.jnu.ac.kr/bbs/history/1604/906177/artclView.do,"2024학년도 전기(2025년 2월) 졸업사정 실시 안내  2025년 2월 졸업대상자 관련 판정 결과 및 학적별 필요 제출 서류를 안내해드립니다.학생들께서는 안내사항을 확인하시고 본인 학사 일정에 맞춰 처리하시기 바랍니다. ※본인이 사정결과를 확인하지 않아 추후 졸업에 문제가 생길 시에 학과에서는 책임을 지지 않습니다.  첨부파일을 통해 확인해야할 사항 (개인정보 보호를 위해 성명 삭제, 학번으로 확인)  #9312; 졸업 대상자에서 누락되어있는지 확인#9313; 본인의 판정결과 확인1)졸업(수료) 판정결과가 ""졸업불가""인 경우-",2025-01-15 17:09:06.0
사학과,[학사] 2025학년도 사학과 전입 면접 일시 안내,https://history.jnu.ac.kr/bbs/history/1604/906077/artclView.do,2025학년도 사학과 전입 면접 일시 안내1. 일시 : 2025년 1월 21일(화) 오전 10시2. 면접대기실 : 인문대 1호관 210호 강의실※ 원활한 면접 진행을 위해 면접 시작 10분 전까지 면접 대기실로 입실하여 주시기 바랍니다.10시까지 면접대기실로 입실하지 않은 학생은 결시로 간주합니다.추가 문의는 사학과 사무실(062-530-3240)로 연락 바랍니다.,2025-01-14 14:50:52.0
사학과,[홍보] 5.18기념재단 2025년 제1차 채용 공고(1.13.~1.24.),https://history.jnu.ac.kr/bbs/history/1604/906015/artclView.do,5.18기념재단 2025년 제1차 채용 공고(1.13.~1.24.)2025년 제1차 채용 공고(25. 1. 13. ~ 25. 1. 24.) 읽기 : 알림/공고   알림 홍보 | 518,2025-01-14 09:34:22.0
사학과,[졸업] 2024학년도 전기(2025년 2월) 학부 졸업(수료) 유보 신청자 유보비 납부 안내(기간 변경),https://history.jnu.ac.kr/bbs/history/1604/905245/artclView.do,"2024학년도 전기(2025년 2월) 학부 졸업(수료) 유보 신청자 유보비 납부 안내(기간 변경)가. 유보비 납부기간: 2025. 1. 20.(월) 09:00~1. 22.(수) 16:00까지(추가 납부기간 없음)  ※ 등록금 미확정으로 인하여 유보비 납부 기간 변경 나. 납부은행 및 계좌: 광주은행(고지서에 기재된 본인의 가상계좌로 입금) 다. 고지서 발행(학생 개별 출력): 포털 등록 학부졸업(수료)유보 고지서 출력[2025.1.20.(월) 09:00부터]  ※  유보비 납부 기간 변경, 유보비 미납 시 유보신청 취소, 등록기간",2025-01-07 15:41:31.0
사학과,[등록] 2025학년도 제1학기 등록 안내,https://history.jnu.ac.kr/bbs/history/1604/905038/artclView.do,"2025학년도 제1학기 등록 안내우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이  안내합니다.가. 등록금고지서는 학생이 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부하여 주시기 바랍니다.1) 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]2) 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)나. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를",2025-01-06 15:59:53.0
사학과,[장학] 2025학년도 1학기 우선 선발 장학 대상자(법정장학 및 복지장학 등) 신청,https://history.jnu.ac.kr/bbs/history/1604/904845/artclView.do,2025학년도 1학기 우선 선발 장학 대상자(법정장학 및 복지장학 등) 신청 2025학년도 1학기 재학생 등록금 감면 우선 선발 장학생을 선발하고자 하오니 장학 대상자는 증빙서류를 2025. 1. 14.(화)까지 학과사무실로 제출하여 주시기 바랍니다.  법정장학   복지장학   특별장학 수혜자격 및 증빙서류 구 분수혜자격증빙 서류장학금비고국가유공장학(법정장학) 독립유공자예우에 관한 법률 등 관련 법령에 따른 법정 장학 대상자 중 직전 학기 평균평점이 1.75(실점 70점) 이상인 자※ 국가유공자 등 본인은 성적 제한 없음 교육지,2025-01-03 15:14:34.0
사학과,[취업] 천동마을 민주커뮤니티센터·윤상원 기념관 직원(연구원) 공개채용 공고,https://history.jnu.ac.kr/bbs/history/1604/904599/artclView.do,천동마을 민주커뮤니티센터 윤상원 기념관 직원(연구원) 공개채용 공고-채용방법 : 공개경쟁 채용시험-채용분야 : 연구원(교육홍보 부문)-채용인원 : 1명-문    의 : 062-951-2577(기획운영팀)-응시자격 및 기타 : 공고문 참조-붙    임 : 공고문 및 응시서류 각 1부.,2025-01-02 09:55:57.0
사학과,[교직] 2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내,https://history.jnu.ac.kr/bbs/history/1604/904598/artclView.do,"2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내2024학년도 전기 졸업 예정자(기 졸업자 중 교원자격취득 대상자 포함)에 대하여 교원자격증 취득을 위한 무시험검정을 실시 하오니, 해당자는 검정원서를 2025. 1. 8.(수)까지 제출하여 주시기 바랍니다.가. 제출대상: 2024학년도 전기(2025년 2월) 졸업 예정자, 기 졸업자 중 교원자격취득 대상자나. 제출서류1) 교원자격 무시험검정 신청자 명부[붙임2]2) 교원자격무시험검정원서[붙임3]   반드시 개정 된 원서로 제출 2022. 12. 13. 개정 3) 산업",2025-01-02 09:52:51.0
사학과,[수정][학사] 2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청 안내,https://history.jnu.ac.kr/bbs/history/1604/903805/artclView.do,2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청 안내2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적사항을  재학 으로 유지하고자 희망하는 학생은 졸업(수료) 유보를 신청하시기 바랍니다. □ 졸업(수료) 유보 신청 및 유보비 납부 □가. 유보 신청 기간 : 2024. 12. 12.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청기간 없음]나. 유보 학과(부) 확인 기한: 2025. 1. 6.(월)다. 유보비 납부기간[고지서 발행] : 2025. 1. 2,2024-12-20 11:01:37.0
사학과,[학사] 2025학년도 1학기 부.복수(연계) 등 취소 신청 및 이수자 선발 안내,https://history.jnu.ac.kr/bbs/history/1604/903798/artclView.do,"2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 신청 및 이수자 선발2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 신청 및 이수자 선발을 아래와 같이 시행합니다.업무 구분추진 일자비고비고공고2024. 12. 19.(목)공문시행 및 홈페이지 공고 취소 신청2025. 1. 2.(목) ~ 1. 6.(월)학생(직접 인터넷 신청)마이크로디그리는취소 신청, 승인절차 없음취소 승인2025. 1. 9.(목)본부 학사과   대학, 융합전공신청2025. 1. 15.(수) ~ 1. 17.(금)학생(직접 인터넷",2024-12-20 10:31:32.0
사학과,[학사] 2025학년도 1학기 휴.복학 신청 안내,https://history.jnu.ac.kr/bbs/history/1604/903796/artclView.do,2025학년도 제1학기 휴학 복학 신청 안내가. 휴학 신청 기간1) 일반휴학(등록): 2025. 2. 18.(화) ~ 4. 24.(목)2) 일반휴학(미등록): 2025. 2. 18.(화) ~ 2. 21.(금)나. 복학 신청 기간1) 조기복학: 2025. 1. 2.(목) ~ 2. 7.(금)2) 일반복학: 2025. 1. 2.(목) ~ 2. 21.(금)다. 휴학 복학 신청 방법 및 유의 사항: 붙임 안내문 참조,2024-12-20 10:24:12.0
사학과,[학사] 2024학년도 동계 계절학기 수강취소 기간 및 방법 안내,https://history.jnu.ac.kr/bbs/history/1604/902599/artclView.do,2024학년도 동계 계절학기 수강취소 기간 및 방법 안내가. 수강취소 기간 및 방법구분수강취소 기간환불 금액취소 방법개강 전수강취소2024. 12. 19.(목) 09:00～2024. 12. 20.(금) 18:00전액학생포털을 이용하여 학생 본인이 직접 전산 취소개강 후수강취소2024. 12. 26.(목) 09:00~ 2025. 1. 2.(목) 18:00수강료의 2/3환불2025. 1. 3.(금) 09:00～2025. 1. 6.(월) 18:00수강료의 1/2환불2025. 1. 6.(월) 18:00 이후 수강취소 및 환불 불가※ 수강취,2024-12-11 17:12:30.0
사학과,[기타] 2025학년도 1학기 학.석사학위연계과정 모집,https://history.jnu.ac.kr/bbs/history/1604/902402/artclView.do,2025학년도 1학기 학.석사학위연계과정 모집2025학년도 1학기 학부생 학 석사학위연계과정 모집을 붙임과 같이 안내합니다.아울러 연계과정자로 선발된 경우 학부연구생지원 장학금 신청이 가능하오니 관심 있는 많은 학생들이 지원할 수 있도록 홍보하여 주시기 바랍니다. ▢ 일정 및 지원절차 ▢구  분일  정절차 및 방법비  고지원서 접수 25. 1. 2.(목)~ 1. 10.(금)지원자 ⇨ 단과대학 행정실#9312;연계과정 지원서#9313;지원학과 지도예정교수 추천서#9314;성적확인서(*당해학기 포함)#9315;연구활동계획서합격자 안내,2024-12-10 16:03:51.0
사학과,[학사] 2024학년도 2학기 최종 수업평가 안내(수업평가 후 성적 열람 가능),https://history.jnu.ac.kr/bbs/history/1604/902400/artclView.do,2024학년도 2학기 최종 수업평가 안내2024학년도 2학기 최종 수업평가를 다음과 같이 실시함을 안내해드립니다.가. 학생 최종 수업평가1) 기간:  24. 12. 18.(수) ~  25. 1. 6.(월)2) 방법: 전남대학교포털 교육지원 내 학사행정 성적 수업평가 최종 수업평가※ 수강신청 전과목에 대한 수업평가를 완료해야 성적 열람 가능,2024-12-10 15:53:08.0
사학과,[교직] 2025학년도 교직과정이수자 학교현장실습 안내,https://history.jnu.ac.kr/bbs/history/1604/902175/artclView.do,"2025학년도 교직과정이수자 학교현장실습 안내2025학년도 교직과정이수자에 대한 학교현장실습을 다음과 같이 실시하오니 대상 학생은 기간에 맞춰 수강신청하여 주시고, 학교현장실습 동의서는 기한 내에 학과사무실로 제출하여 주시기 바랍니다.가. 학교현장실습 기간: 2025. 5. 6.(화) ~ 2025. 5. 30.(금)[4주간]나. 수강신청 교과목(교과목코드): 학교현장실습(EDU9004) ■ 다  음 ■1. 실습생 명단 제출학과(부)에서 작성 후 공문 제출(2025. 2. 19.(수)까지) 【붙임1】 문서 참조2. OT 참석 요청▫일",2024-12-09 16:35:13.0
