학부,제목,링크,내용,작성일
일어일문학과,2025학년도 1학기 수강신청 시행 계획 안내,https://china.jnu.ac.kr/bbs/china/1570/907004/artclView.do,"2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영되오니, 아래 공지를 확인해 주시기 바랍니다. 업무내용기간시간대상내용수강신청테스트 25.2.5.(수)10:00~12:00 학부 전 학년 공통 수강희망과목 예약 테스트14:00～18:00 수강신청 테스트※ 테스트 종료 후 신청 내역 일괄 삭제수강희망과목예약 신청'25.2.6.(목)~2.7.(금)10:00～18:00 학부 전 학년 공통 학부생만 해당(대학원생 제외) 수강희망과목 예약을 했더라도 수강신청이",2025-01-24 17:34:09.0
일어일문학과,2025학년도 상반기 교직 적성·인성 검사 실시 안내,https://china.jnu.ac.kr/bbs/china/1570/907003/artclView.do,"2025학년도 상반기 교직 적성 인성 검사 실시 안내 2025학년도 상반기 교직 적성 인성검사를 실시하오니 해당 학생은 기한 내 신청 바랍니다. 가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)마. 준비물: 신분증(주민등록증, 운전면허증,",2025-01-24 17:31:04.0
일어일문학과,2024학년도 전기(2025년 2월) 학부 졸업사정 안내,https://china.jnu.ac.kr/bbs/china/1570/906046/artclView.do,"2024학년도 전기(2025년 2월) 학부 졸업(수료)예정자에 대한 졸업사정을 아래와 같이 실시하니 해당 학생은 본인의 졸업사정을 검토 해 주시고 졸업자격인정기준(전공, 외국어, 컴퓨터 영역)의 각 영역에 대한 제출서류를 기한 내 제출해 주시기 바랍니다.가. 졸업사정 제출기한: 2025년 1월 23일(목)나. 졸업사정 제출자료 *입학년도 별로 제출자료가 상이하니 반드시 본인의 입학년도 졸업자격 인정기준을 확인 한 후 자료 제출(학부-학사안내) 1) 전공영역: HSK6급 사본 2) 외국어영역: 영어 공인자격증 사본 또는 HSK 5급",2025-01-14 11:43:41.0
일어일문학과,2025 하계 중국 Huanzhong University of Science and Technology 사전 모집(~1. 17.금),https://china.jnu.ac.kr/bbs/china/1570/905700/artclView.do,"2025 하계 중국 Huanzhong University of Science and Technology 사전 모집(~1. 17.금)1. 지원서 접수: 2025. 1. 3.(금) ~ 1. 17.(금) 18:00시까지2. 온라인 지원서: 국제협력과 홈페이지-Outbound Programs-방학단기파견-Application- 프로그램 선택 :  활동계확 작성시, 참가 희망 프로그램에 Metaverse 또는 AI Robot 기입 요망!  3. 합격자 발표: 2025. 1. 21.(화) 17:00시4. 합격자 오리엔테이션: 추후 공지- 공지",2025-01-10 17:00:57.0
일어일문학과,2024학년도 전기(2025년 2월) 학부 졸업(수료) 유보 신청자 및 유보비 납부 안내,https://china.jnu.ac.kr/bbs/china/1570/905699/artclView.do,"2024학년도 전기(2025년 2월) 졸업(수료) 유보 신청자 및 유보비 납부 대상자를 붙임과 같이 안내합니다.  가. 유보비 납부 대상: 409명(수료유보 204명, 졸업유보 205명)※ 향후 졸업사정 결과에 따라 위 인원은 변동될 수 있음나. 유보비 납부기간: 2025. 1. 20.(월) 09:00~1. 22.(수) 16:00까지(추가 납부기간 없음) ※ 등록금 미확정으로 인하여 유보비 납부 기간 변경다. 납부은행 및 계좌: 광주은행(고지서에 기재된 본인의 가상계좌로 입금)라. 고지서 발행(학생 개별 출력): 포털 등록 학부졸업",2025-01-10 16:59:17.0
일어일문학과,2025학년도 제1학기 등록 안내,https://china.jnu.ac.kr/bbs/china/1570/905227/artclView.do,"우리 대학 학사업무 추진 일정에 따라 2025학년도 1학기 등록 공고문을 붙임과 같이  안내드립니다. 등록금고지서는 학생이 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부하시기 바랍니다. 1) 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]2) 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)나. 학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영하니 희망하는 학생들이 기한 내 신청",2025-01-07 14:40:59.0
일어일문학과,2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내,https://china.jnu.ac.kr/bbs/china/1570/904468/artclView.do,"2024학년도 전기 졸업 예정자(기 졸업자 중 교원자격취득 대상자 포함)에 대하여 교원자격증 취득을 위한 무시험검정을 실시 하오니, 해당 학생은 검정원서를 2025. 1. 8.(수)까지 제출하여 주시기 바랍니다.가. 제출대상: 2024학년도 전기(2025년 2월) 졸업 예정자, 기 졸업자 중 교원자격취득 대상자나. 제출서류1) 교원자격 무시험검정 신청자 명부[붙임2]2) 교원자격무시험검정원서[붙임3]   반드시 개정 된 원서로 제출 2022. 12. 13. 개정 3) 산업체현장실습이수증(공업계학과 대상자)4) 면허증 사본(원본대조필",2024-12-30 15:48:54.0
일어일문학과,2025학년도 제1학기 휴학·복학 신청 안내,https://china.jnu.ac.kr/bbs/china/1570/904264/artclView.do,2025학년도 제1학기 휴학 복학 신청에 대한 안내문을 아래와 같이 공지드립니다.가. 휴학 신청 기간1) 일반휴학(등록): 2025. 2. 18.(화) ~ 4. 24.(목)2) 일반휴학(미등록): 2025. 2. 18.(화) ~ 2. 21.(금)나. 복학 신청 기간1) 조기복학: 2025. 1. 2.(목) ~ 2. 7.(금)2) 일반복학: 2025. 1. 2.(목) ~ 2. 21.(금)다. 휴학 복학 신청 방법 및 유의 사항: 붙임 안내문 참조※ 학사과 담당자: 구민지(T1050) 붙임 2025학년도 제1학기 휴학 복학 신청 안내,2024-12-26 13:49:49.0
일어일문학과,"2025학년도 1학기 부·복수(연계)·융합전공, 마이크로디그리 취소 신청 및 이수자 선발 안내",https://china.jnu.ac.kr/bbs/china/1570/904259/artclView.do,"2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 신청 및 이수자 선발을 아래와 같이 시행합니다업무 구분추진 일자비고비고취소 신청2025. 1. 2.(목) ~ 1. 6.(월)학생(직접 인터넷 신청)마이크로디그리는취소 신청, 승인절차 없음취소자 명단 제출2025. 1. 8.(수)까지대학, 융합전공   본부 학사과취소 승인2025. 1. 9.(목)본부 학사과   대학, 융합전공신청2025. 1. 15.(수) ~ 1. 17.(금)학생(직접 인터넷 신청) 신청자 사정 및 선발2025. 1. 23.(목)대학, 융합전공마이",2024-12-26 12:55:07.0
일어일문학과,2025학년도 1학기 학부 및 대학원 재입학 실시 안내,https://china.jnu.ac.kr/bbs/china/1570/904257/artclView.do,2025학년도 1학기 학부 및 대학원 재입학 실시에 대해 알려드리니 재입학 희망학생은 아래 일정에 따라 원서를 제출해 주시기 바랍니다.가. 세부 일정업무명일정비고재입학 원서접수2025. 1. 2.(목) ~ 1. 8.(수)학생   학과(부)대상자 내신2025. 1. 9.(목) ~ 1. 15.(수)학과(부)   단과대학재입학 허가2025. 1. 27.(월)대학 홈페이지 공지(본부)나. 재입학 대상자 및 제외자대상자제외자학부생대학원생◦미복학 미등록 학사경고 제적자 및 자퇴자◦학칙 제30조 4항에 해당하는 학생활동 제적자 ◦유급 및 징계에,2024-12-26 12:51:17.0
