학부,제목,링크,내용,작성일
전기공학과,2025학년도 신입생 오리엔테이션 안내,https://elec.jnu.ac.kr/bbs/elec/1204/907296/artclView.do,-일시: 2025.02.06.(목) 오후 2시 ~ -장소: 공6-516호   **첨부 수강지도 참조,2025-02-03 17:08:40.0
전기공학과,2025학년도 편입학(일반/학사)전형 지원자 안내문,https://elec.jnu.ac.kr/bbs/elec/1204/906984/artclView.do,"전남대 전기공학과 편입전형 안내편입전형 당일 면접에 앞서 전공 시험을 치릅니다.(필기도구, 지우개 별도 지참 / 계산기:카시오 전자계산기 공학용 fx-570MS 배포)ㅇ분야: 회로이론, 전자기학 중심으로ㅇ시험시간: 오전반 09:00~10:00(60분) / 오후반 13:00~14:00(60분)** 오후반 입실 후 오전반 퇴실",2025-01-24 15:44:48.0
전기공학과,2024학년도 느티나무 장학금 신청 안내,https://elec.jnu.ac.kr/bbs/elec/1204/906318/artclView.do,"1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자- 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자- 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원다. 신청 및 장학금 지급1) 신청기간: 2025. 1. 15.(수) 9:00 ~ 1. 31.(금) 18:002) 신청방법: 전남대포털에 직접 신청- [전남대포털]-[학사행정]-[장학]-[",2025-01-16 17:34:38.0
전기공학과,2025학년도 한국전력공사 전기공학전공 장학생 후보자 추천,https://elec.jnu.ac.kr/bbs/elec/1204/904692/artclView.do,2025. 1. 10.(금)까지 추천( 1.9.(목)까지 추천서류 학과사무실 제출)가. 추천인원: 전기공학과 학부생 8명 (*최종 선발인원의 2배수 추천)나. 장학금 지원유형: 1인당 등록금전액 및 학습보조금(학기당 50만원) / 1년 지원 ※ 교내 외 등록금성 장학금 이중수혜 불가다. 추천대상- 전기공학전공 3~4학년(졸업 잔여학기 4학기 이내)으로 全학년 성적 평균 B학점(백분율 환산 80점) 이상인 재학생※ 기 선발자는  25년도 후보자로 지원 불가 ※ 편입생의 경우 전 대학성적을 현 대학성적으로 환산 후 제출(학과장 확인서,2025-01-02 16:08:15.0
전기공학과,2025년 Power Engineering School Winter Camp(31기) 참가 학생 추천,https://elec.jnu.ac.kr/bbs/elec/1204/904476/artclView.do,"2025. 1. 23.(목)까지 추천 서류 학과사무실 제출가. 교육일정: 2025. 2. 18.(화) ~ 2. 21.(금), 3박 4일나. 교육장소: 한국전력기술 본사(경북 김천시)다. 교육과목: 원자력발전설계 및 신재생/복합화력발전 설계 등(붙임2 참조)라. 추천기준- 학년: 2~4학년 재학생- 학과: 전공 제한없음- 학점: 전 학기까지 100점 환산 80점 이상인 학생- 기타: 캠프 기 참가자 제외마. 추천인원: 학과별 2명 이내바. 선발기준: 학과(부)별 추천인원 취합 후, 학점 상위, 고학년 순으로 최종참가인원 선정사. 제출",2024-12-30 16:44:42.0
전기공학과,2025학년도 1학기 학과 장학금(등록금재원 성적우수장학금) 신청서 제출 안내(직전학기 총 이수 학점이 12학점 이상 이수 필수),https://elec.jnu.ac.kr/bbs/elec/1204/904366/artclView.do,전기공학과 장학금(등록금재원 성적우수장학금) 신청서 및 기타 증빙서류를2025년 1월 15일(수) 오후6시까지 학과사무실로 제출하시기 바랍니다.  ※ 장학금 신청서 미제출자는 장학사정에서 제외됨.    □ 제출기간 : 2025.1.15(수) 오후 6시까지  □ 제출장소 : 전기공학과 사무실(공6-505호) □ 제출서류 1. 전기공학과 장학금 신청서 1부.(첨부자료) 2. 공인영어 성적표 1부. 3. 자기계발활동기록부 1부.    ** 2024년 전남대학교 폭력예방교육 교육 이수확인증 제출,2024-12-27 18:00:38.0
전기공학과,2024학년도 전기(2025년 2월) 학부 졸업사정 및 유보 신청 안내,https://elec.jnu.ac.kr/bbs/elec/1204/904273/artclView.do,"**공학인증 졸업예정자 포트폴리오 제출: ~2025.1.10.(금)까지 (자기계발활동기록부 ,성적증명서, 전공세미나 참석 보고서, 종합설계 보고서 첨부)**졸업자격인정기준 확인(2019학번부터 외국어영역 증빙자료 제출:~2025.1.10.(금)까지)□ 졸업(수료) 유보 신청 및 유보비 납부 □가. 유보 신청 기간:2024. 12. 124.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청 기간 없음]나. 유보 학과(부) 확인 기간: 2025. 1. 6.(월)다. 유보비 납부 기간[고지서 발행]:2025. 1. 8.(수)",2024-12-26 14:36:03.0
전기공학과,"전자기학2, 고전압대전류공학 성적 정정기간 공고",https://elec.jnu.ac.kr/bbs/elec/1204/904101/artclView.do,"전자기학2, 고전압대전류공학 성적 정정기간 공고 12월 26일(목), 27일(금) : 오전 10시~ 오후3시 장소: 공6-509호 교수연구실 기타문의: 530-1740",2024-12-24 09:50:26.0
전기공학과,「2024년 하반기 1차 도전장학(미래) 선발 계획」 공고,https://elec.jnu.ac.kr/bbs/elec/1204/903725/artclView.do,"1. 장학생 선발가. 자격: 2025년 2월 학사과정 졸업예정자로서 2025학년도 전기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원※ 단, 지원액은 가용예산 범위에 따라 다소 변동 가능함다. 제출서류대상제출 서류제출 기한제출처지원신청자◦ 도전장학(미래) 지원신청서[별지 제1호 서식] ※ 붙임 참조2024. 12. 26.(목)학과 사무실라. 선발자 명단 송",2024-12-19 15:43:44.0
전기공학과,2025학년도 1학기 수업시간표,https://elec.jnu.ac.kr/bbs/elec/1204/903687/artclView.do,,2024-12-19 11:56:44.0
전기공학과,2024학년도 동계 계절학기 수강취소 안내,https://elec.jnu.ac.kr/bbs/elec/1204/902915/artclView.do,2024학년도 동계 계절학기 수강취소 안내 2024학년도 동계 계절학기 수강취소에 관한 사항을 다음과 같이 안내합니다. 1. 취소기간구분수강취소 기간환불금액취소 방법개강 전수강취소2024. 12. 19.(목) 09:00～2024. 12. 20.(금) 18:00전액학생포털을 이용하여 학생 본인이 직접 전산 취소개강 후수강취소2024. 12. 26.(목) 09:00~ 2025. 1. 2.(목) 18:00수강료의 2/3환불2025. 1. 3.(금) 09:00～ 2025. 1. 6.(월) 18:00수강료의 1/2환불2025. 1. 6.(월,2024-12-16 09:34:55.0
전기공학과,「기말고사 응원 간편식나눔 이벤트」 안내,https://elec.jnu.ac.kr/bbs/elec/1204/902914/artclView.do,"가. 제공기간: 2024. 12. 17.(화) ~ 12. 20.(금) [4일간]나. 배부 장소 및 시간 - 매일 10:00~11:00[1시간] / 도서관별관 1층, 공대7호관 1층 로비, 진리관 2층 로비다. 이용대상: 재학생(학부 및 대학원생)라. 제공메뉴: 떡(3개인 1세트), 식혜 1인당 각 1개 제공마. 이용방법 및 유의사항- 지정장소에서 학생 인적사항 서명부에 자필 기재 후 수령※ 재학생 확인을 위하여 학생증(모바일 학생증 포함) 제시- 일별 1인 1회 수령 가능하며, 당일 1학생식당  천원의 아침밥 기 이용학생은 중복 이",2024-12-16 09:26:07.0
전기공학과,전기공학프로그램 공학인증 종료 안내,https://elec.jnu.ac.kr/bbs/elec/1204/902694/artclView.do,소속전남대학교대학공과대학학과(부)전기공학과프로그램 명전기공학프로그램중단 유형인증종료종료 시점2026.2.28.** 인증 유효기간은 인증종료 시점부터 즉시 상실되므로 소속이 공학인증(Y)인 경우 2026년 2월 졸업 必    2026년 2월 졸업이 불가할 경우 일반공학프로그램 신청서 제출,2024-12-12 14:59:36.0
전기공학과,2025학년도 마이크로디그리 추가 개설(변경) 안내,https://elec.jnu.ac.kr/bbs/elec/1204/902692/artclView.do,25학년도 마이크로디그리 추가 개설(신설 9건) 및 변경(1건) 승인 내역가  25학년도 마이크로디그리 추가 개설 : 신설 9건 1. 사물지능(AIoT) 마이크로디그리마이크로디그리 명칭사물지능(AIoT)(Microdegree on AIoT)신청구분■ 신설 □ 변경 □ 폐지주관학과(전공)전기컴퓨터공학부 (컴퓨터공학전공)참여학과 (해당시)인공지능학부개설 사유인공지능 및 사물인터넷에 대한 융・복합 역량을 갖춘 미래 인재 양성이수기준편성 교과목(6과목) 중 12학점(4과목) 이수연번편성학과교과구분교과목코드교과목명학점시간학년학기이론실습,2024-12-12 14:42:30.0
전기공학과,2025학년도 1학기 교양교과목 편성 목록 변경 추가 알림,https://elec.jnu.ac.kr/bbs/elec/1204/902691/artclView.do,2024학년도 2학기 교양 교육과정 수시 개편 결과를 반영한 2025학년도 1학기 교양교과목 편성 목록을 변경하여 알려드립니다.※ 변경 사항:  라이프아카데미: 오두막 1 2  2건 폐지,2024-12-12 14:39:01.0
전기공학과,『이공계 연구생활장려금(Stipend)사업 공청회(호남권)』 개최 안내,https://elec.jnu.ac.kr/bbs/elec/1204/902664/artclView.do,"가. 개요:  25년 시행예정인 이공계 연구생활장려금(한국형 Stipend)사업 추진방향에 대한 대학현장의 이해도 제고 및 의견 청취나. 일시: 2024. 12. 23.(월) 14:00~15:30다. 장소: 전북대학교 진수당 77주년 기념홀(1층)라. 대상: 이공계 대학원생, 연구책임자, 연구원, 행정직원 등3. 세부 일정구분시간프로그램비고114:00~14:05(5 )공청회 안내 214:05~14:10(5 )인사말 314:10~14:30(20 )이공계 연구생활장려금 지원 방향 414:30~15:20(50 )현장 의견수렴 615:20",2024-12-12 10:18:01.0
전기공학과,2024학년도 2학기 기말고사 응원 「이천원의 저녁밥」 이용 안내,https://elec.jnu.ac.kr/bbs/elec/1204/902432/artclView.do,"가. 제공기간: 2024. 12. 10.(화) ~ 12. 23.(월) [주중(월~금)]나. 이용장소 및 이용시간- 제1학생마루 17:00 ~ 19:00 / 햇들마루 식당 17:30 ~ 19:00다. 이용대상: 재학생(학부,대학원)라. 식 단 가: 5,000원(학생 2,000원, 대학 자체 지원금 3,000원)마. 식권구입가격: 2,000원바. 식권구입방법: 전남대스토어 앱 실행/천원의 아침밥 이천원 저녁밥 클릭/조식 석식 선택※ 조식 석식코드는 당일 식당에 게시※ 전남대스토어 앱을 통하여 코드 등록한 경우만 이용가능하며, 수기 접수",2024-12-10 16:59:53.0
전기공학과,2024학년도 2학기 응원장학생 선발 안내,https://elec.jnu.ac.kr/bbs/elec/1204/902430/artclView.do,"가. 지원대상: 학부 재학생 중 가계곤란 등의 사유로 등록금 지원이 필요한 자1) 소득분위 0~1분위: 국가장학금, 법정장학(국가유공 및 북한이탈), 복지장학 등 지원 자격 미달*로 인해 장학금 지원을 받지 못한 경우* 성적 및 이수학점 조건 미충족, 국가장학금 수혜횟수(8회) 초과자, 국장 신청기간 미준수 등2) 최근 1년 이내 부모의 폐업, 실직 등으로 인한 긴급 가계곤란 사유가 발생한 경우나. 지원규모: 가계곤란 정도에 따라 예산 범위 내에서 차등 지원가계곤란 정도장학명장학금액비 고상응원장학1등록금 전액(수업료1+수업료2) 2",2024-12-10 16:58:14.0
전기공학과,2025학년도 1학기 학·석사학위연계과정 및 학·석박사학위통합연계과정자 모집,https://elec.jnu.ac.kr/bbs/elec/1204/902424/artclView.do,"25. 1. 17.(금)까지 제출▢ 일정 및 지원절차 ▢구  분일  정절차 및 방법비  고지원서 접수 25. 1. 2.(목)~ 1. 10.(금)지원자 ⇨ 단과대학 행정실#9312;연계과정 지원서#9313;지원학과 지도예정교수 추천서#9314;성적확인서(*당해학기 포함)#9315;연구활동계획서전형(심사) 25. 1. 13.(월)~ 1. 16.(목)대학원 모집단위별 시행 결과제출 25. 1. 17.(금)까지대학 ⇨ 대학원사정내역부, 회의록, 지원서류 등(PDF 공문제출)※ 원본 대학자체 보관합격자 안내 25. 1. 27.(월)예정대학원",2024-12-10 16:51:58.0
