학부,제목,링크,내용,작성일
조경학과,2024학년도 『전공 관련 자격증 응시료 지원 사업』 3차 시행 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/907187/artclView.do,우리 대학 학생들의 전공 능력 향상과 취업 경쟁력을 강화하기 위하여 『전공 관련 자격증 응시료 지원 사업』을 다음과 같이 시행합니다. 1. 사 업 명: 전공 관련 자격증 응시료 지원 사업2. 사업대상: 3~4학년 학부 및 대학원 재학생3. 추진일정구분신청 기간비고3차 25. 02. 03.(월) 14:00 ~  25. 02. 07.(금) 선착순※ 예산 소진 시 조기 사업 종료농2-125(취업지원실)  붙임  전공 관련 자격증 응시료 지원 사업 계획서 1부. 끝.,2025-02-01 20:30:00.0
조경학과,2024학년도 『공인 외국어 응시료 지원 사업』 3차 시행 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/907186/artclView.do,우리 대학 학생들의 국제 경쟁력 강화 및 취업 경쟁력을 강화하기 위하여 『공인 외국어 응시료 지원 사업』을 다음과 같이 안내 합니다.1. 사 업 명: 공인 외국어 응시료 지원 사업2. 사업대상: 농생대 학부 및 대학원 재학생3. 추진일정시험 응시일 24. 02. 01.(목) ~  25. 01. 31.(금) 구분신청 기간비고3차 25. 02. 03.(월) 14:00 ~  25. 02. 07.(금)농2-125  붙임  공인 외국어 응시료 지원 사업 계획서 1부. 끝.,2025-02-01 20:28:38.0
조경학과,2025학년도 1학기 국가장학금 2차 신청 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/907185/artclView.do,"2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내합니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생* 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00- 서류제출 및 가구원 정보제공 동의 기간:  '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감   ※ 여수캠퍼스 학생:  전남대학교(본교)  선택 후 본인 소속학",2025-02-01 20:25:31.0
조경학과,2025년도 지역인재 7급 수습직원 추천 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/905901/artclView.do,"2025년 지역인재 7급 수습직원 추천자 선발을 아래와 같이 추진 하오니 많은 참여 바랍니다.가. 추천인원: 12명나. 지원자격- 졸업자(2022년 1월 이후 졸업자), 졸업예정자(2026년 2월까지 졸업가능, 2024년 2학기까지 3/4이상 학점이수자, 편입생은 4학기 이수자)- 지원당시 학과 석차 10%이내, 토익기준 700점이상(2020.1.1.이후), 한국사 2급 이상 취득자다. 추천자 선발 일정내용일시비고공지 25. 1. 8.(수)대학홈페이지, 공문 등서류 접수(온라인) 25. 1. 9.(목) ~ 1. 14.(화)취업진로포",2025-01-13 14:25:46.0
조경학과,2025학년도 2학기 해외 파견 교환학생 선발 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/905895/artclView.do,"가. 파견대학 및 선발 예정인원: 23개국 59개교 177명- 이 중 22개국 48개 대학은 대학원생 지원 가능 (엑셀파일에 별도 표기됨)- 일본, 중국은 2차 모집 시 지원 가능나. 파견기간: 2025년 7월 ~ 2026년 5월 중 (한 학기 또는 1년 파견)다. 추진일정1) 모집공고 및 신청서 접수:-1차:  25. 1. 6.(월) ~ 1. 20.(월)-2차:  25. 2. 17.(월) ~ 3. 4.(화)2) 선발시험(외국어 구술 및 면접):  25. 1. 22.(수)3) 합격자 발표:  25. 1. 23.(목)4) 오리엔테이션",2025-01-13 14:04:51.0
조경학과,2025학년도 1학기 등록 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/905142/artclView.do,"안녕하세요.전남대학교 조경학과입니다.2025학년도 1학기 등록 안내 드립니다.고지서는 학생이 직접 우리 대학교 홈페이지 또는 전남대 포털에서 출력하여 납부 가능 하며, 내용은 아래와 같습니다.가. 등록기간: 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]나. 등록장소: 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점※ 등록금고지서는 우편 발송되지 않음(분할납부도 발송안됨)학생들의 등록금 부담을 완화하기 위하여 등록금 분할납부제도를 운영가. 신청기간: 2025. 1. 6.(월) ~ 2.",2025-01-07 09:27:33.0
조경학과,2025학년도 1학기 우선 선발 장학 대상자(법정장학 및 복지장학 등) 제출 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/904944/artclView.do,2025학년도 1학기 재학생 등록금 감면 우선 선발 장학생을 선발하고자 하오니 1/13(월) 까지 해당사항이 있는 학생들은 증빙서류를 학과사무실로 제출하시기 바랍니다.  법정장학   복지장학   특별장학 수혜자격 및 증빙서류 구 분수혜자격증빙 서류장학금비고국가유공장학(법정장학) 독립유공자예우에 관한 법률 등 관련 법령에 따른 법정 장학 대상자 중 직전 학기 평균평점이 1.75(실점 70점) 이상인 자※ 국가유공자 등 본인은 성적 제한 없음 교육지원대상자증명서(본인) 또는 대학수업료등 면제대상자증명서(자녀) 1부※ 기수혜자는 신청,2025-01-06 10:22:12.0
조경학과,2025학년도 1학기 대학원 저소득층(창조) 장학금 신청 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/904602/artclView.do,2025학년도 1학기 대학원 저소득층(창조) 장학금과 관련하여 다음과 같이 안내합니다. 저소득층 장학금 주요 사항    가. 신청 자격:  25학년도 1학기 등록 예정자로 '24학년도 2학기 성적이 평균평점 2.25(실점 75점) 이상인 자 중 저소득층 장학생 선발 기준에 해당하는 재학생 [붙임1 참고]나. 선발 장학 종류 (일반대학원생은 창조장학4만 선발)- 창조장학1: 등록금 전액- 창조장학2: 수업료2 전액- 창조장학3: 수업료2 반액- 창조장학4: 수업료1다. 신청 및 서류 제출기간: 2025. 1. 10.(금) ~ 1. 1,2025-01-02 10:03:02.0
조경학과,2025학년도 1학기 타 대학교(서울대 학부 및 대학원) 교류학생 신청 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/904587/artclView.do,아래와 같이 2025학년도 1학기 타 대학교(서울대 학부 및 대학원) 교류학생 신청을 안내 합니다.가. 지원자격1) 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)2) 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)3) 학칙에 의거 징계받은 사실이 없는 자4) 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)나. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한선발결과개설교과목 열람비  고서울대(학부 및 대학원)2025.01.07.(화)18:00까지*,2025-01-02 09:44:29.0
조경학과,2024학년도 『공인 외국어 응시료 지원 사업』 시행 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/904412/artclView.do,우리 대학 학생들의 국제 경쟁력 강화 및 취업 경쟁력을 강화하기 위하여 『공인 외국어 응시료 지원 사업』을 다음과 같이 안내 합니다. 1. 사 업 명: 공인 외국어 응시료 지원 사업2. 사업대상: 농생대 학부 및 대학원 재학생3. 추진일정시험 응시일 24. 02. 01.(목) ~  25. 01. 31.(금) 구분신청 기간비고2차 25. 01. 02.(목) 14:00 ~  25. 01. 10.(금)농2-1253차 25. 02. 03.(월) 14:00 ~  25. 02. 07.(금)   붙임  공인 외국어 응시료 지원 사업 계획서 1부,2024-12-30 09:59:23.0
조경학과,2024학년도 『농업직 공무원 시험 온라인 강좌 수강 지원』 사업 운영 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/904411/artclView.do,취업 선호도가 높은 공무원시험 합격률 향상을 위하여 2024학년도 『농업직 공무원 시험 온라인 강좌 수강 지원』 사업을 다음과 같이 안내 합니다. 1. 프로그램 개요가. 모집기간: 2024.12.30.(월)~2025.01.03.(금)나. 학생선발: 2025.01.06.(월)~2025.01.07.(화)다. 오리엔테이션: 2025.01.08.(수) 17:00 / 온라인(줌)라. 운영기간: 2025.01.09.(목)~2025.02.28.(금)마. 지원대상: 3~4학년 학부생 및 대학원생바. 모집인원: 40명 이내 선발사. 선발방법: 평가,2024-12-30 09:57:56.0
조경학과,「2024년 하반기 1차 도전장학(미래) 선발 계획」 공고 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/903744/artclView.do,"장학생 선발가. 자격: 2025년 2월 학사과정 졸업예정자로서 2025학년도 전기 우리 대학교 일반대학원에 진학하려는 자 (학.석사연계과정생도 지원 가능)※ 직전학기 성적 평균평점 2.5이상 (전남대학교 장학규정 제3조(장학생의 자격))나. 장학금: 인문사회계열 1,700천원, 자연예체능계열 2,300천원※ 단, 지원액은 가용예산 범위에 따라 다소 변동 가능함다. 제출서류대상제출 서류제출 기한제출처지원신청자◦ 도전장학(미래) 지원신청서[별지 제1호 서식] ※ 붙임 참조2024. 12. 26.(목)학과 사무실학과(부)◦ 도전장학(미",2024-12-19 16:32:22.0
조경학과,2024학년도 전기(2025년 2월) 학부 졸업(수료)대상자 유보 신청 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/903743/artclView.do,2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적사항을  재학 으로 유지하고자 희망하는 학생은 아래 사항을 확인하시기 바랍니다.□ 졸업(수료) 유보 신청 및 유보비 납부 □가. 유보 신청 기간 : 2024. 12. 12.(목) ~ 2025. 1. 2.(목) 18:00까지 [추가 신청기간 없음]나. 유보 학과(부) 확인 기한: 2025. 1. 6.(월)다. 유보비 납부기간[고지서 발행] : 2025. 1. 8.(수) ~ 1. 10.(금) 16:00까지 [추가 납부기간 없음]※ 고지서 발행(학,2024-12-19 16:29:26.0
조경학과,"2025학년도 1학기 부·복수(연계)·융합전공, 마이크로디그리 취소 신청 및 이수자 선발 안내",https://jnula.jnu.ac.kr/bbs/jnula/655/903641/artclView.do,"1. 관련 근거가. 전남대학교 학칙 제50조(복수전공 등)나. 전남대학교 교학규정 제13조(복수전공 부전공)다. 전남대학교 복수전공 이수에 관한 규정라. 전남대학교 부 복수 연계전공 이수에 관한 지침바. 전남대학교 융합전공 운영 지침사. 전남대학교 융합전공 이수에 관한 시행 세칙아. 전남대학교 마이크로디그리 운영 지침자. 학사과-14043(2024.11.21.) 「2025학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 선발 인원 및 기준 확인 요청」차. 학사과-14967(2024.12.17.)2. 2025학년도 1학기 부 복",2024-12-19 09:05:31.0
조경학과,[운해장학재단] 2025년도 제12기 운해장학생 선발 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/901388/artclView.do,"운해장학재단 2025년도 제12기 운해장학생 선발 관련 안내를 아래와 같이 합니다.가. 추천인원: 이공계 학부재학생 5명(최종 선발인원은 아님, 재단에서 최종 확정)나. 장학금액: 800만원/1년(학기당 400만원, 학업장려금)다. 지원자격-  24학년도 2학기 현재 1~3학년 학부재학생 ※ 5 6년제 전공을 하는 경우는 4학년생 신청 가능-  24학년도 1학기 평균평점이 4.0 이상인 학생 ※ 해당학기 성적 미산출자(휴학생 등)는 신청 불가-  25학년도 1학기 성적증명서 및 2학기 등록서류를 제출할 수 없는 경우, 신청 불가※",2024-11-28 14:12:57.0
조경학과,2024학년도 『공인 외국어 응시료 지원 사업』 시행 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/901371/artclView.do,우리 대학 학생들의 국제 경쟁력 강화 및 취업 경쟁력을 강화하기 위하여 『공인 외국어 응시료 지원 사업』을 다음과 같이 시행하오니 많은 학생들이 신청할 수 있도록 홍보하여 주시기 바랍니다. 1. 사 업 명: 공인 외국어 응시료 지원 사업2. 사업대상: 농생대 학부 및 대학원 재학생3. 추진일정시험 응시일 24. 02. 01.(목) ~  25. 01. 31.(금) 구분신청 기간비고1차 24. 12. 02.(월) 14:00 ~  24. 12. 13.(금)농2-1252차 25. 01. 02.(목) 14:00 ~  25. 01. 10.(금,2024-11-28 09:54:20.0
조경학과,2024학년도 『전공 관련 자격증 응시료 지원 사업』 시행 안내,https://jnula.jnu.ac.kr/bbs/jnula/655/901370/artclView.do,우리 대학 학생들의 전공 능력 향상과 취업 경쟁력을 강화하기 위하여 『전공 관련 자격증 응시료 지원 사업』을 다음과 같이 시행하오니 많은 학생들이 신청할 수 있도록 홍보하여 주시기 바랍니다. 1. 사 업 명: 전공 관련 자격증 응시료 지원 사업2. 사업대상: 3~4학년 학부 및 대학원 재학생3. 사업기간구분모집 기간비고1차 24. 12. 02.(월) 14:00 ~  24. 12. 13.(금)농2-125(취업지원실)※ 예산 소진 시조기 사업 종료2차 25. 01. 02.(목) 14:00 ~  25. 01. 10.(금)3차 25. 02,2024-11-28 09:52:23.0
