학부,제목,링크,내용,작성일
지능실감미디어융합전공,2024학년도 1학기 교과구분정정신청 안내,https://media.jnu.ac.kr/bbs/media/2762/872932/artclView.do,"2024학년도 1학기 교과구분정정신청 안내휴 복학에 따른 교육과정 적용년도 변경, 부 복수전공 선발, 모집단위간 이동(전과) 및 국내 타대학 교류로 인한 교과구분이 상이한 학생에 대하여 교과구분 정정 신청을 실시합니다.교육과정 적용 기준: 당초 입학년도 교육과정 적용, 단, 학적변동(복학, 재입학)으로 입학년도 교육과정 적용이 어려울 경우 복학하는 학년도의 소속학년 학생이 입학했던 당시의 교육과정으로 변경 할 수 있음주전공 관련 교과는 주전공 학과(부)로 신청부, 복수전공 관련 교과목 각각 부,복수전공 학과(부)로 신청붙임 파일(서",2024-03-18 11:53:52.0
지능실감미디어융합전공,"[학사안내]2024학년도 1학기 부·복수(연계)·융합전공, 마이크로디그리 취소 및 신청 안내 공고",https://media.jnu.ac.kr/bbs/media/2762/866993/artclView.do,"2024학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 및 신청 안내 공고2024학년도 1학기 부 복수(연계) 융합전공, 마이크로디그리 취소 및 신청을 아래와 같이 실시하오니 해당 일정에 따라 신청하시기 바랍니다.1. 부 복수(연계) 융합전공 이수 취소 신청  - 신청기간: 2024. 1. 3.(수) ~ 1. 5.(금)  - 신청방법: 전남대 포털 신청2. 부 복수(연계) 융합전공, 마이크로디그리* 이수 신청  - 신청기간: 2024. 1. 15.(월) ~ 1. 17.(수)  - 신청방법: 전남대 포털 신청  - 선발자",2024-01-09 13:00:31.0
지능실감미디어융합전공,(특강) 게임개발을 위한 전문가 특강(12/7),https://media.jnu.ac.kr/bbs/media/2762/863784/artclView.do,"AI융합대학 지능실감미디어융합전공과 소프트웨어중심대학사업단은 게임개발 분야 전문가를 초청하여 세미나를 진행합니다.1. 일시: 2023년 12월 7일(목) 13시 30분2. 강의장소: Zoom 온라인 (https://jnu-ac-kr.zoom.us/j/84753127147)3. 연사: 송승호 이사(넷마블 엔투)4. 주제: 국내외 게임산업동향-상업, 플랫폼, 장르, 서비스, 개발자 측면에서의 국내외 게임산업 동향-현재 게임 업계의 당면한 문제와 미래 발전 전략-게임 개발 전문가를 위한 조언",2023-12-03 16:28:49.0
지능실감미디어융합전공,2023 뉴스빅데이터 해커톤 참가자 모집,https://media.jnu.ac.kr/bbs/media/2762/858410/artclView.do,한국언론진흥재단에서는 생성형 AI 기술과 뉴스빅데이터를 결합한 새로운 사업 모델 및 공공서비스 발굴을 위하여  2023 뉴스빅데이터 해커톤 을 개최합니다. 창의적인 아이디어를 가진 분들의 많은 지원 바랍니다. 1. 대회 개요o 대회목적: 뉴스빅데이터의 사회적 활용도를 높이고 국민 편익 향상에 기여함o 대회내용: 생성형 AI 기술과 뉴스빅데이터를 결합한 서비스 발굴 공모대회o 참가주제- (사업부문) 뉴스빅데이터를 활용하여 사업화할 수 있는 서비스 개발- (공공부문) 뉴스빅데이터를 활용하여 사회문제와 관련된 공공서비스 개발o 참가대상:,2023-10-13 09:45:27.0
지능실감미디어융합전공,「삼성 청년 SW 아카데미」11기 교육생 모집홍보,https://media.jnu.ac.kr/bbs/media/2762/858404/artclView.do,"삼성 청년 SW 아카데미(Samsung Software Academy For Youth, SSAFY)는삼성의 SW 교육 경험과 고용노동부의 취업지원 노하우를 바탕으로,취업 준비생에게 SW 역량 향상 교육 및 다양한 취업지원 서비스를 제공하여취업에 성공하도록 돕는 프로그램입니다.'삼성 청년 SW 아카데미'에서 11기 교육생을 모집합니다.    ★ 모집기간 : 2023년 10월 23일(월) ~ 11월 6일(월) ★",2023-10-13 09:39:46.0
지능실감미디어융합전공,[언어교육원]2023학년도 5차 외국어강좌 안내,https://media.jnu.ac.kr/bbs/media/2762/858399/artclView.do,▶외국어강좌 접수https://lec.jnu.ac.kr/▶공인영어시험대비반 접수(토익 / 토익스피킹 / 모의토익)https://www.gtcprogram.com/jnu/index.php?M=enrolment,2023-10-13 09:35:20.0
지능실감미디어융합전공,FuriosaAI 해커톤 홍보,https://media.jnu.ac.kr/bbs/media/2762/858396/artclView.do,https://furiosa-aihackathon.imweb.me/index,2023-10-13 09:32:37.0
지능실감미디어융합전공,(재)유한재단 장학생 신청 안내 (08.10.목. 18:00까지),https://media.jnu.ac.kr/bbs/media/2762/852865/artclView.do,2023학년도 2학기 (재)유한재단 장학금 신청안내선  발   인  원: 1명장학금 지원유형: 학업보조비(생활비)선발기준  아래 3가지 기준을 모두 충족하는 자- 직전학기 12학점 이상 수강- 결손 가정 / 다문화 가정의 재학생- 소득분위 0~5분위※ 2023학년 2학기 타장학재단 장학금과 중복수혜 불가 제출서류1. 성적증명서2. 결손 / 다문화 가정을 증빙할 수 있는 서류  (가족관계증명서 및 주민등록초본)3. 소득분위증명서 (한국장학재단)4. 개인정보이용동의서(붙임파일)신청기간2023. 08. 10.(목) 18:00까지 AI융합,2023-08-03 09:32:46.0
지능실감미디어융합전공,[학사안내]2023학년도 제2학기 등록 공고,https://media.jnu.ac.kr/bbs/media/2762/850916/artclView.do,"2023학년도 제2학기 등록금 납부를 다음과 같이 공고하오니 등록에 차질 없으시기 바랍니다. 1. 기 간 : 2023. 8. 22.(화) ~ 8. 25.(금) 16:00까지 [4일간]2. 장 소 : 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점3. 등록금 분할납부 방법가. 신청대상: 경제사정으로 정해진 기간내에 등록금 전액 납부가 어려워 분할납부하고자 하는 학생[신청제외자: 학부 및 대학원 신입생, 전액 장학금 수혜자, 미등록 휴학예정자, 수업연한초과자]나. 신청기간 : 2023. 7. 3.(월) ～ 7. 28",2023-07-06 09:29:56.0
지능실감미디어융합전공,2023학년도 2학기 휴학·복학 신청 안내,https://media.jnu.ac.kr/bbs/media/2762/849181/artclView.do,2023학년도 제2학기 휴학 복학 신청 안내  Ⅰ 휴학1. 신청 기간휴학 종류신청 기간대상자일반휴학(등록)2023. 8. 22.(화) ~ 10. 30.(월)  등록금 납부 후 휴학을 원하는 자일반휴학(미등록)2023. 8. 22.(화) ~ 8. 25.(금)  등록금 납부하지 않고 휴학을 원하는 자※ 등록 기간 내에만 휴학 신청 가능휴학연장2023. 8. 22.(화) ~ 8. 25.(금)  휴학 만료일이 2023. 8. 31.까지인 자군휴학(복무신고)입영일 한 달 전 ~ 입영일  학기 중에 군입대하는 학생 중 미등록으로 군휴학을,2023-06-16 11:57:39.0
