학부,제목,링크,내용,작성일
지능형모빌리티융합학과,[편입학] 2025학년도 편입학 면접 안내,https://mobility.jnu.ac.kr/bbs/imob/69/906999/artclView.do,"2025학년도 편입학 면접 안내 ■ 전형일시: 2025.2.4.(화) 09:00~■ 지능형모빌리티융합학과 면접장소 : AI융합대학 204호 (면접 대기실: AI융합대학 210호) ■ 지능형모빌리티융합학과 면접 일정- 07:40~08:30: 면접 전 대기실에 입실- 09:00~ : 면접진행■ 편입 면접 관련 제시문 활용 방법☞ 지능형모빌리티융합학과 제시문 활용 면접 진행대학적용모집단위제시문 활용 방법필기시험 없이 미리 공고한 제시어 내에서 질문AI융합대학지능형모빌리티융합학과전공 기초교과목(공학수학, 고체역학, 전기회로, 전자회로, 동",2025-01-24 16:53:32.0
지능형모빌리티융합학과,[졸업유보비] 졸업유보비 납부일 변경 안내,https://mobility.jnu.ac.kr/bbs/imob/69/905717/artclView.do,졸업유보비 납부기간이 아래와 같이 변동되었으니 착오없으시 바랍니다.유보비 납부기간: 2025. 1.20.(월) ~ 1.22.(수) 16:00,2025-01-10 19:51:25.0
지능형모빌리티융합학과,[현장실습] 2025학년도 1학기 현장실습학기제 안내,https://mobility.jnu.ac.kr/bbs/imob/69/905716/artclView.do,2025학년도 1학기 현장실습학기제 안내가. 교과명: 2025학년도 1학기 현장실습학기제나. 추진일정1) 실습기업(관) 신청기간: 2025. 01. 20.(월) ~ 02. 07.(금)2) 학생 신청기간: 2025. 02. 10.(월) ~ 02. 21.(금)3) 현장실습 기간: 2025. 03. 04.(화) ~ 2025. 07. 10.(목)붙임. 2025학년도 1학기 현장실습학기제 운영 계획 1부. 끝.,2025-01-10 19:50:40.0
지능형모빌리티융합학과,[등록] 2025학년도 제1학기 등록 (2.18.~2.21.)공고 및 분할납부 신청(1.6.~2.3.) 안내,https://mobility.jnu.ac.kr/bbs/imob/69/905715/artclView.do,,2025-01-10 19:48:51.0
지능형모빌리티융합학과,[모빌리티시스템엔지니어링 연구실] 학부 인턴 모집(지도교수:이천환),https://mobility.jnu.ac.kr/bbs/imob/69/905581/artclView.do,"1. 모집대상- 25학년도 기준, 학부 3학년 혹은 4학년 과정 학생- 제어공학 및 차량 시스템 엔지니어링, 차량 제어 분야에 관심이 있는 학생2. 인턴 주제※ 연구실 홈페이지(https://sites.google.com/view/mse-lab) 참고3. 신청 및 절차- 신청 기간 : 상시모집(인원에 따른 조기 마감 가능)- 신청 : 이메일 (chunhwan@jnu.ac.kr)(이천환 교수)- 관련문의 : 이메일 (kingbs0549@jnu.ac.kr)(김부성 연구원)- 선정 : 개별 면담 후 선정 접수양식 (이메일)메일제목: [학",2025-01-09 14:40:29.0
지능형모빌리티융합학과,[전과] 2025학년도 제1학기 모집단위간이동(전과) 실시 안내,https://mobility.jnu.ac.kr/bbs/imob/69/904392/artclView.do,2025학년도 제1학기 모집단위간이동(전과) 실시 안내,2024-12-29 13:36:44.0
지능형모빌리티융합학과,(~25.1.4.)[모빌리티제어연구실] 학부 인턴 모집(지도교수:문철우),https://mobility.jnu.ac.kr/bbs/imob/69/904391/artclView.do,"지능형모빌리티융합학과 모션제어연구실에서 학부연구생(인턴)을 모집합니다. 모집대상25학년도 기준, 학부3학년 혹은 4학년생차량동역학 및 제어공학 분야에 관심이 있는 학생배우고자하는 열정이 있는 학생대학원 진학 희망자 우대하며,4학년생은  모션제어연구실  대학원 진학 희망자를 대상으로 함 신청 및 절차신청기간: 2024. 12. 30(월) 12:00 ~ 2025. 1. 4(토) 13:00신청: 이메일 접수 ( cwmoon@jnu.ac.kr)선정: 이메일 접수   개별면담 후 선정이메일 접수 (접수양식은 하단 참조) 후 개별면담 접수양식",2024-12-29 13:19:01.0
지능형모빌리티융합학과,(~25.1.4.)인공지능모빌리티연구실] 학부 인턴 모집(지도교수:김찬수),https://mobility.jnu.ac.kr/bbs/imob/69/904390/artclView.do,"전남대학교 인공지능모빌리티연구실에서 인턴을 모집합니다. 1. 인턴 주제- 딥러닝 이론 스터디 및 컴퓨터비전 프로젝트 수행- 자율주행을 위한 상태추정 이론 스터디 및 SLAM 프로젝트 수행 2. 커리큘럼1) 딥러닝구분내용기간이론딥러닝 이론 스터디3주실습딥러닝 실습Multi-layer perceptron, Docker, PyTorch, Image classification 등1주프로젝트인식 모델 논문 및 코드 스터디Object detection / Semantic segmentation2주개별/팀별 프로젝트모델개선 / 리팩토링 / RO",2024-12-29 13:16:29.0
지능형모빌리티융합학과,[장학](~25.1.14.(화)2025학년도 한국지도자육성장학재단 장학생 선발 안내,https://mobility.jnu.ac.kr/bbs/imob/69/904206/artclView.do,2025학년도 한국지도자육성장학재단 장학생 선발 관련 선발요건에 적격한 학생들의 많은 신청바랍니다.,2024-12-24 20:01:55.0
지능형모빌리티융합학과,[휴.복학] 2025학년도 제1학기 휴학·복학 신청 안내,https://mobility.jnu.ac.kr/bbs/imob/69/903627/artclView.do,"휴학(군휴학 포함) 신청시지도교수님과의 상담 필수입니다. 지도교수님과의 상담 시 붙임파일(휴학신청서)에 서명 받으셔서 학부사무실로 제출 하시면확인 후, 휴학 승인 해드립니다. 지도교수 메일 상담 후 해당 메일로도 휴학신청서 갈음 가능관련 메일 dhdkfks@jnu.ac.kr로 제출문의: 062-530-4205",2024-12-18 20:45:16.0
