학부,제목,링크,내용,작성일
지리학과,2025학년도 2학기 해외 파견 교환학생 선발 홍보 요청,https://geo.jnu.ac.kr/bbs/geo/1868/906198/artclView.do,,2025-01-15 17:51:29.0
지리학과,2025학년도 1학기 타 대학교(전북대 일반대학원) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906197/artclView.do,,2025-01-15 17:51:13.0
지리학과,2025학년도 1학기 타 대학교(부산대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906196/artclView.do,,2025-01-15 17:50:46.0
지리학과,2025학년도 1학기 타 대학교(한국교원대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906195/artclView.do,,2025-01-15 17:50:22.0
지리학과,2025학년도 1학기 타 대학교(광주과학기술원) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906194/artclView.do,,2025-01-15 17:49:58.0
지리학과,2025학년도 1학기 타 대학교(서울시립대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906193/artclView.do,,2025-01-15 17:49:26.0
지리학과,2025학년도 1학기 타 대학교(동국대 서울캠퍼스) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906192/artclView.do,,2025-01-15 17:49:01.0
지리학과,2025학년도 1학기 타 대학교(경상국립대학교) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906191/artclView.do,,2025-01-15 17:48:33.0
지리학과,2025학년도 1학기 타 대학교(중앙대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906190/artclView.do,,2025-01-15 17:47:51.0
지리학과,2025학년도 1학기 타 대학교(울산대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906189/artclView.do,,2025-01-15 17:47:27.0
지리학과,2025학년도 1학기 타 대학교(한국예술종합학교) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906188/artclView.do,,2025-01-15 17:46:59.0
지리학과,2025학년도 1학기 타 대학교(강원대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906187/artclView.do,,2025-01-15 17:46:17.0
지리학과,2025학년도 1학기 타 대학교(고려대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906186/artclView.do,,2025-01-15 17:45:48.0
지리학과,2025학년도 1학기 타 대학교(전북대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906185/artclView.do,,2025-01-15 17:45:10.0
지리학과,2025학년도 1학기 타 대학교(서울시립대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906184/artclView.do,,2025-01-15 17:44:36.0
지리학과,2025학년도 1학기 타 대학교(충남대학교) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906183/artclView.do,,2025-01-15 17:44:00.0
지리학과,2025학년도 1학기 타 대학교(충북대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906182/artclView.do,,2025-01-15 17:42:50.0
지리학과,2025학년도 1학기 타 대학교(제주대) 교류학생 추천 안내,https://geo.jnu.ac.kr/bbs/geo/1868/906181/artclView.do,,2025-01-15 17:42:15.0
지리학과,전남대학교 지리학과 교육공무원(조교) 공개채용 공고,https://geo.jnu.ac.kr/bbs/geo/1868/906180/artclView.do,"전남대학교 사회과학대학 지리학과에서 교육‧연구 및 학사 행정업무를 성실하게 수행할 교육공무원(조교)을아래와 같이 공개채용하오니 많은 지원 바랍니다.가. 모집분야 및 인원모집분야: 지리학과 행정 조교모집인원: 1명나. 주요 업무- 학과 행정 지원 업무(교무, 학사, 입학, 장학 등)- 학과 행사 및 운영 지원- 기타 학과에서 진행하는 일다. 지원 자격○ 공무원 임용에 결격 사유가 없는 자○ 남자인 경우 병역 필 또는 면제자○ 학사학위 이상 소지자○ 합격자 발표 후 즉시 근무 가능한 자○ 우대사항- 관련학과 졸업자라. 접수 안내가. 접",2025-01-15 17:41:30.0
지리학과,2024학년도 국립대학 육성사업 대학생 인권실태조사 온라인 설문 조사 홍보 및 안내 협조 요청(기간 연장),https://geo.jnu.ac.kr/bbs/geo/1868/905293/artclView.do,,2025-01-07 17:57:42.0
지리학과,[대학원] 2025학년도 전기(추가) 일반대학원 신입생 모집요강 안내 및 홍보 협조 요청,https://geo.jnu.ac.kr/bbs/geo/1868/905292/artclView.do,,2025-01-07 17:57:16.0
지리학과,2025학년도 1학기 현장실습학기제 안내 및 협조 요청,https://geo.jnu.ac.kr/bbs/geo/1868/905291/artclView.do,,2025-01-07 17:56:42.0
지리학과,2025 월드프렌즈코리아 KOICA-NGO봉사단 해외봉사 단원 모집 홍보 협조 요청의 건,https://geo.jnu.ac.kr/bbs/geo/1868/905290/artclView.do,,2025-01-07 17:56:09.0
지리학과,2025학년도 1학기 우선 선발 장학 대상자(법정장학 및 복지장학 등) 제출 요청,https://geo.jnu.ac.kr/bbs/geo/1868/905289/artclView.do,,2025-01-07 17:55:38.0
지리학과,「남구 학교 밖 청소년지원센터 운영」 교육봉사자 모집 안내,https://geo.jnu.ac.kr/bbs/geo/1868/905288/artclView.do,,2025-01-07 17:55:08.0
지리학과,[대학원]2025학년도 1학기 대학원 저소득층(창조) 장학금 신청 안내,https://geo.jnu.ac.kr/bbs/geo/1868/905287/artclView.do,,2025-01-07 17:54:45.0
지리학과,[대학원]2024학년도 대학원 핵심역량 교과·비교과 공모전 개최 안내,https://geo.jnu.ac.kr/bbs/geo/1868/905286/artclView.do,,2025-01-07 17:54:15.0
지리학과,2025년 상반기 글로벌과정 ICT학점연계 프로젝트 인턴십 학생 모집 안내,https://geo.jnu.ac.kr/bbs/geo/1868/905284/artclView.do,,2025-01-07 17:53:47.0
지리학과,2025학년도 1학기 대학직장 예비군 전입 신청 및 개인 정보 수정 안내,https://geo.jnu.ac.kr/bbs/geo/1868/905282/artclView.do,,2025-01-07 17:53:18.0
지리학과,[대학원] 2025학년도 제1학기 대학원 학위과정 변경(석사 → 석·박사통합) 실시 안내,https://geo.jnu.ac.kr/bbs/geo/1868/903501/artclView.do,,2024-12-18 15:13:36.0
지리학과,[대학원]2025학년도 제1학기 대학원 부전공(이수·취소) 신청 안내,https://geo.jnu.ac.kr/bbs/geo/1868/903500/artclView.do,,2024-12-18 15:13:02.0
지리학과,「2024년 하반기 1차 도전장학(미래) 선발 계획」 공고 안내,https://geo.jnu.ac.kr/bbs/geo/1868/903499/artclView.do,,2024-12-18 15:12:34.0
지리학과,2025년 삼성드림클래스 대학생멘토 모집 안내,https://geo.jnu.ac.kr/bbs/geo/1868/903497/artclView.do,,2024-12-18 15:12:11.0
지리학과,2024학년도 사회과학대학 공직양성 장학생 추천 요청,https://geo.jnu.ac.kr/bbs/geo/1868/903495/artclView.do,,2024-12-18 15:11:46.0
지리학과,미래에셋증권 체험형인턴 안내 및 지원자 추천 협조 요청,https://geo.jnu.ac.kr/bbs/geo/1868/903494/artclView.do,,2024-12-18 15:11:19.0
지리학과,「[제1회 ZYXCAD 경진대회] 전통을 설계하다」 홍보 협조 요청,https://geo.jnu.ac.kr/bbs/geo/1868/903492/artclView.do,,2024-12-18 15:10:43.0
지리학과,2025학년도 1학기 교양교과목 편성 목록 변경 추가 알림,https://geo.jnu.ac.kr/bbs/geo/1868/903490/artclView.do,,2024-12-18 15:10:18.0
지리학과,2025학년도 한국지도자육성장학재단 장학생 선발 안내,https://geo.jnu.ac.kr/bbs/geo/1868/903459/artclView.do,,2024-12-18 14:04:42.0
지리학과,2025학년도 1학기 학·석사학위연계과정 및 학·석박사학위통합연계과정자 모집,https://geo.jnu.ac.kr/bbs/geo/1868/903458/artclView.do,,2024-12-18 14:04:19.0
지리학과,2024학년도 2학기 응원장학생 선발 안내,https://geo.jnu.ac.kr/bbs/geo/1868/902317/artclView.do,,2024-12-10 11:36:47.0
지리학과,2025학년도 1학기 1차 국가근로장학금 학생 신청 기간 안내,https://geo.jnu.ac.kr/bbs/geo/1868/900774/artclView.do,,2024-11-20 17:37:21.0
지리학과,2024학년도 동계 계절학기 대체교과목 신청 안내,https://geo.jnu.ac.kr/bbs/geo/1868/900773/artclView.do,,2024-11-20 17:32:29.0
지리학과,관정이종환교육재단 2025학년도 국내대학 장학생 선발 안내,https://geo.jnu.ac.kr/bbs/geo/1868/900772/artclView.do,,2024-11-20 17:31:43.0
지리학과,제3회 지리학과 후원회 장학금 결선자 명단,https://geo.jnu.ac.kr/bbs/geo/1868/900308/artclView.do,유의사항을 꼭 확인해주시기 바랍니다!,2024-11-15 15:39:54.0
지리학과,2024학년도 2학기 도전장학생(비상) 선발계획,https://geo.jnu.ac.kr/bbs/geo/1868/898582/artclView.do,,2024-10-23 18:57:05.0
지리학과,[대학원]2024학년도 유일한 장학생(대학원생) 선발 안내,https://geo.jnu.ac.kr/bbs/geo/1868/897920/artclView.do,,2024-10-16 17:00:52.0
지리학과,2024년 (재)빛고을장학재단 학업장려 장학생 신청 안내,https://geo.jnu.ac.kr/bbs/geo/1868/897837/artclView.do,10월 251일 월요일 오후3시까지 제출해주시기 바랍니다.,2024-10-16 10:05:28.0
지리학과,제3회 지리학과 후원회 장학금 경진대회,https://geo.jnu.ac.kr/bbs/geo/1868/897416/artclView.do,"제3회 지리학과 후원회 장학금 경진대회 올해 지리인의 날에 제3회 지리학과 후원회 장학금 경진대회가 열립니다. 도전해보고 싶은 주제에 대해 발표를 하고 그 중 우수한 학생을 선발하여 장학금을 전달할 계획입니다. 많은 참여 바랍니다. 특히, 올해는 학생들의 많은 참여를 유도하기 위해 무작위 추첨을 통하여 약 100만원 상당의 기념품을 제공할 예정입니다. ▶주요 일정 (2024년)- 11월 6일(수) 오후 5시까지: 발표자료 (PPT) 제출 마감 (제출처: 학과실 조교), 기한 엄수- 11월 15일(금) 오후 4시: 예선 합격자 발표",2024-10-11 10:35:30.0
지리학과,2024학년도 미래성장 장학생 선발 안내,https://geo.jnu.ac.kr/bbs/geo/1868/895912/artclView.do,,2024-09-20 17:53:31.0
지리학과,[대학원]Admission Ambassadors Recruitment for International Graduate Student Application Form(Eng),https://geo.jnu.ac.kr/bbs/geo/1868/895123/artclView.do,Please check the attached file for more details.,2024-09-11 10:27:24.0
지리학과,2024학년도 CNU전공-나눔연계 국외봉사 단원 모집,https://geo.jnu.ac.kr/bbs/geo/1868/893659/artclView.do,"지원서 양식은 2024년+국제자원활동+공고문 파일에 포함되어있으며, 2024년 동게 국제워크캠프 모집 공고문 파일에 포함되어있는 동의서도 함께 제출하여야 합니다.",2024-08-29 11:08:32.0
지리학과,2024학년도 2학기 「외국인 대학원 신입생 정착도우미(버디)」 선발 안내,https://geo.jnu.ac.kr/bbs/geo/1868/892721/artclView.do,,2024-08-21 09:18:24.0
