학부,제목,링크,내용,작성일
지역·바이오시스템공학과,2025학년도 1학기 우선 선발 장학 대상자(법정장학 및 복지장학 등)  안내,https://rbe.jnu.ac.kr/bbs/rbe/447/904851/artclView.do,2025학년도 1학기 우선 선발 장학 대상자(법정장학 및 복지장학 등)  안내2025학년도 1학기 재학생 등록금 감면 우선 선발 장학생을 선발하고자 하오니 각 대학(원)에서는 장학 대상자 명단[붙임1] 및 증빙서류를 2025. 1. 13(월)까지 제출하여 주시기 바랍니다.  법정장학   복지장학   특별장학 수혜자격 및 증빙서류 구 분수혜자격증빙 서류장학금비고국가유공장학(법정장학) 독립유공자예우에 관한 법률 등 관련 법령에 따른 법정 장학 대상자 중 직전 학기 평균평점이 1.75(실점 70점) 이상인 자※ 국가유공자 등 본인은 성,2025-01-03 15:36:00.0
지역·바이오시스템공학과,2024학년도 『공인 외국어 응시료 지원 사업』 시행 안내,https://rbe.jnu.ac.kr/bbs/rbe/447/904847/artclView.do,2024학년도 『공인 외국어 응시료 지원 사업』 시행 안내우리 대학 학생들의 국제 경쟁력 강화 및 취업 경쟁력을 강화하기 위하여 『공인 외국어 응시료 지원 사업』을 다음과 같이 시행하오니 많은 학생들이 신청 바랍니다.  1. 사 업 명: 공인 외국어 응시료 지원 사업2. 사업대상: 농생대 학부 및 대학원 재학생3. 추진일정시험 응시일 24. 02. 01.(목) ~  25. 01. 31.(금) 구분신청 기간비고2차 25. 01. 02.(목) 14:00 ~  25. 01. 10.(금)농2-1253차 25. 02. 03.(월) 14:00,2025-01-03 15:19:15.0
지역·바이오시스템공학과,2024학년도 전기(2025년 2월 졸업예정) 석·박사 학위논문 제출 안내,https://rbe.jnu.ac.kr/bbs/rbe/447/904563/artclView.do,"2024학년도 전기(2025년 2월 졸업예정) 석 박사 학위논문 제출 안내2024학년도 전기(2025년 2월 졸업예정) 석 박사학위 수여예정자의 학위논문 파일 등재 및 인쇄본 접수를 다음과 같이 안내드립니다. 가. 학위논문 파일 등재※ 문의: 도서관 홈페이지(게시판 글쓰기)1) 등재기간: 2025. 1. 2.(목) ~ 1. 10.(금)(기간 이후 추가 등재 및 수정 불가)2) 등재방법: 도서관 홈페이지의 학위논문관리시스템 이용(붙임 2~4. 학위논문 파일 작성 및 제출 방법 숙지)※ 논문 공개여부는 공개가 원칙(특허, 계속연구, 기",2024-12-31 17:59:51.0
지역·바이오시스템공학과,"2025년 상반기 외국어, 종합시험 실시 및 면제처리 시행 계획 안내",https://rbe.jnu.ac.kr/bbs/rbe/447/904562/artclView.do,"2025년 상반기 외국어, 종합시험 실시 및 면제처리 시행 계획 안내2025년 상반기 일반대학원 외국어 종합시험 실시 및 면제처리 시행 계획을 다음과 같이 안내드리오니 해당자께서는 기한 내에 해당서류를 제출 부탁드립니다. * 면제신청: 2025. 1. 2.(목) ~ 1. 7.(화)* 면제자 발표: 2025. 1. 20.(월) 예정* 외국어 및 종합시험 신청: 2025. 1. 2. (목) ~ 1 . 7.(화)* 종합시험: 2025. 1. 22.(수) * 외국어시험: 2025. 1. 23.(목) 09:30~ * 신청서 및 면제서류 제출",2024-12-31 17:55:01.0
지역·바이오시스템공학과,학부 졸업논문 실험실 선호도 신청 안내(~25년 1월 1일까지),https://rbe.jnu.ac.kr/bbs/rbe/447/904180/artclView.do,학부 졸업논문 실험실 선호도 신청 안내농업생명과학대학 지역 바이오시스템공학과에서는 학부 졸업자격 인정기준 전공영역(졸업논문) 작성을 위한 실험실 선호도 신청을 아래와 같이 진행합니다.* 신청기간: 25년 1월 1일 (자정까지)* 신청방법: 첨부된 자료의 QR코드로 구글폼을 활용하여 선호하는 실험실 3곳을 신청* 선정방법: 학생들의 선호도를 우선적으로 반영하나 실험실 균등배분을 위해 선호 실험실에 배정되지 않을 수 있음* 배정안내: 1월 중 안내신청 기간 내 졸업논문 작성을 위한 실험실 배정을 완료하여 주시기 바랍니다. 감사합니다.,2024-12-24 17:08:04.0
지역·바이오시스템공학과,[축 합격] 2024년도 한국농어촌공사,https://rbe.jnu.ac.kr/bbs/rbe/447/902985/artclView.do,"[축 합격] 2024년도 한국농어촌공사 (학사18) 김서영 졸업생 (학사19) 김경 졸업생 (학사18) 유우진 재학생 (학사19) 김경섭 재학생 (학사21) 김인혜 재학생2024년도 한국농어촌공사 합격을 진심으로 축하드리며, 귀하의 건승을 기원합니다.  -지역 바이오시스템공학과-",2024-12-16 16:39:00.0
지역·바이오시스템공학과,2025학년도 1학기 기준 교양 교육과정 편성 현황 안내,https://rbe.jnu.ac.kr/bbs/rbe/447/902709/artclView.do,2025학년도 1학기 기준 교양 교육과정 편성 현황 안내25학년도 1학기 기준 교양 교육과정 편성 현황(기존 교양 교육과정 비교 및 교과목별 교양 이수 영역 지정)을 알려드리니 교양교과목 수강에 참고하시기 바랍니다.,2024-12-12 16:34:57.0
지역·바이오시스템공학과,2025학년도 1학기 학·석사학위연계과정 및 학·석박사학위통합연계과정자 모집,https://rbe.jnu.ac.kr/bbs/rbe/447/902708/artclView.do,2025학년도 1학기 학 석사학위연계과정 및 학 석박사학위통합연계과정자 모집2025학년도 1학기 학부생 학 석사학위연계과정 및 학 석박사학위통합연계과정자 모집을 붙임과 같이 안내합니다. (연계과정자로 선발된 경우 학부연구생지원 장학금 신청)▢ 일정 및 지원절차 ▢구  분일  정절차 및 방법비  고지원서 접수 25. 1. 2.(목)~ 1. 10.(금)지원자 ⇨ 단과대학 행정실#9312;연계과정 지원서#9313;지원학과 지도예정교수 추천서#9314;성적확인서(*당해학기 포함)#9315;연구활동계획서전형(심사) 25. 1. 13.(월)~,2024-12-12 16:30:53.0
지역·바이오시스템공학과,2024학년도 전기(2025년 2월 졸업예정) 석·박사학위청구논문 심사 결과 제출 안내,https://rbe.jnu.ac.kr/bbs/rbe/447/902536/artclView.do,"2024학년도 전기(2025년 2월 졸업예정) 석 박사학위청구논문 심사 결과 제출 안내2024학년도 전기(2025년 2월 졸업예정) 석‧박사학위청구논문 심사대상자(2024학년도 전기 신청자 및 2023학년도 후기 유보자)의 논문 심사결과를 2024. 12. 18.(수)까지 제출하여 주시기 바랍니다.* 제출서류박사학위과정석사학위과정기타(해당자)【학과, 위원(장)】#9312; 위원별 심사결과(붙임 1)#9313; 논문공개발표 결과보고서 1부#9314; 승낙서 1부#9315; 심사결과표 1부#9316; 심사요지서 1부#9317; 심사일정",2024-12-11 12:14:32.0
지역·바이오시스템공학과,2024학년도 『공인 외국어 응시료 지원 사업』 시행 안내,https://rbe.jnu.ac.kr/bbs/rbe/447/901993/artclView.do,2024학년도 『공인 외국어 응시료 지원 사업』 시행 안내우리 대학 학생들의 국제 경쟁력 강화 및 취업 경쟁력을 강화하기 위하여 『공인 외국어 응시료 지원 사업』을 다음과 같이 시행하오니 많은 학생들이 신청할 수 있도록 홍보하여 주시기 바랍니다. 1. 사 업 명: 공인 외국어 응시료 지원 사업2. 사업대상: 농생대 학부 및 대학원 재학생3. 추진일정시험 응시일 24. 02. 01.(목) ~  25. 01. 31.(금) 구분신청 기간비고1차 24. 12. 02.(월) 14:00 ~  24. 12. 13.(금)농2-1252차 25. 0,2024-12-05 16:19:17.0
