학부,제목,링크,내용,작성일
컴퓨터정보통신공학과과,2025학년도 1학기 국가장학금 2차 신청 안내(2/4~3/18 18:00),https://ce.jnu.ac.kr/bbs/ce/2114/907155/artclView.do,"2025학년도 1학기 국가장학금 2차 신청 일정을 다음과 같이 안내하오니, 국가장학금 신청 바랍니다.가. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생  * 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)나. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00  - 서류제출 및 가구원 정보제공 동의 기간: '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00   ※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감   ※ 여수캠퍼스 학생:  전",2025-01-31 16:21:00.0
컴퓨터정보통신공학과과,2025학년도 1학기 수강신청 안내(대체교과목 신청: 3/4~6),https://ce.jnu.ac.kr/bbs/ce/2114/906963/artclView.do,2025학년도 1학기 컴퓨터정보통신공학과 수강신청 안내※ 타과 개설 교과목 여석 문의 시 전화 예절을 지켜주시기 바랍니다. ❏ 수강신청 방법수강신청 방법전남대학교 포털(http://portal.jnu.ac.kr) ➔ 로그인 ➔ 교육지원 ➔ 내학사행정 ➔ 수업 ➔ 수강신청 ➔ 수강신청(학부) 또는 수강신청(간편) ❏ 수강신청 일정구  분기  간시  간비  고수강희망과목 예약2월 6일(목) ~ 2월 7일(금)10:00~18:00- 포털 로그인 ➔ 교육지원 ➔ 내학사행정 ➔ 수업 ➔ 수강신청안내 ➔ 수강희망과목 예약- 최대 10과목 예약,2025-01-24 13:48:36.0
컴퓨터정보통신공학과과,KT에이블스쿨 7기 지역인재 추천제 모집 안내(~2/9),https://ce.jnu.ac.kr/bbs/ce/2114/906666/artclView.do,"KT AIVLE스쿨 7기 지역인재 추천 안내드립니다.1. 신청기간 : ~2월9일(일)까지2. 신청방법 : [붙임2] 신청 서식 작성하여 이메일(eb8916@jnu.ac.kr) 제출3. 개요 - 에이블스쿨은?    KT의 인재양성 경험과 노하우를 외부로 확대, 대한민국 청년들을 기업 실무형 디지털 인재로 양성함과 더불어 일자리 창출에 기여하는 교육 프로그램 - 지역 추천제란?    지역을 잘 이해하고 인적 네트워크가 있는 우수한 지역인재를 대학, 지차제가 추천하고 KT가 선발, 육성하여 지역 미래인재 양성 및 일자리 창출에 기여(에이",2025-01-21 14:48:09.0
컴퓨터정보통신공학과과,2025학년도 1학기 수강신청 시행 계획 안내,https://ce.jnu.ac.kr/bbs/ce/2114/906528/artclView.do,"2025학년도 1학기 수강신청 시행계획을 다음과 같이 알려드리며, 수강권 매매 방지를 위해 지정 시간 수강신청 제도가 운영됩니다.업무내용기간시간대상내용수강인원 조정 25.1.24.(금)~1.31.(금)09:00～18:00 전공: 강좌 주관학과 교양: 강좌 협력학과 학년별 수강인원 관리 자과/타과/부전공 수강인원 조정 분반정보의 사무실 번호 입력수강신청테스트 25.2.5.(수)10:00~12:00 학부 전 학년 공통 수강희망과목 예약 테스트14:00～18:00 수강신청 테스트※ 테스트 종료 후 신청 내역 일괄 삭제수강희",2025-01-20 10:06:49.0
컴퓨터정보통신공학과과,2025학년도 편입학(일반)전형 구술면접 안내,https://ce.jnu.ac.kr/bbs/ce/2114/906523/artclView.do,1. 편입학 전형 일시 : 2025.2.4.(화)  2. 안내 사항 : 구술 면접(제시문 활용 없음)3. 문의 : 컴퓨터정보통신공학과(062-530-1751),2025-01-20 09:40:01.0
컴퓨터정보통신공학과과,2024학년도 느티나무 장학금 신청 안내(~1/31),https://ce.jnu.ac.kr/bbs/ce/2114/906253/artclView.do,"2024학년도 느티나무 장학을 다음과 같이 시행하오니 많은 학생들의 신청 바랍니다.가. 장학금액: 1인당 1,000천원 혹은 500천원 (기준별 상이)나. 지원기준 1) 대상: 학부 재적생(재학생, 등록휴학생)으로 다음 조건에 해당하는 자   - 국가고시, 공인자격증 등 당해연도 해당 시험에 1차 합격한 자   - 각종 대외활동 등을 통해 당해연도 당선 또는 수상한 자 2) 지원제한: 장학 공고일 기준( 25.1.15.) 미등록 휴학생, 근신 이상의 징계처분을 받은 자 3) 수혜횟수 제한: 동일 자격에 대해서는 1회만 지원다. 신청",2025-01-16 10:36:41.0
컴퓨터정보통신공학과과,2025년 지역인재 7급 수습직원 추천자 선발 안내(접수: 1/9~14),https://ce.jnu.ac.kr/bbs/ce/2114/905507/artclView.do,"2025년 지역인재 7급 수습직원 추천자 선발을 아래와 같이 추진 하오니 많은 학생들의 지원 바랍니다. 가. 추천인원: 12명나. 지원자격  - 졸업자(2022년 1월 이후 졸업자), 졸업예정자(2026년 2월까지 졸업가능, 2024년 2학기까지 3/4이상 학점이수자, 편입생은 4학기 이수자)  - 지원당시 학과 석차 10%이내, 토익기준 700점이상(2020.1.1.이후), 한국사 2급 이상 취득자다. 추천자 선발 일정내용일시비고공지 25. 1. 8.(수)대학홈페이지, 공문 등서류 접수(온라인) 25. 1. 9.(목) ~ 1. 1",2025-01-08 17:04:55.0
컴퓨터정보통신공학과과,2025학년도 제1학기 등록 안내,https://ce.jnu.ac.kr/bbs/ce/2114/905094/artclView.do,"2025학년도 제1학기 등록금 납부를 다음과 같이 공고하니 등록에 차질 없으시기 바랍니다. 1. 기 간 : 2025. 2. 18.(화) ~ 2. 21.(금) 16:00까지 [4일간]2. 장 소 : 광주은행, 농협(지역농협 포함), 국민은행, 신한은행 전국 본 지점3. 등록금 분할납부 방법 가. 신청대상: 경제사정으로 정해진 기간내에 등록금 전액 납부가 어려워 분할납부하고자 하는 학생                     [신청제외자: 학부 및 대학원 신입생, 전액 장학금 수혜자, 미등록 휴학예정자, 수업연한초과자] 나. 신청기간 :",2025-01-06 17:33:07.0
컴퓨터정보통신공학과과,2025학년도 1학기 공학교육인증프로그램 취소 신청서 제출 안내(2/10~3/6),https://ce.jnu.ac.kr/bbs/ce/2114/905008/artclView.do,"2025학년도 1학기 공학교육인증프로그램 취소 신청서 제출 안내드립니다.[일반공학프로그램 및 공학교육인증프로그램 간 전환 신청]1. 취소 신청 안내대상자 4학기 교육과정 이수학생 중 5학기 ~ 8학기 수강신청 대상 학생 신청기간  2025. 2. 10.(월) ~  3. 6.(목) 제출서류 (붙임1)일반공학프로그램 신청서 1부제출방법 학과사무실(공7-226) 방문 제출취소시 변경사항(아래 표 확인) - 교양 영역(인간과사회, 창의, 감성, 공동체) 별 자유교과목 선택 수강 가능 - 전공 이수 학점(76학점   69학점) 변경 - 교양",2025-01-06 14:52:40.0
컴퓨터정보통신공학과과,2025학년도 1학기 법정장학 및 복지장학 신청 안내(~1/13 15:00),https://ce.jnu.ac.kr/bbs/ce/2114/904815/artclView.do,2025학년도 1학기 재학생 등록금 감면 우선 선발 장학생을 선발하고자 하오니 해당 학생은 신청바랍니다.1. 제출기한: ~1월13일(월) 15:002. 제출방법: 학과사무실(공7-226) 방문 제출3. 법정장학   복지장학   특별장학 수혜자격 및 증빙서류구 분수혜자격증빙 서류장학금비고국가유공장학(법정장학) 독립유공자예우에 관한 법률 등 관련 법령에 따른 법정 장학 대상자 중 직전 학기 평균평점이 1.75(실점 70점) 이상인 자※ 국가유공자 등 본인은 성적 제한 없음 교육지원대상자증명서(본인) 또는 대학수업료등 면제대상자증명서,2025-01-03 11:34:10.0
컴퓨터정보통신공학과과,2025년 Power Engineering School Winter Capmp(31기) 참가 학생 신청 안내(~1/22),https://ce.jnu.ac.kr/bbs/ce/2114/904465/artclView.do,"한국전력기술(주) 인재개발교육원에서 실시하는 Power Engineering School Winter Camp(31기)를 붙임과 같이 알려드리오니  참여 가능한 학생은 2025. 1. 22.(수)까지 신청 바랍니다. 가. 교육일정: 2025. 2. 18.(화) ~ 2. 21.(금), 3박 4일나. 교육장소: 한국전력기술 본사(경북 김천시)다. 교육과목: 원자력발전설계 및 신재생/복합화력발전 설계 등(붙임2 참조)라. 추천기준 - 학년: 2~4학년 재학생 - 학과: 전공 제한없음 - 학점: 전 학기까지 100점 환산 80점 이상인 학",2024-12-30 15:09:55.0
