학부,제목,링크,내용,작성일
화학과,대학원 신입생 및 학석사 연계과정 신입생 설명회 개최 (2월5일),https://chem.jnu.ac.kr/bbs/chem/1013/906633/artclView.do,"대학원 신입생 및 학석사 연계과정 신입생 설명회 개최 대학원 신입생 및 학석사 연계과정 신입생들의수강신청, 졸업학점, 졸업요건등을 소개하는 설명회를 개최하오니빠짐없이 참석 바랍니다.대상 : 대학원 신입생, 학석사통합과정 신입생일시 : 02. 05(수) 14시장소 : 기초과학특성화과학관A동 103호 학생회실",2025-01-21 11:19:33.0
화학과,[교직]2025학년도 상반기 교직 적성·인성검사 실시 안내,https://chem.jnu.ac.kr/bbs/chem/1013/906549/artclView.do,"1. 관련: 교원정책과-3248(2013.3.5.), 교직 적성 인성 검사도구 표준안 개발 보급2. 2025학년도 상반기 교직 적성 인성검사를 실시하오니 해당 학과(전공)에서는 대상 학생이 신청하여 검사를 받을 수 있도록 공지바랍니다.가. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)나. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청다. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]※ 각 분반별 신청 인원 제한 없음.라. 검",2025-01-20 14:07:17.0
화학과,2025년 서울런 멘토단 참여 대학생 신청 안내,https://chem.jnu.ac.kr/bbs/chem/1013/906461/artclView.do,"서울시에서 청소년의 체계적 학습 지원 및 대학생 인재의 지식나눔 기회 제공을 위하여 추진하는 2025년 서울런 멘토단에 참여하고자 하는 학생을 모집하오니,활동 할 수 있는 화학과 학생들은 아래의 내용을 참고하시어 1월 20일 (월)까지 신청하시기 바랍니다. 가. 활동명: 2025년 서울런 멘토단 나. 활동기간: '25.3.~'26.2. 다. 활동내용:  서울런  수강생을 대상으로 1:1 학습관리 및 상담 라. 지원자격: (비대면) 전국 대학(원)생, (대면) 수도권 대학(원)생 ※ 휴학생 포함마. 선발조건: (필수) 직전 학기 학점",2025-01-17 16:38:33.0
화학과,2025학년도 1학기 모집단위간이동(전과) 전입 면접 안내,https://chem.jnu.ac.kr/bbs/chem/1013/905863/artclView.do,화학과로 모집단위간이동(전과)전입 신청을 한 학생에 대한 면접을 진행합니다.일시: 2025.1.21(화) 오후2시장소 : 기초과학특성화과학관A동 102호 화학과사무실면접시간을 지켜서 방문바랍니다.궁금한 사항은 학과사무실로 문의부탁드립니다. (062-530-3370),2025-01-13 10:02:07.0
화학과,이차전지융합전공 학부생 모집 공고,https://chem.jnu.ac.kr/bbs/chem/1013/905234/artclView.do,"✨문의처 : 이차전지특성화대학사업단 T. 062)530-0714, 0716, 0718 / 공대6호관 614호 / https://battery.jnu.ac.kr",2025-01-07 14:56:55.0
화학과,[교직]2024학년도 전기(2025년 2월) 교원자격무시험검정 신청 안내,https://chem.jnu.ac.kr/bbs/chem/1013/904408/artclView.do,"1. 관련: 「교원자격검정령 시행규칙」 제9조(무시험검정의 신청)2. 2024학년도 전기 졸업 예정자(기 졸업자 중 교원자격취득 대상자 포함)에 대하여 교원자격증 취득을 위한 무시험검정을 실시 하오니, 해당자는 검정원서를 2025. 1. 9.(목)까지 제출하여 주시기 바랍니다.가. 제출대상: 2024학년도 전기(2025년 2월) 졸업 예정자, 기 졸업자 중 교원자격취득 대상자나. 제출서류1) 교원자격무시험검정원서[붙임3]   반드시 개정 된 원서로 제출 2022. 12. 13. 개정 2) 교사자격 취득 결격사유 관련  진단서  또는",2024-12-30 09:43:08.0
화학과,재학생 대상 「2024년 영어학습센터 1:1 무료 코칭」 홍보,https://chem.jnu.ac.kr/bbs/chem/1013/904364/artclView.do,"언어교육원에서는 우리 대학 학부 재학생의 자기주도 영어학습 성과 제고를 위해 영어학습센터 1:1 코칭 서비스를 다음과 같이 무료로 진행하고 있습니다. 관심있는 화학과 학생들의 많은 참여 바랍니다. 1. 목적 및 배경가. 재학생 자기주도 영어학습 성과 제고를 위한 학습 지원 서비스 강화나. 자기주도적 학습 역량 강화에 따른 영어 의사소통능력 함양2. 운영일정: 2024. 12. 20.(금) ~ 2025. 2. 21.(금) (상시 운영)3. 운영내용: 개인별 맞춤형 1:1 무료 코칭(영역: 원어민 말하기, 원어민 글쓰기, STAR",2024-12-27 17:47:19.0
화학과,2025학년도 1학기 대학직장 예비군 전입 신청 및 개인 정보 수정 안내,https://chem.jnu.ac.kr/bbs/chem/1013/903559/artclView.do,"2025학년도 1학기 재학생 중 대학직장 예비군(전남대학교연대 소속)으로 편성되지 않은 학생은 예비군연대로 전입 신청 및 정확한 훈련 안내를 위하여 개인 정보를 수정하시기 바랍니다. 가. 대상: 2025학년도 1학기 대학(원) 재학생[신입(재입학), 편입, 복학, 전과생 포함]1) 신청 기간: 2025. 1. 2.(목) ~2) 신청 절차: 전남대학교 포털 내 학사행정 예비군 예비군 전입 신청3) 전입 신청 4~5일 경과 후 예비군 홈페이지에서 소속 부대 변경 여부 확인나. 소속 부대 확인 및 개인 정보 수정 절차구분소속 부대",2024-12-18 16:58:37.0
화학과,2025년 삼성드림클래스 대학생멘토 모집 안내,https://chem.jnu.ac.kr/bbs/chem/1013/903548/artclView.do,"삼성드림클래스에서는 중학생들의 롤모델로서 우수한 역량과 봉사정신을 겸비한 대학생멘토를 선발하여 운영하고 있으니, 관심 있는 화학과 학생들의 신청 바랍니다.",2024-12-18 16:38:11.0
화학과,2024학년도 전기(2025년 2월) 학부 졸업대상자 유보 신청 안내(유보비납부일자변경),https://chem.jnu.ac.kr/bbs/chem/1013/903084/artclView.do,"2024학년도 전기(2025년 2월) 학부 졸업(수료) 대상자 중 2025학년도 1학기 학적사항을  재학 으로 유지하고자 희망하는 학생은 포털에서 졸업(수료) 유보를 신청하시고, 유보비 납부기간에 유보비를 납부해 주시기 바랍니다.   □ 졸업(수료) 유보 신청 및 유보비 납부 □  유보 신청기간 추가[2025. 1. 14.(화) 09:00 ~ 1. 14.(화) 18:00까지[납부기간 연기로 1일 추가]    ● 신청방법: 전남대 포털   등록   학부 졸업(수료)유보   학부 졸업(수료)유보 신청(첨부파일 참조)      ※ 신청화",2024-12-17 12:36:59.0
화학과,이차전지 융합전공 설명회 (12.20),https://chem.jnu.ac.kr/bbs/chem/1013/902703/artclView.do,,2024-12-12 16:12:37.0
