학부,제목,링크,내용,작성일
화학교육과,재학생 대상 영어학습센터 동영상 수기 공모전 안내 및 홍보 협조 요청,https://chemedu.jnu.ac.kr/bbs/chemedu/2309/907241/artclView.do,,2025-02-03 09:26:21.0
화학교육과,2025학년도 1학기 국가장학금 2차 신청 안내 및 홍보 협조 요청,https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906986/artclView.do,"1. 신청대상: 재학생*, 복학생, 재입학생, 신입생, 편입생  * 재학생은 국가장학금 1차 신청 원칙(2차 신청 시 재학 중 2회에 한해 수혜 가능)2. 신청기간: '25. 2. 4.(화) ~ 3. 18.(화) 18:00  - 서류제출 및 가구원 정보제공 동의 기간:  '25. 2. 4.(화) ~ '25. 3. 25.(화) 18:00    ※ 주말․공휴일 포함 24시간 신청 가능, 마지막 날은 18시 마감3. 신청 방법: 한국장학재단 홈페이지 및 모바일 앱을 통해 신청  - 한국장학재단 홈페이지(https://www.kosaf.g",2025-01-24 16:03:36.0
화학교육과,2025학년도 1학기 타 대학교(국립목포대) 교류학생 추천 안내,https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906849/artclView.do,1. 지원자격  가. 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)  나. 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)  다. 학칙에 의거 징계받은 사실이 없는 자  라. 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)2. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한강의시간표 조회 방법비고(교류 학점 인정)국립목포대2025.01.24.(금)※ 목포대학교 홈페이지   학사안내  수업정보   수업시간표* 타 대학 교필 이수과목은 전남대 교선으로,2025-01-23 09:22:34.0
화학교육과,2025학년도 1학기 타 대학교(서울과학기술대) 교류학생 추천 안내,https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906703/artclView.do,1 지원자격  가. 재학생에 한함(2025.1학기 복학예정자는 복학승인 후 신청)  나. 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)  다. 학칙에 의거 징계받은 사실이 없는 자  라. 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)2. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한강의시간표 조회 안내(2025.01.15.(수) 19:00 이후)비고서울과학기술대2025.01.22.(수)홈페이지(http://www.seoultech.ac.kr) 학사공지홈페이지,2025-01-22 08:57:11.0
화학교육과,2025학년도 1학기 타 대학교(울산과학기술원) 교류학생 추천 안내(1.22.(수) 12:00),https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906620/artclView.do,1. 지원자격  가. 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)  나. 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)  다. 학칙에 의거 징계받은 사실이 없는 자  라. 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)2. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한개설 교과목 공지비고(교류 학점 인정)울산과학기술원2025.01.22.(수)12:00까지※ 교과목 및 강의시간표 조회 : 2025.01.20.(월) 09:00~대표 홈페이지(ww,2025-01-21 10:13:37.0
화학교육과,2025학년도 1학기 타 대학교(국립군산대) 교류학생 추천 안내,https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906611/artclView.do,1. 지원자격  가. 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)  나. 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)  다. 학칙에 의거 징계받은 사실이 없는 자  라. 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)2. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한강의시간표 조회 방법비고(교류 학점 인정)국립군산대 25.01.24.(금)※ 국립군산대학교 홈페이지(http://www.kunsan.ac.kr)   KSNU광장   학사/장학,2025-01-21 09:53:33.0
화학교육과,2025학년도 1학기 타 대학교(한국과학기술원) 교류학생 추천 안내(1.23.(목) 12:00까지),https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906609/artclView.do,1. 지원자격  가. 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)  나. 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)  다. 학칙에 의거 징계받은 사실이 없는 자  라. 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)2. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한강의시간표 조회 방법비고(교류 학점 인정)한국과학기술원2025.01.23.(목)12:00까지https://cais.kaist.ac.kr/totalOpeningCourse ☞ 개설,2025-01-21 09:50:35.0
화학교육과,2025학년도 1학기 타 대학교(국립부경대) 교류학생 추천 안내(2.3.(월) 12:00까지),https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906607/artclView.do,1. 지원자격  가. 재학생에 한함(2025. 1학기 복학예정자는 복학승인 후 신청)  나. 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)  다. 학칙에 의거 징계받은 사실이 없는 자  라. 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)2. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한강의시간표 조회 방법비고(교류 학점 인정)국립부경대2025.02.03.(월)12:00까지※ 교과목 및 강의시간표 조회 : 「부경대 홈페이지   학사안내 -  2025-1학기 예비,2025-01-21 09:39:17.0
화학교육과,2025학년도 1학기 타 대학교(한양대) 교류학생 추천 안내,https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906606/artclView.do,1. 지원자격  가. 재학생에 한함(2025.1학기 복학예정자는 복학승인 후 신청)  나. 기 이수학기의 평균평점이 3.0이상인 자(대학원생은 3.5이상)  다. 학칙에 의거 징계받은 사실이 없는 자  라. 타 대학 교류학생으로 수학한 기간이 2학기(1년)를 초과하지 않는 자(계절학기 별도)2. 교류 내용(기타 자세한 사항은 붙임 파일을 참조)대학명추천기한개설교과목 확인학점교류생 온라인 등록기간추천인원비고(교류 학점 인정)한양대2025.01.24.(금)*수강신청사이트 http://sugang.hanyang.ac.kr 수강편람 에서,2025-01-21 09:36:41.0
화학교육과,2025학년도 상반기 교직 적성·인성 검사 실시 안내,https://chemedu.jnu.ac.kr/bbs/chemedu/2309/906573/artclView.do,"2025학년도 상반기 교직 적성 인성검사1. 검사 신청 기간: 2025. 3. 4.(화) ~ 3. 10.(월)2. 신청 방법: 【포털 교육지원 내학사행정 교직 교직적 인성검사】에서 학생이 직접 신청3. 검사 일시: 2025. 4. 7.(월) ~ 4. 12.(토), 12:00~12:45 [6개 분반]  ※ 각 분반별 신청 인원 제한 없음.4. 검사 장소: 추후 공지(광주캠퍼스에서만 실시)5. 준비물: 신분증(주민등록증, 운전면허증, 학생증 등) 및 컴퓨터용 수성사인펜 반드시 지참6. 유의 사항: 【붙임】 참조 붙임 2025학년도 상반",2025-01-20 16:43:57.0
